song_name,track_href,analysis_url,energy,liveness,tempo,speechiness,uri,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,type,id,mode
Shape of You,https://api.spotify.com/v1/tracks/0FE9t6xYkqWXU2ahLh6D8X,https://api.spotify.com/v1/audio-analysis/0FE9t6xYkqWXU2ahLh6D8X,0.652,0.0931,95.977,0.0802,spotify:track:0FE9t6xYkqWXU2ahLh6D8X,0.581,0,4,0.825,1,233713,-3.183,0.933,audio_features,0FE9t6xYkqWXU2ahLh6D8X,0
Rockabye (feat. Sean Paul & Anne-Marie),https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,0.763,0.18,101.965,0.0523,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.406,0,4,0.72,9,251088,-4.068,0.748,audio_features,5knuzwU65gJK7IF5yJsuaW,0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),https://api.spotify.com/v1/tracks/6kex4EBAj0WHXDKZMEJaaF,https://api.spotify.com/v1/audio-analysis/6kex4EBAj0WHXDKZMEJaaF,0.817,0.187,98.064,0.109,spotify:track:6kex4EBAj0WHXDKZMEJaaF,0.075,0,4,0.696,1,216409,-3.862,0.779,audio_features,6kex4EBAj0WHXDKZMEJaaF,1
Wild Thoughts,https://api.spotify.com/v1/tracks/1OAh8uOEOvTDqkKFsKksCi,https://api.spotify.com/v1/audio-analysis/1OAh8uOEOvTDqkKFsKksCi,0.672,0.118,97.98,0.0688,spotify:track:1OAh8uOEOvTDqkKFsKksCi,0.0329,0,4,0.671,0,204173,-3.094,0.636,audio_features,1OAh8uOEOvTDqkKFsKksCi,0
That's What I Like,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,0.56,0.0944,134.066,0.0406,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0.013,0,4,0.853,1,206693,-4.961,0.853,audio_features,0KKkJNfGyhkQ5aFogxQAPU,1
Sweet Dreams - Radio Killer Remix,https://api.spotify.com/v1/tracks/6p03zfug7944jEQhNGpEbF,https://api.spotify.com/v1/audio-analysis/6p03zfug7944jEQhNGpEbF,0.754,0.333,104.981,0.0919,spotify:track:6p03zfug7944jEQhNGpEbF,0.431,0.00598,4,0.692,3,208000,-6.608,0.572,audio_features,6p03zfug7944jEQhNGpEbF,1
Fetish (feat. Gucci Mane),https://api.spotify.com/v1/tracks/0XLOf9LhyazPX9Ld8jPiUq,https://api.spotify.com/v1/audio-analysis/0XLOf9LhyazPX9Ld8jPiUq,0.61,0.0641,123.038,0.0574,spotify:track:0XLOf9LhyazPX9Ld8jPiUq,0.0204,4.45E-06,4,0.708,2,186113,-4.522,0.296,audio_features,0XLOf9LhyazPX9Ld8jPiUq,1
Attention,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,0.626,0.0848,100.041,0.0432,spotify:track:4iLqG9SeJSnt0cSPICSjxv,0.0969,3.12E-05,4,0.774,3,211475,-4.432,0.758,audio_features,4iLqG9SeJSnt0cSPICSjxv,0
Despacito - Remix,https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb,https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb,0.815,0.0924,88.931,0.12,spotify:track:5CtI0qwDJkDQGwXD1H1cLb,0.229,0,4,0.694,2,228827,-4.328,0.826,audio_features,5CtI0qwDJkDQGwXD1H1cLb,1
I'm the One,https://api.spotify.com/v1/tracks/72Q0FQQo32KJloivv5xge2,https://api.spotify.com/v1/audio-analysis/72Q0FQQo32KJloivv5xge2,0.667,0.134,80.984,0.0367,spotify:track:72Q0FQQo32KJloivv5xge2,0.0533,0,4,0.599,7,288877,-4.267,0.811,audio_features,72Q0FQQo32KJloivv5xge2,1
Symphony (feat. Zara Larsson),https://api.spotify.com/v1/tracks/1x5sYLZiu9r5E43kMlt9f8,https://api.spotify.com/v1/audio-analysis/1x5sYLZiu9r5E43kMlt9f8,0.629,0.138,122.863,0.0563,spotify:track:1x5sYLZiu9r5E43kMlt9f8,0.259,1.60E-05,4,0.707,0,212459,-4.581,0.444,audio_features,1x5sYLZiu9r5E43kMlt9f8,0
Question,https://api.spotify.com/v1/tracks/7ljINgOY5EXojToJf0ROGQ,https://api.spotify.com/v1/audio-analysis/7ljINgOY5EXojToJf0ROGQ,0.743,0.0702,100.044,0.0427,spotify:track:7ljINgOY5EXojToJf0ROGQ,0.0869,0,4,0.707,10,225081,-4.672,0.558,audio_features,7ljINgOY5EXojToJf0ROGQ,1
We Don't Talk Anymore (feat. Selena Gomez),https://api.spotify.com/v1/tracks/06KyNuuMOX1ROXRhj787tj,https://api.spotify.com/v1/audio-analysis/06KyNuuMOX1ROXRhj787tj,0.563,0.179,100.017,0.134,spotify:track:06KyNuuMOX1ROXRhj787tj,0.621,0,4,0.728,1,217707,-8.053,0.35,audio_features,06KyNuuMOX1ROXRhj787tj,0
Starboy,https://api.spotify.com/v1/tracks/7lQqaqZu0vjxzpdATOIsDt,https://api.spotify.com/v1/audio-analysis/7lQqaqZu0vjxzpdATOIsDt,0.594,0.134,186.04,0.28,spotify:track:7lQqaqZu0vjxzpdATOIsDt,0.159,2.35E-06,4,0.68,7,230467,-7.021,0.492,audio_features,7lQqaqZu0vjxzpdATOIsDt,1
Why,https://api.spotify.com/v1/tracks/5m709dCjbKSbA9eBAuyu0P,https://api.spotify.com/v1/audio-analysis/5m709dCjbKSbA9eBAuyu0P,0.601,0.116,94.983,0.0286,spotify:track:5m709dCjbKSbA9eBAuyu0P,0.0493,0.00172,4,0.695,7,175634,-5.631,0.139,audio_features,5m709dCjbKSbA9eBAuyu0P,0
Galway Girl,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,0.876,0.327,99.943,0.1,spotify:track:0afhq8XCExXpqazXczTSve,0.0735,0,4,0.624,9,170827,-3.374,0.781,audio_features,0afhq8XCExXpqazXczTSve,1
Mask Off,https://api.spotify.com/v1/tracks/3rOSwuTsUlJp0Pu0MkN8r8,https://api.spotify.com/v1/audio-analysis/3rOSwuTsUlJp0Pu0MkN8r8,0.434,0.165,150.062,0.431,spotify:track:3rOSwuTsUlJp0Pu0MkN8r8,0.0102,0.0219,4,0.833,2,204600,-8.795,0.286,audio_features,3rOSwuTsUlJp0Pu0MkN8r8,1
Something Just Like This,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,0.635,0.164,103.019,0.0317,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.0498,1.44E-05,4,0.617,11,247160,-6.769,0.436,audio_features,6RUKPb4LETWmmr3iAEQktW,0
DNA.,https://api.spotify.com/v1/tracks/4cGeMgLcykDLAazHFpbZbU,https://api.spotify.com/v1/audio-analysis/4cGeMgLcykDLAazHFpbZbU,0.517,0.0874,139.928,0.36,spotify:track:4cGeMgLcykDLAazHFpbZbU,0.00402,0,4,0.636,0,185947,-6.759,0.391,audio_features,4cGeMgLcykDLAazHFpbZbU,1
No Frauds,https://api.spotify.com/v1/tracks/0WtVtCK5SEFvyyA5V8D9CI,https://api.spotify.com/v1/audio-analysis/0WtVtCK5SEFvyyA5V8D9CI,0.553,0.514,139.023,0.276,spotify:track:0WtVtCK5SEFvyyA5V8D9CI,0.0788,3.17E-06,4,0.865,1,272453,-7.012,0.435,audio_features,0WtVtCK5SEFvyyA5V8D9CI,1
There's Nothing Holdin' Me Back,https://api.spotify.com/v1/tracks/79cuOz3SPQTuFrp8WgftAu,https://api.spotify.com/v1/audio-analysis/79cuOz3SPQTuFrp8WgftAu,0.8,0.0913,121.996,0.0583,spotify:track:79cuOz3SPQTuFrp8WgftAu,0.381,0,4,0.857,2,199440,-4.035,0.965,audio_features,79cuOz3SPQTuFrp8WgftAu,1
Lust for Life (with The Weeknd),https://api.spotify.com/v1/tracks/5LYQSNHZxEA880URXFHg6h,https://api.spotify.com/v1/audio-analysis/5LYQSNHZxEA880URXFHg6h,0.676,0.358,99.979,0.0582,spotify:track:5LYQSNHZxEA880URXFHg6h,0.588,0.00484,4,0.499,0,264011,-8.618,0.302,audio_features,5LYQSNHZxEA880URXFHg6h,0
HUMBLE.,https://api.spotify.com/v1/tracks/3GnLo84IkdSWCPYt6tnLll,https://api.spotify.com/v1/audio-analysis/3GnLo84IkdSWCPYt6tnLll,0.596,0.0897,149.996,0.118,spotify:track:3GnLo84IkdSWCPYt6tnLll,0.000339,2.05E-05,4,0.905,1,177604,-7.496,0.419,audio_features,3GnLo84IkdSWCPYt6tnLll,0
Closer,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.524,0.111,95.01,0.0338,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.414,0,4,0.748,8,244960,-5.599,0.635,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,1
