Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",2995371,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,"Reggaetón Lento (Bailemos)",CNCO,1366908,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
3,Chantaje,Shakira,1170580,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
4,"Cuando Se Pone a Bailar",Rombai,1103557,https://open.spotify.com/track/1MpKZi1zTXpERKwxmOu1PH
5,"El Amante","Nicky Jam",1009561,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
6,"Shape of You","Ed Sheeran",897431,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
7,"Otra Vez (feat. J Balvin)","Zion & Lennox",884493,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
8,"Vente Pa' Ca","Ricky Martin",793240,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
9,Vacaciones,Wisin,786476,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
10,Safari,"J Balvin",783139,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
11,Traicionera,"Sebastian Yatra",749439,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
12,"Me Llamas (feat. Maluma) - Remix","Piso 21",704967,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
13,"Ay Mi Dios",IAmChino,681246,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
14,"Gyal You A Party Animal - Remix","Charly Black",621209,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I
15,"Shaky Shaky","Daddy Yankee",599469,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
16,"Dile Que Tu Me Quieres",Ozuna,591804,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o
17,"Andas En Mi Cabeza","Chino & Nacho",555792,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
18,Manicomio,Cosculluela,553782,https://open.spotify.com/track/3n58u3LOFw8mITLvfPvQBz
19,"La Bicicleta","Carlos Vives",530117,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
20,Carnavalintro,CHANO,511983,https://open.spotify.com/track/0tGAPnTFwRJA6FZgYZ0BAe
21,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",509097,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
22,"La Rompe Corazones","Daddy Yankee",499148,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
23,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",497919,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
24,"Amor para un Rato",Olvidate!,496680,https://open.spotify.com/track/47EEKhimMiDtUfYNR5Ii58
25,"La Noche No Es para Dormir","Mano Arriba",458044,https://open.spotify.com/track/3gEebOzxHpEwElicl1XBy0
26,"24K Magic","Bruno Mars",454921,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
27,"Let Me Love You","DJ Snake",449562,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
28,"Te Quiero Pa´Mi","Don Omar",447113,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
29,"Traicionera - Remix","Sebastian Yatra",433918,https://open.spotify.com/track/2webQDZmtGioeu3zUUi9We
30,Chillax,Farruko,428537,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
31,"Borro Cassette",Maluma,428488,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
32,"Desde Esa Noche",Thalía,420033,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
33,"Don't Wanna Know","Maroon 5",402385,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
34,"Llamame Mas Temprano","Mano Arriba",396086,https://open.spotify.com/track/5aHJug2wnupoGfgfxRudsk
35,"No Llores",LOAN,395777,https://open.spotify.com/track/07GOnZWIiHWjLzUsaTv5yO
36,Paris,"The Chainsmokers",379742,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
37,"Cuatro Babys",Maluma,369535,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR
38,"My Way","Calvin Harris",368034,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
39,Pull-Up,"Jason Derulo",365842,https://open.spotify.com/track/1SYqEFrLotYNBTJbNXKEa5
40,"Side To Side","Ariana Grande",356292,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
41,"I Feel It Coming","The Weeknd",348314,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
42,Closer,"The Chainsmokers",341347,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
43,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",340542,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
44,"Pasarla Bien",Marama,338471,https://open.spotify.com/track/0ZzVPCGdkpKcxAzMNDD5UZ
45,"No Quiere Enamorarse (Remix) [feat. Daddy Yankee]",Ozuna,335182,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC
46,Starboy,"The Weeknd",330539,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
47,"In the Name of Love","Martin Garrix",327460,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
48,"DUELE EL CORAZON","Enrique Iglesias",320678,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
49,"Tu Ritmo","Los Bonnitos",303483,https://open.spotify.com/track/0BFgCEE7ozbyB1PpLpLyhM
50,Fuego,Juanes,270949,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ
51,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,251772,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
52,"Si Me Dices Que Si (feat. Nicky Jam)",Cosculluela,242749,https://open.spotify.com/track/3noN1TxpjbjjmKqssghvg8
53,"Piel a Piel","Dame 5",236515,https://open.spotify.com/track/2q3B7GLCEA4uYvuo2g5P82
54,"Bailame Despacio",Xantos,234401,https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu
55,"Ando buscando","Carlos Baute",220954,https://open.spotify.com/track/7BwJtE8KSbCQKOCTIAY3jX
56,Bobo,"J Balvin",220492,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
57,"La Bicicleta - Remix","Carlos Vives",218501,https://open.spotify.com/track/7IRuf7FrdQvOGs0g9mSNGr
58,"La Gozadera","Gente De Zona",208918,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
59,"Scared to Be Lonely","Martin Garrix",207092,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
60,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,203068,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
61,"Te Vas",Ozuna,200710,https://open.spotify.com/track/2twUPIYOTqVivev47pf7bU
62,"Castle on the Hill","Ed Sheeran",188809,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
63,"El Perdedor - The Remix",Maluma,187000,https://open.spotify.com/track/4QsPTKvdpgkA7mBAvclZTa
64,"Qué Gano Olvidándote - Versión Urbana",Reik,186743,https://open.spotify.com/track/3H179O48ynsu9q8LOnFQZY
65,"Amor y dolor","Carlos Baute",181830,https://open.spotify.com/track/4efQTJSX6Jca1hHZNi74Zd
66,"Just Hold On","Steve Aoki",177049,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
67,"Ya Me Enteré (feat. Nicky Jam) - Urban Version",Reik,174452,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F
68,"Me Rehúso","Danny Ocean",173251,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
69,"One Dance",Drake,169867,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
70,"Hasta el Amanecer","Nicky Jam",169808,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS
71,"Me Ama Me Odia",Ozuna,169543,https://open.spotify.com/track/6041gM9Th1ViQcnzkIxnuv
72,"Sin Contrato",Maluma,169292,https://open.spotify.com/track/09S64DUkxIX9EwIaULu6yN
73,"Vida Tranquila","Julián Serrano",169071,https://open.spotify.com/track/3gM8KetN3T4mQE4AO2vAHD
74,"Mi Tesoro (feat. Nicky Jam)","Zion & Lennox",167547,https://open.spotify.com/track/5HABnFSYvl6mTmg8nSdzHa
