Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",218161,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"It Ain't Me (with Selena Gomez)",Kygo,148185,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
3,"Something Just Like This","The Chainsmokers",127986,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"Galway Girl","Ed Sheeran",120577,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
5,"Castle on the Hill","Ed Sheeran",112332,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
6,Paris,"The Chainsmokers",111603,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,109656,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,Tuesday,"Burak Yeter",108147,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
9,"Stay (with Alessia Cara)",Zedd,100432,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
10,"Scared to Be Lonely","Martin Garrix",96361,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
11,"Solo Dance","Martin Jensen",95157,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
12,Believer,"Imagine Dragons",91783,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
13,"Call On Me - Ryan Riback Extended Remix",Starley,84342,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
14,"Chained To The Rhythm","Katy Perry",83860,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
15,"All Time Low","Jon Bellion",78826,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
16,Weak,AJR,71153,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
17,Issues,"Julia Michaels",69451,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
18,Happier,"Ed Sheeran",69288,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
19,Perfect,"Ed Sheeran",66886,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
20,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",66246,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
21,Alone,"Alan Walker",64874,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
22,Skin,"Rag'n'Bone Man",64593,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
23,"Green Light",Lorde,63458,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
24,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",61219,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
25,"What Do I Know?","Ed Sheeran",61054,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
26,"Way Down We Go",Kaleo,60714,https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6
27,"You Don't Know Me - Radio Edit","Jax Jones",59554,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
28,"Just Hold On","Steve Aoki",59436,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
