Position,"Track Name",Artist,Streams,URL
1,"Here With You","Lost Frequencies",218576,https://open.spotify.com/track/5KfECtKYcTC7WXpu5z6SY8
2,"Mi Gente","J Balvin",216119,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3,Mama,"Jonas Blue",191002,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
4,"2U (feat. Justin Bieber)","David Guetta",189947,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
5,"More Than You Know","Axwell /\ Ingrosso",183062,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
6,Krantenwijk,"Lil' Kleine",179852,https://open.spotify.com/track/1X8py2jInjgIQ9Y9roDQZC
7,"Wild Thoughts","DJ Khaled",172767,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
8,"Despacito - Remix","Luis Fonsi",168343,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
9,"Where Did You Go (Summer Love)",Regi,160675,https://open.spotify.com/track/0qF6fYxFtR6QocCLiv7W5S
10,Thunder,"Imagine Dragons",157105,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
11,"Shape of You","Ed Sheeran",154550,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
12,Unforgettable,"French Montana",149559,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
13,Feels,"Calvin Harris",149475,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
14,"There for You","Martin Garrix",137694,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
15,"I'm the One","DJ Khaled",135886,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
16,"There's Nothing Holdin' Me Back","Shawn Mendes",133786,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
17,Attention,"Charlie Puth",130904,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
18,"New Rules","Dua Lipa",129576,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
19,"Your Song","Rita Ora",126596,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
20,"Symphony (feat. Zara Larsson)","Clean Bandit",119497,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
