Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",54859,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,"Me Rehúso","Danny Ocean",51539,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
3,"Despacito - Remix","Luis Fonsi",50538,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
4,"Shape of You","Ed Sheeran",46281,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
5,"El Amante","Nicky Jam",36130,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
6,"SUBEME LA RADIO","Enrique Iglesias",34163,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
7,"Otra Vez (feat. J Balvin)","Zion & Lennox",30960,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
8,"Sigo Extrañándote","J Balvin",29266,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
9,"Reggaetón Lento (Bailemos)",CNCO,27539,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
10,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,26752,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
11,"Escápate Conmigo",Wisin,24679,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
12,"Alguien Robo","Sebastian Yatra",23846,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
13,"Me Llamas (feat. Maluma) - Remix","Piso 21",23537,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
14,"La Rompe Corazones","Daddy Yankee",22397,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
15,"Ay Mi Dios",IAmChino,22379,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
16,Traicionera,"Sebastian Yatra",22086,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
17,Chantaje,Shakira,21962,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
18,Vacaciones,Wisin,21585,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
19,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",20733,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
20,"Te Quiero Pa´Mi","Don Omar",19936,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
21,"It Ain't Me (with Selena Gomez)",Kygo,19772,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
22,"Hey DJ",CNCO,19290,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
23,"Something Just Like This","The Chainsmokers",19215,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
24,Safari,"J Balvin",18672,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
25,"That's What I Like","Bruno Mars",18634,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
26,Lumbra,"Cali Y El Dandee",18318,https://open.spotify.com/track/6VHdcVbiKLYYOcMbIqBcuK
27,"Let Me Love You","DJ Snake",17544,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
28,"Vente Pa' Ca","Ricky Martin",16861,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
