Position,"Track Name",Artist,Streams,URL
1,"Deu Onda","MC G15",3477856,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
2,"Hear Me Now",Alok,2197452,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
3,"Shape of You","Ed Sheeran",2155439,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,Loka,"Simone & Simaria",1477181,https://open.spotify.com/track/257tme6AhneIKAqVF1HTH4
5,"Eu Sei de Cor - Ao Vivo | Acústico","Marília Mendonça",1462182,https://open.spotify.com/track/45wqPwIH4A5cr2IyyD4WKf
6,Closer,"The Chainsmokers",1433243,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
7,"Medo Bobo - Ao Vivo","Maiara & Maraisa",1362238,https://open.spotify.com/track/2CW04trIoYMbroZWDzPAjs
8,Starboy,"The Weeknd",1316002,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
9,"Te Assumi Pro Brasil - Ao Vivo","Matheus & Kauan",1266609,https://open.spotify.com/track/2d3TbSkAscvT3QRQalq6uT
10,"Meu Coração Deu PT - Ao Vivo","Wesley Safadão",1199990,https://open.spotify.com/track/6zCqeUUqLb2CapBmVwAHll
11,"10% - Ao Vivo","Maiara & Maraisa",1188120,https://open.spotify.com/track/2wFnRPjuqwNySFiK0Qfg8L
12,"Sim ou não (Participação especial Maluma)",Anitta,1147723,https://open.spotify.com/track/4FxumkF81ICxITeqxx4nK9
13,"Let Me Love You","DJ Snake",1139152,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
14,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",1115103,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
15,"Castle on the Hill","Ed Sheeran",1094642,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
16,"Decide Aí - Na Praia / Ao Vivo","Matheus & Kauan",1036138,https://open.spotify.com/track/0jIitZeIQRTaZgFQf2WpGK
17,"Don't Wanna Know","Maroon 5",1031723,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
18,"Infiel - Ao Vivo","Marília Mendonça",1005035,https://open.spotify.com/track/38MpAndIjGAyVdcC6npX95
19,"Eu, Você, O Mar e Ela","Luan Santana",997532,https://open.spotify.com/track/000xYdQfIZ4pDmBGzQalKU
20,"One Dance",Drake,979946,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
21,"Side To Side","Ariana Grande",976866,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
