Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",353089,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Paris,"The Chainsmokers",160908,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
3,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",151775,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,144156,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
5,"Castle on the Hill","Ed Sheeran",140658,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
6,"Call On Me - Ryan Riback Extended Remix",Starley,123653,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
7,Chantaje,Shakira,113282,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
8,"Say You Won't Let Go","James Arthur",112141,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
9,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",108743,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
10,Alone,"Alan Walker",106547,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
11,Starboy,"The Weeknd",106211,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
12,"Solo Dance","Martin Jensen",104505,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
13,"Scared to Be Lonely","Martin Garrix",101875,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
14,"I Feel It Coming","The Weeknd",101599,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
15,Closer,"The Chainsmokers",90701,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
16,"Don't Wanna Know","Maroon 5",89457,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
17,"Just Hold On","Steve Aoki",88945,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
18,"All Night","The Vamps",87881,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
19,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,86537,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
20,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",85416,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
21,"How Far I'll Go - From ""Moana""","Alessia Cara",82514,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
22,"Love Me Now","John Legend",81614,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
23,"Let Me Love You","DJ Snake",81309,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
24,Weak,AJR,80587,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
25,"Shed a Light","Robin Schulz",78274,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
26,Mercy,"Shawn Mendes",78021,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
27,"Hear Me Now",Alok,77635,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
28,"All Time Low","Jon Bellion",76717,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
29,"Sunset Lover","Petit Biscuit",72044,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
30,"Now and Later","Sage The Gemini",71258,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
31,"Bad Things (with Camila Cabello)","Machine Gun Kelly",70031,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
32,Issues,"Julia Michaels",69914,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
33,"In the Name of Love","Martin Garrix",69879,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
34,"One Dance",Drake,67736,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
35,"Fake Love",Drake,63365,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
36,"Lot to Learn","Luke Christopher",61891,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
37,Human,"Rag'n'Bone Man",61608,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
38,"My Way","Calvin Harris",61236,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
