Position,"Track Name",Artist,Streams,URL
1,Chantaje,Shakira,880004,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
2,"Otra Vez (feat. J Balvin)","Zion & Lennox",763750,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
3,"Reggaetón Lento (Bailemos)",CNCO,760525,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
4,"Vente Pa' Ca","Ricky Martin",685903,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
5,Safari,"J Balvin",571201,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
6,"Shaky Shaky","Daddy Yankee",482325,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
7,"Let Me Love You","DJ Snake",457250,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
8,"Andas En Mi Cabeza","Chino & Nacho",426113,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
9,"Me Llamas (feat. Maluma) - Remix","Piso 21",424544,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
10,Vacaciones,Wisin,421238,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
11,"One Dance",Drake,409816,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
12,"Dile Que Tu Me Quieres",Ozuna,407014,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o
13,"24K Magic","Bruno Mars",396347,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
14,"Don't Wanna Know","Maroon 5",385449,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
15,"Cuatro Babys",Maluma,374267,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR
16,"Borro Cassette",Maluma,370264,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
17,Traicionera,"Sebastian Yatra",364137,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
18,Chillax,Farruko,363725,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
19,Starboy,"The Weeknd",359663,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
20,"Ay Mi Dios",IAmChino,349526,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
21,"Bailame Despacio",Xantos,348968,https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu
22,"Noche Loca",Marama,338969,https://open.spotify.com/track/0gzcET27nREY6aD8LJU9wD
23,"Te Quiero Pa´Mi","Don Omar",336042,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
24,"La Bicicleta","Carlos Vives",323433,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
25,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",307844,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
26,"My Way","Calvin Harris",307563,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
27,"Desde Esa Noche",Thalía,305331,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
28,"DUELE EL CORAZON","Enrique Iglesias",296669,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
29,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",295351,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
30,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",295208,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
31,"Gyal You A Party Animal - Remix","Charly Black",293605,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I
32,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",281228,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
33,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",279646,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
34,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",273645,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
35,"La Gozadera","Gente De Zona",272320,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
36,Closer,"The Chainsmokers",256857,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
37,"In the Name of Love","Martin Garrix",254060,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
38,"I Feel It Coming","The Weeknd",251112,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
39,Trumpets,"Sak Noel & Salvi",243835,https://open.spotify.com/track/5dH7o4TP3HYLvCjo4QAhhv
40,Work,Rihanna,240455,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
41,"La Bicicleta - Remix","Carlos Vives",233478,https://open.spotify.com/track/7IRuf7FrdQvOGs0g9mSNGr
42,Manicomio,Cosculluela,228038,https://open.spotify.com/track/3n58u3LOFw8mITLvfPvQBz
43,Dueles,"Jesse & Joy",226116,https://open.spotify.com/track/1iRvhKiXRElIH2Uf4gd95P
44,"Hymn For The Weekend - Seeb Remix",Coldplay,224932,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU
45,"Baila Conmigo","Juan Magán",211409,https://open.spotify.com/track/772io14jrMTxGJbijtDccQ
46,"Hasta el Amanecer","Nicky Jam",207745,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS
47,Bobo,"J Balvin",201804,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
48,"Mayor Que Yo 3","Luny Tunes",200623,https://open.spotify.com/track/0bMRpUsk1IWi5O2NIkWsqR
49,Fuego,Juanes,187115,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ
50,"Don't Let Me Down","The Chainsmokers",183444,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
51,"Gyal You A Party Animal","Charly Black",183345,https://open.spotify.com/track/1mSzZKMIPZIkn3jFV7v62b
52,"No Quiere Enamorarse (Remix) [feat. Daddy Yankee]",Ozuna,180324,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC
53,"Side To Side","Ariana Grande",178509,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
54,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",174296,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT
55,"The Greatest",Sia,170046,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
56,"Por Fin Te Encontré","Cali Y El Dandee",167250,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM
57,"Ya Me Enteré (feat. Nicky Jam) - Urban Version",Reik,165874,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F
58,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,162566,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
59,"This Is What You Came For","Calvin Harris",161811,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
60,"Locuras contigo",Rombai,159279,https://open.spotify.com/track/5jMvnSyOgGY8JpvHqeyVOg
61,"Más De La Mitad","Camila Gallardo",150104,https://open.spotify.com/track/0fvke3Xize2XpVUDoZbtyW
62,"Me Ama Me Odia",Ozuna,147000,https://open.spotify.com/track/6041gM9Th1ViQcnzkIxnuv
63,"Acércate (feat. Nicky Jam) - Remix","De La Ghetto",144860,https://open.spotify.com/track/35OC6rMxa8lJi8eDiUVShS
64,"Cheap Thrills",Sia,143971,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
65,"Me da Igual",Croni-K,143733,https://open.spotify.com/track/5VMqRp4eN8QzpBXLeOrtnT
66,"Traicionera - Remix","Sebastian Yatra",142948,https://open.spotify.com/track/2webQDZmtGioeu3zUUi9We
67,"Treat You Better","Shawn Mendes",141461,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
68,"Ruleta Rusa","Kevin Roldan",141277,https://open.spotify.com/track/77KHmKnBmVGTjRCeMVXpWH
69,"El Perdedor - The Remix",Maluma,139389,https://open.spotify.com/track/4QsPTKvdpgkA7mBAvclZTa
70,Ride,"Twenty One Pilots",135946,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
71,"El Perdedor",Maluma,135084,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O
72,"Mi Tesoro (feat. Nicky Jam)","Zion & Lennox",135056,https://open.spotify.com/track/5HABnFSYvl6mTmg8nSdzHa
73,Encantadora,Yandel,133462,https://open.spotify.com/track/7LABrQFfRYcZUqUwng0Heb
74,"El Perdón","Nicky Jam",126086,https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr
75,"Cambio De Piel","Denise Rosenthal",125430,https://open.spotify.com/track/0kMI9akTTJnC8oogTuy3Sd
76,Picky,"Joey Montana",123679,https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx
77,"Cake By The Ocean",DNCE,123582,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl
78,"Amor Completo","Mon Laferte",120531,https://open.spotify.com/track/00kIWJu9IHiQ6i0qJAU0Z9
79,"Si Me Dices Que Si (feat. Nicky Jam)",Cosculluela,120333,https://open.spotify.com/track/3noN1TxpjbjjmKqssghvg8
80,"Me Gusta","Eyci and Cody",120075,https://open.spotify.com/track/5nKKpWm0lkrIMn06vlAG29
81,"Te Busco (feat. Nicky Jam)",Cosculluela,119764,https://open.spotify.com/track/6wHm04cn5HxK6pE2ITEdUS
82,"Te Vas",Ozuna,119398,https://open.spotify.com/track/2twUPIYOTqVivev47pf7bU
83,Embriágame,"Zion & Lennox",118808,https://open.spotify.com/track/07YFRv1Rj2iTtA7NY3CTcY
84,"Hasta Que Se Seque el Malecón - Remix","Jacob Forever",113736,https://open.spotify.com/track/6sMPwcpYtxm1mlgYbp1B0t
85,"Stressed Out","Twenty One Pilots",112532,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
86,"Hacerlo de Día","Moral Distraida",108933,https://open.spotify.com/track/0nApFXPoSanA4n7j563Ind
87,"Just Hold On","Steve Aoki",108868,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
88,"The Mack",Nevada,108653,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
