Position,"Track Name",Artist,Streams,URL
1,"Me Rehúso","Danny Ocean",169872,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
2,"Mi Gente","J Balvin",165145,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3,"Felices los 4",Maluma,155462,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
4,"Ahora Dice","Chris Jeday",140478,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
5,"Shape of You","Ed Sheeran",136550,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
6,"Escápate Conmigo",Wisin,129082,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
7,"Hey DJ",CNCO,110998,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
8,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",99566,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
9,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",89055,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
10,"Otra Vez (feat. J Balvin)","Zion & Lennox",79914,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
11,Báilame,Nacho,77950,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C
12,"Sigo Extrañándote","J Balvin",75793,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
13,"I'm the One","DJ Khaled",74823,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
14,"La Rompe Corazones","Daddy Yankee",72832,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
15,"Tu Foto",Ozuna,69184,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
16,"Despacito - Remix","Luis Fonsi",69030,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
17,"Reggaetón Lento (Bailemos)",CNCO,67401,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
18,"El Amante","Nicky Jam",65911,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
19,"Something Just Like This","The Chainsmokers",64633,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
20,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,63727,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
21,"SUBEME LA RADIO","Enrique Iglesias",62105,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
22,"2U (feat. Justin Bieber)","David Guetta",57876,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
23,"Me Enamoré",Shakira,57073,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
24,"Wild Thoughts","DJ Khaled",56767,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
25,Bonita,"J Balvin",56572,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
26,"Si Tu Novio Te Deja Sola","J Balvin",55992,https://open.spotify.com/track/0RFFFGtPn6a58RHY3ccVYX
27,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",55198,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
28,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",54127,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
29,Feels,"Calvin Harris",54028,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
30,"Soy Peor","Bad Bunny",53569,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0
31,"There's Nothing Holdin' Me Back","Shawn Mendes",53269,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
32,"That's What I Like","Bruno Mars",52282,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
33,Perfect,"Ed Sheeran",51417,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
34,Attention,"Charlie Puth",50296,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
35,"Una Lady Como Tú","Manuel Turizo",50165,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
36,Chillax,Farruko,49304,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
37,Lumbra,"Cali Y El Dandee",49297,https://open.spotify.com/track/6VHdcVbiKLYYOcMbIqBcuK
38,Safari,"J Balvin",48934,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
39,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,48522,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
40,Believer,"Imagine Dragons",47355,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
41,"Side To Side","Ariana Grande",45725,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
42,Vacaciones,Wisin,45604,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
43,"Sign of the Times","Harry Styles",45238,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
44,"Alguien Robo","Sebastian Yatra",45204,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
45,"It Ain't Me (with Selena Gomez)",Kygo,44840,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
46,"Deja vu","Prince Royce",44057,https://open.spotify.com/track/46HdsiK0uR26B2dY9QPzda
47,Traicionera,"Sebastian Yatra",43984,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
48,"Let Me Love You","DJ Snake",43120,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
