Position,"Track Name",Artist,Streams,URL
1,Thunder,"Imagine Dragons",103688,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
2,"Despacito - Remix","Luis Fonsi",89731,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
3,Believer,"Imagine Dragons",83836,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
4,"2U (feat. Justin Bieber)","David Guetta",80270,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
5,"Shape of You","Ed Sheeran",71827,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
6,"More Than You Know","Axwell /\ Ingrosso",70903,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
7,"There for You","Martin Garrix",68759,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
8,Mama,"Jonas Blue",66712,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
9,"I'm the One","DJ Khaled",65586,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
10,"There's Nothing Holdin' Me Back","Shawn Mendes",61340,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
11,"Whatever It Takes","Imagine Dragons",57470,https://open.spotify.com/track/4IWAyPf1KMq7JCyGeCjTeH
12,"Something Just Like This","The Chainsmokers",57405,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
13,"Strip That Down","Liam Payne",56333,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
14,"Wild Thoughts","DJ Khaled",53649,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
15,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",51544,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
16,"Symphony (feat. Zara Larsson)","Clean Bandit",50896,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
17,"Stay (with Alessia Cara)",Zedd,49213,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
18,Attention,"Charlie Puth",49054,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
19,"Galway Girl","Ed Sheeran",48170,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
20,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",46184,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
21,"Your Song","Rita Ora",45619,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
22,Unforgettable,"French Montana",45183,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
23,Feels,"Calvin Harris",43492,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
24,"It Ain't Me (with Selena Gomez)",Kygo,43181,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
25,"No Vacancy",OneRepublic,42527,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
26,"Bad Liar","Selena Gomez",39515,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
27,"Know No Better (feat. Quavo)","Major Lazer",39469,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
28,"No Promises (feat. Demi Lovato)","Cheat Codes",38517,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
29,OK,"Robin Schulz",38441,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
30,"Slow Hands","Niall Horan",38216,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
31,Malibu,"Miley Cyrus",37956,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
32,"First Time",Kygo,37679,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
33,"Crying in the Club","Camila Cabello",37535,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
34,"XO TOUR Llif3","Lil Uzi Vert",35999,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
