Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",2930454,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2341468,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
3,"You Don't Know Me - Radio Edit","Jax Jones",2331224,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
4,"Something Just Like This","The Chainsmokers",2304695,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,Tuesday,"Burak Yeter",2185169,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
6,"It Ain't Me (with Selena Gomez)",Kygo,2174839,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
7,"Galway Girl","Ed Sheeran",2011074,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
8,"Mask Off",Future,1858125,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
9,"Symphony (feat. Zara Larsson)","Clean Bandit",1821051,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
10,"Nummer 1",Zuna,1711608,https://open.spotify.com/track/3sgGmPQD2J6aQduN36RDBO
11,Paris,"The Chainsmokers",1679558,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
12,"Stay (with Alessia Cara)",Zedd,1649603,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
13,"Scared to Be Lonely","Martin Garrix",1443698,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
14,"Solo Dance","Martin Jensen",1438508,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
15,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1435359,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
16,Passionfruit,Drake,1361969,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
17,"Loin - Pilule Violette","Maître Gims",1209204,https://open.spotify.com/track/3up1uPuvL5vkfJ6aOeSRtD
