Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",193240,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,"Me Rehúso","Danny Ocean",147732,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
3,"Una Lady Como Tú","Manuel Turizo",147581,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
4,"Felices los 4",Maluma,134314,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
5,"Escápate Conmigo",Wisin,119435,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
6,Báilame,Nacho,113485,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C
7,"Si Tú La Ves","Nicky Jam",105288,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
8,Bonita,"J Balvin",103492,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
9,"Hey DJ",CNCO,96881,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
10,"Ahora Dice","Chris Jeday",94550,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
11,"Shape of You","Ed Sheeran",88024,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
12,"Vivo Pensando En Ti","Felipe Peláez",81767,https://open.spotify.com/track/0H7cz1bR7w9PulJL7Na774
13,"Robarte un Beso","Carlos Vives",74825,https://open.spotify.com/track/4z3GJkrtH97Bj6fRta983T
14,"Me Enamoré",Shakira,73440,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
15,"Tu Foto",Ozuna,73067,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
16,"Otra Vez (feat. J Balvin)","Zion & Lennox",67849,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
17,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",66581,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
18,"Sigo Extrañándote","J Balvin",65476,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
19,Besándote,"Piso 21",65138,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h
20,"La Rompe Corazones","Daddy Yankee",64377,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
21,"Me Llamas (feat. Maluma) - Remix","Piso 21",59417,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
