Position,"Track Name",Artist,Streams,URL
1,"Me Tehtiin Tää",Robin,740889,https://open.spotify.com/track/2bGwLlCIKzk00kcUK6QhZv
2,"Älä jätä roikkuu",JVG,578535,https://open.spotify.com/track/7m7vqt0dQ3HXHSzLPMlFg3
3,"Aamukuuteen (feat. Erin)","Antti Tuisku",473031,https://open.spotify.com/track/1sds1bVqBoa6lSRhl6jZHp
4,"Hombre (feat. Vesala)",JVG,437100,https://open.spotify.com/track/6h4EXoiVFJehGrK9Xl8Zeo
5,"Friends (with BloodPop®)","Justin Bieber",425325,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
6,"Matti & Teppo",JVG,423005,https://open.spotify.com/track/4h9oBIwZ5he6rgXI2mgPEJ
7,"Look What You Made Me Do","Taylor Swift",410484,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
8,"New Rules","Dua Lipa",362576,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
9,"Lähen menee (feat. Reino Nordin)",JVG,361812,https://open.spotify.com/track/1aUF83Zjjy9Z2cXWA10DHP
10,"EYO (feat. Nelli Matula)",Profeetat,353260,https://open.spotify.com/track/6bjQXLHkAMGq9Yjh6oIPzd
11,Juoppokuski,Mäkki,339960,https://open.spotify.com/track/7vFq3RHvJXp7GYnHFAHcEC
12,"Without You (feat. Sandro Cavazza)",Avicii,326420,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
13,"Tappiolla tappiin (feat. Märkä Simo)",JVG,310491,https://open.spotify.com/track/0TCrk8O20OTOivfWKyTjbh
14,"Mi Gente","J Balvin",303828,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
15,"Pitkät päällä",JVG,295049,https://open.spotify.com/track/4SLLUmzirPw1Fn5okyTof5
16,"More Than You Know","Axwell /\ Ingrosso",294251,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
17,"Kruunu tikittää (feat. Tippa-T)",JVG,293167,https://open.spotify.com/track/4ZxTm3KI4jDy7gNhbp8avh
18,Havana,"Camila Cabello",290261,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
19,"Pane mut sekasin","Aleksanteri Hakaniemi",285466,https://open.spotify.com/track/1TfT4AtYSreDh4AcOmyq5D
20,"En sun kaa (feat. Bizi)",JVG,277680,https://open.spotify.com/track/6jdRdqyMlZQdLAnA7Cl9LD
21,Syliin,"Vilma Alina",272746,https://open.spotify.com/track/0mKcAtaxD6JXeWjJL9ynN3
22,"Kakkuu Järvellä","Pasi ja Anssi",263146,https://open.spotify.com/track/0chFcp7zVMi1ru2zSBYwze
23,Juna,Spekti,257576,https://open.spotify.com/track/5fB7KNzDNtTLWAa6D2zcBJ
24,Silence,Marshmello,255242,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
25,"Kebab (feat. Fatboy L & Asap Vergi)","Slim Mill",252951,https://open.spotify.com/track/1tTVY3pveEQvrjWbOdGEvW
26,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",244261,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
27,"Eikö Sua Hävetä","Tuure Boelius",241985,https://open.spotify.com/track/4BxHfA1dWlOJ66dKvAdQPr
28,"Annan sulle kaiken",JVG,236772,https://open.spotify.com/track/5qrijLjfrS0FSmQsOem00S
29,"Taivas ei oo rajana","Mikko Harju",232463,https://open.spotify.com/track/0UMaKcS7dY70v8uupjIdaq
30,"Despacito - Remix","Luis Fonsi",230659,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
31,"Lonely Together (feat. Rita Ora)",Avicii,225854,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
32,"Nihee (feat. IBE, Deezydavid)",JVG,218364,https://open.spotify.com/track/1JqT97Gea7tOrQtlvYi27J
33,"2U (feat. Justin Bieber)","David Guetta",217416,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
34,"Meidän biisi","Arttu Wiskari",216896,https://open.spotify.com/track/3nSiEJPNSH86D7JTFsyyly
35,"Rich Love (with Seeb)",OneRepublic,216506,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD
36,Unforgettable,"French Montana",213394,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
37,Luonasi,Aste,212094,https://open.spotify.com/track/3btQ3ZyrZc6iZ8q31gmLu4
38,Kupla,"Ida Paul & Kalle Lindroth",208434,https://open.spotify.com/track/6C4Ln9FcD2GXQ8QSUQpncZ
39,"XO TOUR Llif3","Lil Uzi Vert",203398,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
40,"Se ei oo niin (feat. Pete Parkkonen)",JVG,203235,https://open.spotify.com/track/3zi7NzEYJ6lusvCasRy3qO
41,"Summer Air",ItaloBrothers,202723,https://open.spotify.com/track/3GPI7hYiqD6enLRobhkBm8
42,"Mä En Haluu Tietää","Gabriel Lion",199649,https://open.spotify.com/track/77PIgzFwxUg5F8eqRnccQZ
43,"Hanuri (feat. Boyat)","Antti Tuisku",198370,https://open.spotify.com/track/7CI9dousrqQ0uf4DSbaaEF
44,OK,"Robin Schulz",197794,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
45,Mama,"Jonas Blue",196462,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
46,"Se oikea","Jenni Vartiainen",192720,https://open.spotify.com/track/2d8EquHi6gIpwknkCPSCKm
47,"Vaikee Mut Oikee",Janna,192121,https://open.spotify.com/track/5HZD8QOz81tfGFcYsZK4hR
48,"Glorious (feat. Skylar Grey)",Macklemore,191776,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR
49,Feels,"Calvin Harris",184451,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
50,"Instruction (feat. Demi Lovato & Stefflon Don)","Jax Jones",182865,https://open.spotify.com/track/0XfOi87h82i09rQjWYG0Bm
51,"Wild Thoughts","DJ Khaled",168415,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
52,"Kylmii Väreitä",Evelina,167971,https://open.spotify.com/track/7MddwdpQ7sh3Pi1xHUSr4K
53,Tauti,"Elias Kaskinen & Päivän Sankarit",167209,https://open.spotify.com/track/2PzMxRnJlucpLcvq0pBtWz
54,"Strip That Down","Liam Payne",164353,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
55,Riippumatto,"Mikael Gabriel",161678,https://open.spotify.com/track/5OFJyq8UpmRbU6fE3inXfg
56,Antaudun,"Reino Nordin",157477,https://open.spotify.com/track/4waYSI6TTW0guhTJc4gWzq
57,Thunder,"Imagine Dragons",156056,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
58,"Neljä Vuodenaikaa","Petri Nygård",154420,https://open.spotify.com/track/3coYPmuUrK9Yr6kqsMSr7H
59,Koukkuun,Ilta,149198,https://open.spotify.com/track/0Ev8HCcDuVyo6Z0OqWS7cM
60,Kumiankka,Herrat,147274,https://open.spotify.com/track/64ccWAY1LFSlXoXsn9oNHO
61,"Vielä kerran (feat. Tommi Läntinen)","Yksi Totuus",143182,https://open.spotify.com/track/5fMQc6FZhqvt0gtR7l7jiy
62,Attention,"Charlie Puth",132314,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
63,"Tanssi se ulos (feat. Ellinoora)","Roope Salminen & Koirat",125409,https://open.spotify.com/track/1jFYy4KngiDNpG5yw6cOQA
64,"Shape of You","Ed Sheeran",122903,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
65,"Pipefest (feat. Paleface)",Profeetat,118413,https://open.spotify.com/track/65hd7jI2WF1b6PzgwoFmdW
66,"What About Us",P!nk,118281,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv
67,"Satamiljoonaa Kertaa",Mäkki,117868,https://open.spotify.com/track/49Eo0N8DP9mt3e6EiaqbxY
68,"All My Love (feat. Conor Maynard)","Cash Cash",116207,https://open.spotify.com/track/1839RWzPRZCVgvamu4sHSN
69,"I Help You Hate Me","Sunrise Avenue",114445,https://open.spotify.com/track/0SsP7gCmOC9eMld6QWjB7f
70,"Oh No Let's Go","Haloo Helsinki!",113996,https://open.spotify.com/track/5yjKv99Ge4iOr9QBW1Hl0x
71,"Olisitpa sylissäni","Antti Ketonen",113043,https://open.spotify.com/track/1yn5xgyK5SuEukAcqs0X9N
72,"Hula Hula",Robin,111681,https://open.spotify.com/track/5WytJMdICvcrJF6JY0W4pl
73,"Karjala Takas","Portion Boys",110078,https://open.spotify.com/track/1PZNjZOmm3ZmaWkqvmJpaY
74,"Crying in the Club","Camila Cabello",106858,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
75,"Miks Ei - Vain Elämää Kausi 6","Nikke Ankara",106355,https://open.spotify.com/track/1hUMr8Hvok7DdjbISWR07r
76,"Jocelyn Flores",XXXTENTACION,103347,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
77,"Rakasta mut palasiks (feat. Reino Nordin)","Bang For The Buck",100642,https://open.spotify.com/track/2pj0IfDbeGsFX9b1BR9A18
78,"En Mielestäin Sua Saa - Vain Elämää Kausi 6",Robin,98465,https://open.spotify.com/track/1vxdzyxjDxLTPxZKk4jp13
79,"Would You Ever",Skrillex,95915,https://open.spotify.com/track/57p8CBvPOxrvyCbn6ttl5r
80,HUMBLE.,"Kendrick Lamar",94581,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
81,"Feel Good","Felix Jaehn",93966,https://open.spotify.com/track/6a9vKVMFfNBi741DVSit3H
82,"Rahan takii","Antti Tuisku",93878,https://open.spotify.com/track/4UDDfd77rlXmNjgW1NKhWq
83,Safe,Cledos,93441,https://open.spotify.com/track/79zJ2fs1O6SeZx0KZN1v77
84,"Sorry Not Sorry","Demi Lovato",93385,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
85,Believer,"Imagine Dragons",90807,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
86,"Fetish (feat. Gucci Mane)","Selena Gomez",89508,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
87,Congratulations,"Post Malone",88189,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
88,"Your Song","Rita Ora",87680,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
89,"Slow Hands","Niall Horan",86288,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
90,"Bank Account","21 Savage",85216,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s
91,"Pari kilometriä","Keko Salata",85015,https://open.spotify.com/track/1WQ7vQzj05YlBPrzrL4lJD
92,"There for You","Martin Garrix",83284,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
93,1-800-273-8255,Logic,82478,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
94,Tired,"Alan Walker",81665,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
95,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",81194,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
96,"Pettävällä Jäällä - Vain Elämää Kausi 6","Nikke Ankara",81165,https://open.spotify.com/track/2C7Yzl61H8BE3EbK2Qk1sM
97,"Kymmenen Kirosanaa - Vain Elämää Kausi 6",Robin,80821,https://open.spotify.com/track/2zWVKlOfppLl96FpttaPrK
98,"Butterfly Effect","Travis Scott",80792,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
99,Wait,"Martin Jensen",80468,https://open.spotify.com/track/5XiZK7m9PLppgIzJBpw2x5
100,"I'm the One","DJ Khaled",80345,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
101,"California Dreaming (feat. Snoop Dogg & Paul Rey)","Arman Cekin",78168,https://open.spotify.com/track/5DOP9l0x4NvCIsS1tOGrre
102,"There's Nothing Holdin' Me Back","Shawn Mendes",78168,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
103,"Jokainen kyynel",Profeetat,77894,https://open.spotify.com/track/5XXd8LSfEqqhLJBUcX3O5R
104,"Something Just Like This","The Chainsmokers",77008,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
105,"Complicated (feat. Kiiara)","Dimitri Vegas & Like Mike",76638,https://open.spotify.com/track/1Sl3njkhhz8nrSPZroDQ82
106,"Hulluuden Highway","Haloo Helsinki!",75781,https://open.spotify.com/track/1RPMDcIljymdp7dSgTfhls
107,"Kolme Michelin tähtee",Kube,75713,https://open.spotify.com/track/5EX05Lf8SBwmowJhJvdnao
108,"Symphony (feat. Zara Larsson)","Clean Bandit",75573,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
109,"Swish Swish","Katy Perry",75522,https://open.spotify.com/track/2kVHAQKVtczchKctctzbtK
110,"Sauna lämpee",HesaÄijä,75475,https://open.spotify.com/track/4zOq1k6bo7pHOW2DSFh4xw
111,"Muitaki ihmisii",Vesala,74911,https://open.spotify.com/track/1G0u9V4wCkgcPe2cZF4MOm
112,"Kaikki ok","Ideaali & Jay Who?",74896,https://open.spotify.com/track/5mrI9lWwp9cbXwtDiCa3U3
113,"xDlsd Juna (feat. Jedidi & Mahku)","Slim Mill",74661,https://open.spotify.com/track/7hKCRtqxzzXkYfEjmlN2cP
114,"Get Low (with Liam Payne)",Zedd,74069,https://open.spotify.com/track/1CKd1PnqfYx0H12V9MSaIY
115,"Know No Better (feat. Quavo)","Major Lazer",72748,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
116,"Sit Mennää","Teflon Brothers",72584,https://open.spotify.com/track/1QKbpfbXQP1NY4xy6wpxJA
117,"I Like Me Better",Lauv,71888,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
118,"Sitä säät mitä tilaat (feat. Ellinoora)",JVG,71783,https://open.spotify.com/track/5DTBkAANRc9K2B2uZ9aVCU
119,"Mask Off",Future,71264,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
120,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",70252,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
121,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",69502,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
122,"Lääkitys kunnossa","Janne Ordén",67664,https://open.spotify.com/track/4tWsSgINbFWDOf6mhEhR8l
123,"Reminding Me","Shawn Hook",67170,https://open.spotify.com/track/4gqMQftUs22F8pOGVn5Acr
124,"Hokkus Pokkus","Daniel Okas",67057,https://open.spotify.com/track/6jx8jfIW9PI5nzVzAZGZfU
125,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,66682,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
126,"Liikaa Sussa Kii","Mikael Gabriel",66523,https://open.spotify.com/track/0MEuAbpzkCXjFu2ey5vKaD
127,"Think Before I Talk","Astrid S",66130,https://open.spotify.com/track/0Clb9aiXWa0dvVff5aN4VN
128,Huomenna,"Adi L Hasla",65285,https://open.spotify.com/track/5XxnVzF859NBZ8zbrWWosk
129,"Mä En Kestä","Laura Voutilainen",64928,https://open.spotify.com/track/4lLL9uT4lun5BKt3ouOhxO
130,HUUMETUKKA,"OG Ulla-Maija",64913,https://open.spotify.com/track/63Hcp32nBv3Xzf5iKNuHy0
131,6K,"Mikael Gabriel",63511,https://open.spotify.com/track/74oCTWhmFli50HkkkvAxfD
132,"Rakkaus On Lumivalkoinen - Vain Elämää Kausi 6",Robin,63356,https://open.spotify.com/track/6vsB8NUCBMLuuYmsYtZSra
133,"Tell Me You Love Me","Demi Lovato",62989,https://open.spotify.com/track/65MOTX6uSFAnqXl7dlAuId
134,"Everybody Dies In Their Nightmares",XXXTENTACION,62497,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
