Position,"Track Name",Artist,Streams,URL
1,Réseaux,Niska,1577791,https://open.spotify.com/track/2Pu2Kcm1cwFg4dDSdmFip4
2,Mamacita,Ninho,946117,https://open.spotify.com/track/08GhiNwYij4HNVkBZnJvft
3,Unforgettable,"French Montana",787687,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
4,Feels,"Calvin Harris",721743,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
5,"Je pense à toi","Hornet La Frappe",721588,https://open.spotify.com/track/6jTEKtJvIoECSQMEZoLmjR
6,"Mi Gente","J Balvin",719624,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
7,Suis-moi,Alonzo,719084,https://open.spotify.com/track/54G8osRu1htBw1PQEkYIdL
8,"Θ. Macarena",Damso,717193,https://open.spotify.com/track/2UZW9WOPXdxw9YMG1bebS8
9,Mobali,Siboy,710457,https://open.spotify.com/track/6xcXAVbDuVT1pCsa2rmDHY
10,"Glorious (feat. Skylar Grey)",Macklemore,624861,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR
11,"Fume à fond",Lorenzo,565755,https://open.spotify.com/track/2fgk04HR0nlgNysfX7fKF0
12,"Wild Thoughts","DJ Khaled",552659,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
13,"Ε. Signaler",Damso,546781,https://open.spotify.com/track/03aduXwm6cTqO9bb4XFQ2b
14,Havana,"Camila Cabello",542877,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
15,"Look What You Made Me Do","Taylor Swift",531511,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
16,"2U (feat. Justin Bieber)","David Guetta",517598,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
17,Attention,"Charlie Puth",516069,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
18,Mama,"Jonas Blue",515888,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
19,"Shape of You","Ed Sheeran",499068,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
20,Comportement,"Aya Nakamura",487916,https://open.spotify.com/track/2nOZaGwMYt07nXtIeYbEiu
21,"All Stars","Martin Solveig",483007,https://open.spotify.com/track/3aLSrx8qhssXrh5yjB6oy9
22,Thunder,"Imagine Dragons",481048,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
23,"More Than You Know","Axwell /\ Ingrosso",468539,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
24,"New Rules","Dua Lipa",463513,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
