Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",5185698,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One","DJ Khaled",3326626,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
3,Unforgettable,"French Montana",3080912,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
4,"Strip That Down","Liam Payne",2838083,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
5,Mama,"Jonas Blue",2718548,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
6,"There's Nothing Holdin' Me Back","Shawn Mendes",2465845,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
7,Attention,"Charlie Puth",2370245,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
8,"Symphony (feat. Zara Larsson)","Clean Bandit",2221032,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
9,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2200306,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
10,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",2100742,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
11,"Did You See","J HUS",2030593,https://open.spotify.com/track/6DXEZzM4wBa3EOl0NCNSvz
12,"One Last Time","Ariana Grande",1889036,https://open.spotify.com/track/7bJwvubZZaoGE1AGEfu8Fi
13,"Shape of You","Ed Sheeran",1764149,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
14,"No Promises (feat. Demi Lovato)","Cheat Codes",1712944,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
15,Malibu,"Miley Cyrus",1673879,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
16,"Slow Hands","Niall Horan",1641114,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
17,"Mask Off",Future,1575746,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
18,HUMBLE.,"Kendrick Lamar",1476986,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
19,"Your Song","Rita Ora",1425883,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
20,"That's What I Like","Bruno Mars",1417356,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
21,"Stay (with Alessia Cara)",Zedd,1412271,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
22,"Solo Dance","Martin Jensen",1391611,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
23,"Galway Girl","Ed Sheeran",1340206,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
24,"It Ain't Me (with Selena Gomez)",Kygo,1333464,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
25,"Something Just Like This","The Chainsmokers",1330580,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
26,Slide,"Calvin Harris",1307348,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
27,"On My Mind",Disciples,1264732,https://open.spotify.com/track/5Xc74Dn1ZKH6H8XaVGOHXG
28,Places,"Martin Solveig",1262429,https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj
29,"XO TOUR Llif3","Lil Uzi Vert",1224169,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
30,Passionfruit,Drake,1219108,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
31,"First Time",Kygo,1190774,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
32,"The Cure","Lady Gaga",1170122,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
33,Thunder,"Imagine Dragons",1139702,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
34,"Ciao Adios",Anne-Marie,1100606,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
35,"Sign of the Times","Harry Styles",1077235,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
36,"Crying in the Club","Camila Cabello",1056141,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
37,"Still Got Time",ZAYN,1041022,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
38,"Most Girls","Hailee Steinfeld",1033444,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ
39,"Castle on the Hill","Ed Sheeran",1026785,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
40,"No More Sad Songs (feat. Machine Gun Kelly)","Little Mix",1017571,https://open.spotify.com/track/5ZnJsoJGkQ5K15W7Rcr5JO
