Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",51124648,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Paris,"The Chainsmokers",28197386,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
3,"Castle on the Hill","Ed Sheeran",25030348,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,23493247,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
5,Starboy,"The Weeknd",22925769,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
6,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",22525750,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
7,Closer,"The Chainsmokers",19330447,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
8,"Say You Won't Let Go","James Arthur",19155590,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
9,"I Feel It Coming","The Weeknd",18241454,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
10,"Don't Wanna Know","Maroon 5",17666947,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
11,"Fake Love",Drake,16995174,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
12,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,16285363,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
13,"Call On Me - Ryan Riback Extended Remix",Starley,16227511,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
14,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",16208528,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
15,Chantaje,Shakira,15385694,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
16,"Let Me Love You","DJ Snake",15352727,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
17,"Just Hold On","Steve Aoki",15092583,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
18,"Bad Things (with Camila Cabello)","Machine Gun Kelly",14742473,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
19,"24K Magic","Bruno Mars",14519454,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
