Position,"Track Name",Artist,Streams,URL
1,"Wild Thoughts","DJ Khaled",39650,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2,"Mi Gente","J Balvin",38739,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3,Unforgettable,"French Montana",35141,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
4,"Despacito - Remix","Luis Fonsi",34630,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
5,"2U (feat. Justin Bieber)","David Guetta",31041,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
6,"New Rules","Dua Lipa",30346,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
7,Mama,"Jonas Blue",26757,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
8,Attention,"Charlie Puth",26454,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
9,"Fetish (feat. Gucci Mane)","Selena Gomez",25208,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
10,Feels,"Calvin Harris",24816,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
11,"More Than You Know","Axwell /\ Ingrosso",24475,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
12,"I'm the One","DJ Khaled",23291,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
13,Thunder,"Imagine Dragons",23160,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
14,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",22811,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
15,"XO TOUR Llif3","Lil Uzi Vert",22531,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
16,"Shape of You","Ed Sheeran",22104,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
17,"Sorry Not Sorry","Demi Lovato",21843,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
18,"There's Nothing Holdin' Me Back","Shawn Mendes",21570,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
19,"Strip That Down","Liam Payne",21415,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
20,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",20821,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
21,"Your Song","Rita Ora",19371,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
