Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",118204,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Despacito - Remix","Luis Fonsi",114657,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
3,"Something Just Like This","The Chainsmokers",108190,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"I'm the One","DJ Khaled",97631,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
5,Attention,"Charlie Puth",92772,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
6,"Stay (with Alessia Cara)",Zedd,84566,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
7,"Symphony (feat. Zara Larsson)","Clean Bandit",81785,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
8,"It Ain't Me (with Selena Gomez)",Kygo,76615,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
9,長相廝守,ToNick,75736,https://open.spotify.com/track/3VSFri2BxieCG7RtuxFMXr
10,"There's Nothing Holdin' Me Back","Shawn Mendes",72330,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
11,"That's What I Like","Bruno Mars",70155,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
12,"First Time",Kygo,69549,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
13,"Good Life (with G-Eazy & Kehlani)",G-Eazy,66452,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
14,"The Cure","Lady Gaga",60310,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
15,Thunder,"Imagine Dragons",59375,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
16,"No Promises (feat. Demi Lovato)","Cheat Codes",58911,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
17,"Sign of the Times","Harry Styles",58783,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
