Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",520863,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Say You Won't Let Go","James Arthur",431473,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
3,Paris,"The Chainsmokers",392744,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
4,Closer,"The Chainsmokers",355454,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,333714,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
6,"All We Know","The Chainsmokers",333544,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
7,"Bad Things (with Camila Cabello)","Machine Gun Kelly",325693,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
8,"Don't Wanna Know","Maroon 5",313476,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
9,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",292447,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
10,"Castle on the Hill","Ed Sheeran",288560,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
11,"Let Me Love You","DJ Snake",269198,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
12,Starboy,"The Weeknd",268784,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
13,Alone,"Alan Walker",266372,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
14,"Versace On The Floor","Bruno Mars",265521,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
15,"How Far I'll Go - From ""Moana""","Alessia Cara",247578,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
16,Starving,"Hailee Steinfeld",245070,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
17,"By Your Side","Jonas Blue",240392,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
