Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",408323,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Castle on the Hill","Ed Sheeran",306295,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
3,"You Don't Know Me - Radio Edit","Jax Jones",291464,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
4,Paris,"The Chainsmokers",240604,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,216205,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
6,"Call On Me - Ryan Riback Extended Remix",Starley,208961,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
7,"September Song","JP Cooper",188079,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
8,Touch,"Little Mix",183312,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
9,"Solo Dance","Martin Jensen",179204,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
10,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",171975,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
11,"Scared to Be Lonely","Martin Garrix",170951,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
12,"Chained To The Rhythm","Katy Perry",166219,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
13,Human,"Rag'n'Bone Man",154866,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
14,"Just Hold On","Steve Aoki",143669,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
15,"I Would Like","Zara Larsson",142911,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
16,"I Feel It Coming","The Weeknd",137916,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
17,"Say You Won't Let Go","James Arthur",137243,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
18,Sexual,NEIKED,133518,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
19,"All Night","The Vamps",132471,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
20,Issues,"Julia Michaels",121964,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
21,Weak,AJR,120582,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
22,"How Far I'll Go - From ""Moana""","Alessia Cara",116695,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
23,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",116135,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
24,"Bad Things (with Camila Cabello)","Machine Gun Kelly",115457,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
25,Starboy,"The Weeknd",112783,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
26,"Shed a Light","Robin Schulz",112497,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
27,"Don't Wanna Know","Maroon 5",112124,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
28,"Water Under the Bridge",Adele,111091,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
29,"Now and Later","Sage The Gemini",109605,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
30,Closer,"The Chainsmokers",106433,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
31,"Don't Leave",Snakehips,106019,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
32,"One Dance",Drake,101706,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
33,"By Your Side","Jonas Blue",99302,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
34,"No Lie","Sean Paul",95073,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
35,"The Mack",Nevada,93300,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
36,"You Want Me","Tom Zanetti",90533,https://open.spotify.com/track/4xX7OsX8XTGWJgRxNNIaFT
37,"Love Me Now","John Legend",89677,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
38,"Be The One","Dua Lipa",88951,https://open.spotify.com/track/7FCfMXYTIiQ9b4hDYs4Iol
39,"Move Your Body - Single Mix",Sia,87239,https://open.spotify.com/track/7ynCQo1KpBOyTdTdAnjSLZ
40,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,86355,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
41,"My Way","Calvin Harris",80833,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
42,"Love On Me",Galantis,80607,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF
43,"Fake Love",Drake,80205,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
44,Starving,"Hailee Steinfeld",79439,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
45,"Big For Your Boots",Stormzy,78839,https://open.spotify.com/track/3uMB82o0qa7erhiZBW9KQC
46,Oops,"Little Mix",76110,https://open.spotify.com/track/37xcWhVKQ99uuiA5Y4yapi
47,"Shout Out to My Ex","Little Mix",74579,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
48,"Let Me Love You","DJ Snake",71296,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
49,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",66918,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
50,"Side To Side","Ariana Grande",64403,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
51,Skin,"Rag'n'Bone Man",63886,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
52,Believer,"Imagine Dragons",61843,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
53,"24K Magic","Bruno Mars",59188,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
54,"After The Afterparty (feat. Lil Yachty)","Charli XCX",53849,https://open.spotify.com/track/0y8Wf6ltWpGCpgqVa21QNX
55,Photograph,"Ed Sheeran",50534,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
56,"Thinking Out Loud","Ed Sheeran",50510,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
57,"Text From Your Ex (feat. Tinashe)","Tinie Tempah",49487,https://open.spotify.com/track/4CRk8QpQ2KNS7N5S2xjEjQ
58,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",48663,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
59,"Safe Inside","James Arthur",47229,https://open.spotify.com/track/5ooilrQAnOJbUjq7IDm8lY
60,"Black Beatles","Rae Sremmurd",46199,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
61,"In the Name of Love","Martin Garrix",45105,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
62,"Should've Been Me","Naughty Boy",43486,https://open.spotify.com/track/4aiLpwwZw5Ek9KkBMnt6Zu
63,"Only One - Radio Edit",Sigala,41891,https://open.spotify.com/track/5ev0Z2lFzmhjlQCWpRAWiG
64,"All Time Low","Jon Bellion",40248,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
