Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",56626,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,33498,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
3,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,31271,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
4,"I Feel It Coming","The Weeknd",26489,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
5,"How Far I'll Go - From ""Moana""","Alessia Cara",25367,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
6,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",25102,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
7,"Castle on the Hill","Ed Sheeran",24680,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
8,Starboy,"The Weeknd",23991,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
9,"Say You Won't Let Go","James Arthur",22716,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
10,T-Shirt,Migos,21081,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
11,"Fake Love",Drake,20864,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
12,"Call On Me - Ryan Riback Extended Remix",Starley,20401,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
13,Paris,"The Chainsmokers",19092,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
14,Human,"Rag'n'Bone Man",17135,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
15,"Love On The Brain",Rihanna,16050,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
16,"Fröken Reykjavík","Friðrik Dór",15681,https://open.spotify.com/track/6YmjtvXrdpD1VUUW5hznQp
17,"Svona er þetta","Emmsjé Gauti",15383,https://open.spotify.com/track/1Lj3IxnXEMEULqW400cjio
18,Silfurskotta,"Emmsjé Gauti",15273,https://open.spotify.com/track/7LyQvc6mjRxBS5XRC0bTHV
19,"Don't Wanna Know","Maroon 5",15244,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
20,"Let Me Love You","DJ Snake",15158,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
21,"Lítur vel út","Aron Can",15023,https://open.spotify.com/track/39jfJXs2uYHmpU3zotxEkj
22,Reykjavík,"Emmsjé Gauti",14996,https://open.spotify.com/track/4N2Xtuy20ewSeznRQcX6G4
23,"Bad Things (with Camila Cabello)","Machine Gun Kelly",14921,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
24,"Vor í Vaglaskógi",Kaleo,14028,https://open.spotify.com/track/2OdpZeTpnbqPqBrclk2pib
25,"Bounce Back","Big Sean",13975,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
26,"Make Me (Cry)","Noah Cyrus",13847,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
27,"Black Beatles","Rae Sremmurd",13491,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
28,Redbone,"Childish Gambino",13467,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
29,Mercy,"Shawn Mendes",13445,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
30,"One Dance",Drake,13436,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
31,"Just Hold On","Steve Aoki",12111,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
32,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",12090,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
33,"Scars To Your Beautiful","Alessia Cara",11539,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
34,"All Time Low","Jon Bellion",10934,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
35,Weak,AJR,10870,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
36,"I Would Like","Zara Larsson",10759,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
37,"Side To Side","Ariana Grande",10431,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
38,"Love Me Now","John Legend",10415,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
39,Closer,"The Chainsmokers",10263,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
40,"Party Monster","The Weeknd",10257,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
41,"Dancing On My Own","Calum Scott",10256,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
42,"No Heart","21 Savage",10195,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
43,"Enginn Mórall","Aron Can",9948,https://open.spotify.com/track/52BcFhIYD7mIajoeCHMHd9
44,"In the Name of Love","Martin Garrix",9813,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
45,Caroline,Aminé,9734,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
46,"24K Magic","Bruno Mars",9464,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
47,"Hear Me Now",Alok,9330,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
48,"Kelly Price (feat. Travis Scott)",Migos,9222,https://open.spotify.com/track/204U3zjm9kkzX25Pr4Rdld
49,Starving,"Hailee Steinfeld",9185,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
50,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",9000,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
51,Rúllupp,"Aron Can",8581,https://open.spotify.com/track/1I9BYf0I1HShuSoKnMnWwK
52,"Deja Vu","J. Cole",8503,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
53,"Með Mér","Aron Can",8424,https://open.spotify.com/track/5WqjAesTwkxr9sQ3INakS1
54,"All Night","The Vamps",8348,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
55,"Solo Dance","Martin Jensen",8334,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
56,"Needed Me",Rihanna,8327,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
