Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1373328,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1371966,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
3,Dexter,"Sfera Ebbasta",1082827,https://open.spotify.com/track/6TxoJpx5ul6HfkUgJJVUXY
4,"Occidentali's Karma - Radio Edit","Francesco Gabbani",899451,https://open.spotify.com/track/00wxIcA1PPbqEzATkHT4e1
5,"Something Just Like This","The Chainsmokers",770477,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
6,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",708999,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
7,"SUBEME LA RADIO","Enrique Iglesias",652441,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
8,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,638655,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
9,Paris,"The Chainsmokers",617673,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
10,"It Ain't Me (with Selena Gomez)",Kygo,584820,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
11,"Castle on the Hill","Ed Sheeran",573727,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
12,"Galway Girl","Ed Sheeran",573488,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
13,Believer,"Imagine Dragons",551992,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
14,"Scared to Be Lonely","Martin Garrix",494321,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
15,"Chained To The Rhythm","Katy Perry",457697,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
16,Chantaje,Shakira,446067,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
17,Cold,"Maroon 5",439088,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
18,"Il Diario Degli Errori","Michele Bravi",438610,https://open.spotify.com/track/5fe47fVHpndUfJUqMum9Rf
19,"Call On Me - Ryan Riback Extended Remix",Starley,409972,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
20,"You Don't Know Me - Radio Edit","Jax Jones",398685,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
21,Perfect,"Ed Sheeran",381813,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
22,"Stay (with Alessia Cara)",Zedd,380834,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
23,"Portami via","Fabrizio Moro",376693,https://open.spotify.com/track/2YsfmsmRwWaFV7YLvTGFcm
24,"All Night","Parov Stelar",368356,https://open.spotify.com/track/6kK2YbF8boQl32Lqkai3Ca
25,Closer,"The Chainsmokers",361086,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
