Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",152360,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,打上花火,DAOKO×米津玄師,116511,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ
3,"Look What You Made Me Do","Taylor Swift",102241,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
4,"New Rules","Dua Lipa",88760,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,"Friends (with BloodPop®)","Justin Bieber",86010,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
6,"What Lovers Do (feat. SZA)","Maroon 5",84065,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
7,"Despacito - Remix","Luis Fonsi",81094,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
8,Mama,"Jonas Blue",79705,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
9,"My Boo","Shota Shimizu",79494,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
10,"Sorry Not Sorry","Demi Lovato",74742,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
11,DNA,BTS,73310,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
12,"Something Just Like This","The Chainsmokers",73284,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
13,"WanteD! WanteD!","Mrs. GREEN APPLE",72643,https://open.spotify.com/track/4m8ayeTlVnsYAtR42NhDqZ
14,"Too Good At Goodbyes","Sam Smith",72097,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
15,恋音と雨空,AAA,71886,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N
16,"Lonely Together (feat. Rita Ora)",Avicii,71437,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
17,Havana,"Camila Cabello",71404,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
18,Perfect,"Ed Sheeran",70270,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
19,"Wherever you are","ONE OK ROCK",69974,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ
20,Attention,"Charlie Puth",69310,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
21,"Dusk Till Dawn - Radio Edit",ZAYN,68402,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
22,"Stay (with Alessia Cara)",Zedd,66902,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
23,rockstar,"Post Malone",66149,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
24,"Without You (feat. Sandro Cavazza)",Avicii,65421,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
