Position,"Track Name",Artist,Streams,URL
1,"Felices los 4",Maluma,5199695,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
2,"Me Rehúso","Danny Ocean",3712619,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
3,"Escápate Conmigo",Wisin,2394064,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
4,"Despacito - Remix","Luis Fonsi",2387599,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
5,"Ahora Dice","Chris Jeday",2199997,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
6,"Shape of You","Ed Sheeran",2075652,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
7,"El Amante","Nicky Jam",2028139,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
8,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1967238,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
9,"Hey DJ",CNCO,1930363,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
10,"Sigo Extrañándote","J Balvin",1891436,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
11,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,1670052,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
12,"SUBEME LA RADIO","Enrique Iglesias",1623786,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
13,"La Rompe Corazones","Daddy Yankee",1561827,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
14,"Tu Foto",Ozuna,1459107,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
15,"Me Llamas (feat. Maluma) - Remix","Piso 21",1429399,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
16,"Sign of the Times","Harry Styles",1410032,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
17,"Otra Vez (feat. J Balvin)","Zion & Lennox",1407610,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
18,Tuesday,"Burak Yeter",1346632,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
19,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",1309186,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
20,"Me Enamoré",Shakira,1285533,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
21,"Ay Mi Dios",IAmChino,1282241,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
22,"Vente Pa' Ca","Ricky Martin",1202235,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
23,Amárrame,"Mon Laferte",1175259,https://open.spotify.com/track/0u13src3QcditRU5VPduML
24,"Sé Que Te Duele","Alejandro Fernandez",1158102,https://open.spotify.com/track/5vZfgeDfNhlkKeJqjzSAmg
25,"I'm the One","DJ Khaled",1150928,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
26,"That's What I Like","Bruno Mars",1149255,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
27,"Bad Liar","Selena Gomez",1144513,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
28,Attention,"Charlie Puth",1132485,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
29,"Something Just Like This","The Chainsmokers",1116291,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
30,Chantaje,Shakira,1042528,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
31,"Alguien Robo","Sebastian Yatra",1038287,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
32,"Adiós Amor","Christian Nodal",1031504,https://open.spotify.com/track/3OQXAp3uGQvkPi4DAMaM5p
33,"It Ain't Me (with Selena Gomez)",Kygo,1025667,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
34,Passionfruit,Drake,1023416,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
35,"Reggaetón Lento (Bailemos)",CNCO,1013501,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
36,Malibu,"Miley Cyrus",972347,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
37,"Stay (with Alessia Cara)",Zedd,954443,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
38,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",949954,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
39,"I Feel It Coming","The Weeknd",948540,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
40,Vacaciones,Wisin,930101,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
41,Traicionera,"Sebastian Yatra",921178,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
42,"Tú Sí Sabes Quererme","Natalia Lafourcade",888820,https://open.spotify.com/track/6p3yxt0uJJshAS3CT0znQg
43,"Bon appétit","Katy Perry",879855,https://open.spotify.com/track/61WbtB6ujkpNAsAf5LjF4b
44,"Borro Cassette",Maluma,856159,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
45,Besándote,"Piso 21",840439,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h
46,"Scared to Be Lonely","Martin Garrix",838220,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
47,"There's Nothing Holdin' Me Back","Shawn Mendes",819923,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
48,"First Time",Kygo,791647,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
