Position,"Track Name",Artist,Streams,URL
1,"Look What You Made Me Do","Taylor Swift",427141,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
2,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",246428,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
3,Feels,"Calvin Harris",226203,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
4,"New Rules","Dua Lipa",219318,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,"Despacito - Remix","Luis Fonsi",219067,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
6,Attention,"Charlie Puth",208030,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
7,"Friends (with BloodPop®)","Justin Bieber",200124,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
8,"2U (feat. Justin Bieber)","David Guetta",199801,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
9,"Strip That Down","Liam Payne",189269,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
10,Havana,"Camila Cabello",174081,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
11,"There for You","Martin Garrix",161675,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
12,Mama,"Jonas Blue",158727,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
13,"Sorry Not Sorry","Demi Lovato",154336,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
14,"I'm the One","DJ Khaled",151614,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
15,"Shape of You","Ed Sheeran",143420,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
16,"I Like Me Better",Lauv,138479,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
17,"No Promises (feat. Demi Lovato)","Cheat Codes",137380,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
18,"Asal Kau Bahagia",Armada,137216,https://open.spotify.com/track/2F4x7TRtf5K3LNSpEuKGhY
19,Silence,Marshmello,135637,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
20,"Young Dumb & Broke",Khalid,131374,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
21,"Slow Hands","Niall Horan",127967,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
22,"There's Nothing Holdin' Me Back","Shawn Mendes",126277,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
23,"Something Just Like This","The Chainsmokers",124116,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
24,"Symphony (feat. Zara Larsson)","Clean Bandit",119162,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
25,"Without You (feat. Sandro Cavazza)",Avicii,115600,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
26,"Fetish (feat. Gucci Mane)","Selena Gomez",114685,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
27,Thunder,"Imagine Dragons",114474,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
28,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",112950,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
29,"More Than You Know","Axwell /\ Ingrosso",110197,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
30,"Wild Thoughts","DJ Khaled",106264,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
