Position,"Track Name",Artist,Streams,URL
1,"New Rules","Dua Lipa",1344542,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
2,"Mi Gente","J Balvin",1308895,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3,"Lovely Body",SFB,1134823,https://open.spotify.com/track/65ExBcuMthmxRVnPVvWCe3
4,"Op De Weg",Equalz,1128087,https://open.spotify.com/track/32VAEczWfk1FyU8AGCY2wi
5,Krantenwijk,"Lil' Kleine",1062786,https://open.spotify.com/track/1X8py2jInjgIQ9Y9roDQZC
6,"Friends (with BloodPop®)","Justin Bieber",1015263,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
7,Cartier,Dopebwoy,994617,https://open.spotify.com/track/6zcSWREy1vcJ4aWt7bzBW3
8,Loterij,"Lil' Kleine",950198,https://open.spotify.com/track/260azNxQzQIloG7OpjQtTC
9,Feels,"Calvin Harris",907383,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
10,Mama,"Jonas Blue",906017,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
11,Unforgettable,"French Montana",874307,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
12,"Voy a Bailar (feat. Boef & Rolf Sanchez)","Ali B",850012,https://open.spotify.com/track/6h8Vwpox9ARTx8DIxn5PD6
13,"Look What You Made Me Do","Taylor Swift",831846,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
14,"Pull Up Game Strong",SBMG,825398,https://open.spotify.com/track/2ar7h324zj4zNLHQa3Dipm
15,"More Than You Know","Axwell /\ Ingrosso",819556,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
16,"Cocaina - Remix",Kempi,810607,https://open.spotify.com/track/6OpKBghxyHSJ9lqqJ4EkJu
17,"Wild Thoughts","DJ Khaled",791800,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
18,"Glorious (feat. Skylar Grey)",Macklemore,722426,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR
19,Havana,"Camila Cabello",717037,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
20,"2U (feat. Justin Bieber)","David Guetta",715404,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
21,Thunder,"Imagine Dragons",703009,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
22,"C'est la vie","The Partysquad",697917,https://open.spotify.com/track/3Ri4BMe03irzuJQQdXAh7U
23,"Sunny Days","Armin van Buuren",696414,https://open.spotify.com/track/6cHYdlHO65h3Dtt2pPKmBF
24,"Without You (feat. Sandro Cavazza)",Avicii,664129,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
25,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",654323,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
26,Traag,Bizzey,652257,https://open.spotify.com/track/7shAADk9RbPvnwCSkjctFJ
27,"Net Iets Meer","Lil' Kleine",643420,https://open.spotify.com/track/2SdXCB4OPo6J6Yc7V249pS
28,Attention,"Charlie Puth",622127,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
29,"What About Us",P!nk,620561,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv
30,Rain,"The Script",613362,https://open.spotify.com/track/2QWP8NYYplOqEFBYGCcq0S
31,"Is Dit Over","Ronnie Flex",597678,https://open.spotify.com/track/0fsmTJldWyMkaCWTWt68yq
32,"Come Again","Ronnie Flex",584759,https://open.spotify.com/track/0bWzmIbEKh0xFRb1pTSQAw
33,"Way It Goes",SFB,569501,https://open.spotify.com/track/6N9FSZAEYdWG7rhW8XXbUg
34,"Een Beetje",Glades,565638,https://open.spotify.com/track/3GaIRIw3eBvT1gUBgFjblH
35,"Doe Rustig!",Lijpe,560465,https://open.spotify.com/track/4Rg9TAzx7mq7MEmEFdQzIb
36,"There's Nothing Holdin' Me Back","Shawn Mendes",554988,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
37,"Strip That Down","Liam Payne",548869,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
38,"Sorry Not Sorry","Demi Lovato",546177,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
39,"Shape of You","Ed Sheeran",543714,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
40,Silence,Marshmello,534531,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
41,"Know No Better (feat. Quavo)","Major Lazer",514770,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
42,"Your Song","Rita Ora",500228,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
43,"Up Till Dawn (On The Move)","Lucas & Steve",489206,https://open.spotify.com/track/0tnpz1mvcQdDASkjUdHChV
44,Heimwee,Lijpe,467493,https://open.spotify.com/track/048uWGSGTnQhaZFjTCVPZX
45,"Despacito - Remix","Luis Fonsi",454580,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
46,"La Colegiala","The Boy Next Door",454477,https://open.spotify.com/track/5yQHRt2jsjQdj0WNASwvKK
47,Alleen,"Lil' Kleine",453778,https://open.spotify.com/track/1VDFn1PCpp8EOXLMURS8kP
48,"Slow Hands","Niall Horan",453476,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
49,"Pardon Doe Normaal",Supergaande,449785,https://open.spotify.com/track/4Ss4iM3ST9QuJRic27sxBG
50,"There for You","Martin Garrix",448087,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
51,"I'm the One","DJ Khaled",436749,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
52,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",430250,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
53,Questions,"Chris Brown",416006,https://open.spotify.com/track/5XQMr19TL7Mfksq9zihbOu
54,"Complicated (feat. Kiiara)","Dimitri Vegas & Like Mike",406835,https://open.spotify.com/track/1Sl3njkhhz8nrSPZroDQ82
55,"Reggaetón Lento (Remix) [CNCO & Little Mix]",CNCO,394342,https://open.spotify.com/track/3zoYkqS4y2BsGVShPL2nTE
56,"Non Stop",Hansie,378256,https://open.spotify.com/track/7FHswZNIRuGrq58FLFvZsU
57,"Lonely Together (feat. Rita Ora)",Avicii,377760,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
58,"Came Here for Love",Sigala,364613,https://open.spotify.com/track/3kGfazcbVvVkuZunzlLgTD
59,"XO TOUR Llif3","Lil Uzi Vert",357662,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
60,"4x Duurder",SBMG,355670,https://open.spotify.com/track/2GmVap1TUXocIewXZRaRo7
61,"I Like Me Better",Lauv,344594,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
62,"Van Mij",Jayh,331061,https://open.spotify.com/track/5udXAq5qv3sRRD0L60vJu2
63,"Badman Ollo",Bizzey,325796,https://open.spotify.com/track/4uFilJdTcMu9A7R4pVIKoF
64,OK,"Robin Schulz",323993,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
65,"Symphony (feat. Zara Larsson)","Clean Bandit",320006,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
