Position,"Track Name",Artist,Streams,URL
1,"Fy faen",Hkeem,1044553,https://open.spotify.com/track/6EcTjceNc3WhEqrWzXIFwA
2,"Symphony (feat. Zara Larsson)","Clean Bandit",963537,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
3,"It Ain't Me (with Selena Gomez)",Kygo,850991,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"Shape of You","Ed Sheeran",760345,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
5,Tuesday,"Burak Yeter",757841,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
6,"Galway Girl","Ed Sheeran",662156,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
7,"Good Life (with G-Eazy & Kehlani)",G-Eazy,628992,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
8,"Something Just Like This","The Chainsmokers",603259,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
9,HUMBLE.,"Kendrick Lamar",601011,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
10,"Mask Off",Future,577281,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
11,Issues,"Julia Michaels",568970,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
12,"You Don't Know Me - Radio Edit","Jax Jones",534953,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
13,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",531747,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
14,"Scared to Be Lonely","Martin Garrix",519810,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
15,Breathe,"Astrid S",496175,https://open.spotify.com/track/4fhVodXZARPX0oTuQh8V9l
16,Weak,AJR,469638,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
17,"Om Alt Går Til Helvete",Katastrofe,457531,https://open.spotify.com/track/0htoN1Awu7SQy0bDVpWMfH
18,Believer,"Imagine Dragons",457029,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
19,"Despacito - Remix","Luis Fonsi",451607,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
20,"Håper du har plass",Cezinando,450668,https://open.spotify.com/track/7FNyRafAkUgto3txPZhiO6
21,"Stay (with Alessia Cara)",Zedd,439018,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
22,"Dill Dall (feat. Lothepus & Pilgaard)","Benjamin Beats",432282,https://open.spotify.com/track/0RqfiDB3g0C1XPRO872ygU
23,Skin,"Rag'n'Bone Man",421157,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
24,"Sign of the Times","Harry Styles",404101,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
25,Passionfruit,Drake,395323,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
26,Thumbs,"Sabrina Carpenter",387439,https://open.spotify.com/track/3UjJP4ludb74a29P5EHEIo
27,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",374451,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
28,"Wake Up Alone","Tungevaag & Raaban",365628,https://open.spotify.com/track/2vzBZ87UkwvkIycWEWFrYp
29,"How Far I'll Go - From ""Moana""","Alessia Cara",347655,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
30,"Skammekroken 2017",TIX,334151,https://open.spotify.com/track/00RTuCqRSWa8hAhirgg8Lp
31,Amazing,Broiler,333030,https://open.spotify.com/track/2SdWK7UqcyjOmzPKxTJ0gA
32,"All I Need","Joakim Lundell",325316,https://open.spotify.com/track/6vBgJ1SLmpB4VMcEVy1ovL
33,DNA.,"Kendrick Lamar",319768,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
34,Paris,"The Chainsmokers",316130,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
35,Slide,"Calvin Harris",308134,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
36,"Chained To The Rhythm","Katy Perry",296741,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
37,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,296089,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
38,"Only You","Zara Larsson",294772,https://open.spotify.com/track/5SleX0NFeODNY7Xenal3gr
39,"That's What I Like","Bruno Mars",290250,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
40,"Grab The Moment",JOWST,285368,https://open.spotify.com/track/7CiatbFJpSnXnbCiVaGlm0
41,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",282771,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
42,"Høyt over Oslo","Morgan Sulele",280242,https://open.spotify.com/track/2UUJAjlQvxa9kzYRYSKtyV
43,"Girl At Coachella (with Matoma & MAGIC! feat. DRAM)",Matoma,280200,https://open.spotify.com/track/4P6tyL5Uom1pIcFtTwO898
44,Alone,"Alan Walker",274636,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
45,"Cruise - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Kygo,267746,https://open.spotify.com/track/3f8TbkkP0VIdOKvLTMMTvU
46,"Castle on the Hill","Ed Sheeran",263983,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
47,"The One","The Chainsmokers",253444,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
48,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",250741,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
49,Cold,"Maroon 5",249116,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
50,"Wasting Your Time (feat. Alida)",JCY,248376,https://open.spotify.com/track/5Un9OFyfZz6XAtuHJ7iE0A
51,ELEMENT.,"Kendrick Lamar",228300,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
52,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",217443,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
53,"I Feel It Coming","The Weeknd",207852,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
54,Happier,"Ed Sheeran",198945,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
55,"Solo Dance","Martin Jensen",195716,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
56,"No Promises (feat. Demi Lovato)","Cheat Codes",191504,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
57,"Lights Out (Too Drunk) [feat. Hayley]","DJ Katch",187581,https://open.spotify.com/track/5Oh3cW5gnEEKPsHb1WrVWm
58,Cake,"Flo Rida",186264,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
59,"SUBEME LA RADIO","Enrique Iglesias",185171,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
60,"Obsession (feat. Jon Bellion)",Vice,180482,https://open.spotify.com/track/5pvVAwQbuFoR7LkcicrKnk
61,"For The Love","Hearts & Colors",171593,https://open.spotify.com/track/1Q1Lz8shbr2AXR8zKReTqd
62,"LOVE. FEAT. ZACARI.","Kendrick Lamar",169972,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
63,"One Night Stand","Vidar Villa",167775,https://open.spotify.com/track/0mYH2p6u1gyi3k40xEOvUT
64,FEEL.,"Kendrick Lamar",167576,https://open.spotify.com/track/2LTlO3NuNVN70lp2ZbVswF
65,Perfect,"Ed Sheeran",166659,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
66,"Call On Me - Ryan Riback Extended Remix",Starley,161925,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
67,"All Time Low","Jon Bellion",155289,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
