Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",484749,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One","DJ Khaled",316247,https://open.spotify.com/track/1jYiIOC5d6soxkJP81fxq2
3,"Wild Thoughts","DJ Khaled",296497,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
4,HUMBLE.,"Kendrick Lamar",283341,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
5,"2U (feat. Justin Bieber)","David Guetta",276861,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
6,"Strip That Down","Liam Payne",262461,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
7,Attention,"Charlie Puth",225795,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
8,Thunder,"Imagine Dragons",224881,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
9,"Shape of You","Ed Sheeran",214456,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
10,"Perfect Places",Lorde,204709,https://open.spotify.com/track/7ARveOiD31w2Nq0n5FsSf8
11,Mama,"Jonas Blue",199298,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
12,Location,Khalid,194473,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
13,"Homemade Dynamite",Lorde,192786,https://open.spotify.com/track/12o6dxWGk29uIAP3OWY0pM
14,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",190405,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
15,Malibu,"Miley Cyrus",190329,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
16,"Slow Hands","Niall Horan",189222,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
17,"XO TOUR Llif3","Lil Uzi Vert",186739,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
18,"Green Light",Lorde,183747,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
19,"The Louvre",Lorde,181554,https://open.spotify.com/track/5q4BpnMrYEFzLO0dYODj6J
20,"There's Nothing Holdin' Me Back","Shawn Mendes",174752,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
21,Sober,Lorde,170697,https://open.spotify.com/track/2mNbgyi0gori4b1rFSPgIb
22,"Symphony (feat. Zara Larsson)","Clean Bandit",168768,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
23,"Bad Liar","Selena Gomez",167908,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
