Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",723895,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,"Shape of You","Ed Sheeran",432368,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"El Amante","Nicky Jam",421036,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
4,"Me Rehúso","Danny Ocean",416692,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
5,"La Rompe Corazones","Daddy Yankee",325943,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
6,"SUBEME LA RADIO","Enrique Iglesias",325795,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
7,"Ay Mi Dios",IAmChino,324314,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
8,"Reggaetón Lento (Bailemos)",CNCO,321661,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
9,"Otra Vez (feat. J Balvin)","Zion & Lennox",318859,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
10,Chantaje,Shakira,311924,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
11,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",300849,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
12,"Me Llamas (feat. Maluma) - Remix","Piso 21",237253,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
13,"Sigo Extrañándote","J Balvin",235491,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
14,Safari,"J Balvin",233936,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
15,"Vente Pa' Ca","Ricky Martin",227579,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
16,Vacaciones,Wisin,222200,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
17,"That's What I Like","Bruno Mars",207195,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
18,"Tienes La Magia","Lil Silvio & El Vega",205561,https://open.spotify.com/track/3cx2712k0b6hvlJC0q27rL
19,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,197617,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
20,Traicionera,"Sebastian Yatra",197592,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
21,"Andas En Mi Cabeza","Chino & Nacho",190762,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
22,"Alguien Robo","Sebastian Yatra",190466,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
23,"Deja vu","Prince Royce",189137,https://open.spotify.com/track/46HdsiK0uR26B2dY9QPzda
24,"Qué Bonito","Vicky Corbacho",184519,https://open.spotify.com/track/5rhQzYGJqaSOO1RcZFbtQb
25,"Soy Peor","Bad Bunny",183099,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0
26,"Te Quiero Pa´Mi","Don Omar",176708,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
27,"Si Tú La Ves","Nicky Jam",174522,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
28,"La Bicicleta","Carlos Vives",170215,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
29,"Let Me Love You","DJ Snake",169865,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
30,"Si Tu Novio Te Deja Sola","J Balvin",164564,https://open.spotify.com/track/0RFFFGtPn6a58RHY3ccVYX
31,"Shaky Shaky","Daddy Yankee",161918,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
32,"Gyal You A Party Animal - Remix","Charly Black",159201,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I
33,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,156744,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
