Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1568737,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Something Just Like This","The Chainsmokers",1392991,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
3,"That's What I Like","Bruno Mars",1340416,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
4,"Versace On The Floor","Bruno Mars",1043940,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
5,"Say You Won't Let Go","James Arthur",1038992,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
6,"Stay (with Alessia Cara)",Zedd,925237,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
7,Paris,"The Chainsmokers",814422,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
8,"Symphony (feat. Zara Larsson)","Clean Bandit",794521,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
9,"It Ain't Me (with Selena Gomez)",Kygo,769127,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
10,Touch,"Little Mix",739750,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,737350,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
12,"The One","The Chainsmokers",706965,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
13,"Scared to Be Lonely","Martin Garrix",668403,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
14,"How Far I'll Go - From ""Moana""","Alessia Cara",667949,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
15,Starving,"Hailee Steinfeld",661990,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
16,美女と野獣,"Ariana Grande",660844,https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg
17,Closer,"The Chainsmokers",632484,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
18,"Call On Me - Ryan Riback Extended Remix",Starley,578899,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
19,"Good Life (with G-Eazy & Kehlani)",G-Eazy,575050,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
20,Sila,Sud,574081,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE
21,Issues,"Julia Michaels",568933,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
22,"Fresh Eyes","Andy Grammer",558431,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3
23,Cold,"Maroon 5",556840,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
24,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",538638,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
25,"Sign of the Times","Harry Styles",537198,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
26,HUMBLE.,"Kendrick Lamar",527907,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
27,"Perfect Strangers","Jonas Blue",517280,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
28,"Don't Wanna Know","Maroon 5",515950,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
29,"All We Know","The Chainsmokers",506942,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
30,Slide,"Calvin Harris",498546,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
31,"Now Or Never",Halsey,498212,https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e
32,"It's Gotta Be You",Isaiah,497765,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
33,"24K Magic","Bruno Mars",493190,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
34,Weak,AJR,482739,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
