Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",320612,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",258242,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,184744,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,Paris,"The Chainsmokers",153688,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,"It Ain't Me (with Selena Gomez)",Kygo,148464,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"Olha a Explosão","MC Kevinho",136636,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
7,"I Feel It Coming","The Weeknd",132369,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
8,"Scared to Be Lonely","Martin Garrix",130885,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
9,"Something Just Like This","The Chainsmokers",129053,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
10,Chantaje,Shakira,125823,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",119200,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
12,Starboy,"The Weeknd",118456,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
13,Cold,"Maroon 5",110793,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
14,"Say You Won't Let Go","James Arthur",109461,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
15,"Deu Onda","MC G15",108953,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
16,"Castle on the Hill","Ed Sheeran",100338,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
17,Believer,"Imagine Dragons",98744,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
18,Human,"Rag'n'Bone Man",98099,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
19,"Chained To The Rhythm","Katy Perry",94259,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
20,"Call On Me - Ryan Riback Extended Remix",Starley,89165,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
21,"Se Não Acordar Amanhã",Piruka,88812,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
22,Issues,"Julia Michaels",88325,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
23,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",87387,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
