Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",2728998,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One","DJ Khaled",1689102,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
3,"My Addiction","Joakim Lundell",1604772,https://open.spotify.com/track/6XAGQBdN6pdjGrhTGryIUE
4,Tuesday,"Burak Yeter",1326557,https://open.spotify.com/track/5c4tB0saSkNHX5CyDosuF7
5,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",1319939,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
6,"More Than You Know","Axwell /\ Ingrosso",1282156,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
7,"Tårarna i halsen",Tjuvjakt,1281665,https://open.spotify.com/track/5WC4x0M8zyTDv2h61zJahB
8,"Shape of You","Ed Sheeran",1218304,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
9,"First Time",Kygo,1217533,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
10,"Friday Night",Vigiland,1173891,https://open.spotify.com/track/7HGHhLbAklVxGkYdwyeVML
11,"There's Nothing Holdin' Me Back","Shawn Mendes",1074721,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
12,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",1062901,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
13,"Symphony (feat. Zara Larsson)","Clean Bandit",1060707,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
14,"Something Just Like This","The Chainsmokers",937710,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
15,"It Ain't Me (with Selena Gomez)",Kygo,881774,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
16,Gift,Hov1,874113,https://open.spotify.com/track/2NHAh9RwSCEwDo9jHeeQbp
17,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",858634,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
18,"SUBEME LA RADIO","Enrique Iglesias",857138,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
19,Unforgettable,"French Montana",843225,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
20,"Jag trodde änglarna fanns",Kamferdrops,836519,https://open.spotify.com/track/3qy7P1Vr6eGIwHP9DCUHwK
21,"Rocket (feat. NEIKED)","Miriam Bryant",789418,https://open.spotify.com/track/4iqroWSTElC2W5hVHgJGLD
22,"Strip That Down","Liam Payne",764771,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
23,Thunder,"Imagine Dragons",748670,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
24,"Galway Girl","Ed Sheeran",742484,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
25,Mama,"Jonas Blue",737633,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
26,"Mandy Moore",Hov1,729782,https://open.spotify.com/track/2vD1hN8Oxqfh4umefOVIqP
27,"Säg nåt som får mig att stanna","Norlie & KKV",715035,https://open.spotify.com/track/5sWeVXwpdXhS88GbbQNxnI
28,Malibu,"Miley Cyrus",702986,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
29,Hunter,Galantis,700655,https://open.spotify.com/track/3caMfJGFp53NAH2TuigdNj
30,"Mask Off",Future,693408,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
31,Attention,"Charlie Puth",691529,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
32,"Stay (with Alessia Cara)",Zedd,690273,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
33,"Hey Mamma - Radio Edit","Sunstroke Project",674991,https://open.spotify.com/track/3vcHPShfJAFP3TtAAsTHsV
34,"Bad Liar","Selena Gomez",635285,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
35,Tired,"Alan Walker",630908,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
36,OK,"Robin Schulz",622250,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
37,"There for You","Martin Garrix",611885,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
38,"Only You","Zara Larsson",593299,https://open.spotify.com/track/5SleX0NFeODNY7Xenal3gr
39,HUMBLE.,"Kendrick Lamar",588910,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
40,"Your Song","Rita Ora",574508,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
41,"Fy faen",Hkeem,573851,https://open.spotify.com/track/6EcTjceNc3WhEqrWzXIFwA
42,"Scared to Be Lonely","Martin Garrix",568212,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
43,"No Promises (feat. Demi Lovato)","Cheat Codes",549407,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
44,"I Love You","Axwell /\ Ingrosso",523088,https://open.spotify.com/track/11Fo4dAH31K7UZHGqCkCmE
45,Issues,"Julia Michaels",514187,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
46,"Solo Dance","Martin Jensen",507315,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
47,"Ja må du leva",Darin,505732,https://open.spotify.com/track/2q6kL6Tnbd3lJuxWL0v7ur
48,Kung,"Samir & Viktor",484489,https://open.spotify.com/track/1wWsJt1j7kgB7FwTMXFbAo
49,"All I Need","Joakim Lundell",476867,https://open.spotify.com/track/6vBgJ1SLmpB4VMcEVy1ovL
50,"Call Me",NEIKED,427000,https://open.spotify.com/track/458ESscRcqCVX1xbllEmPn
51,"You Don't Know Me - Radio Edit","Jax Jones",423236,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
52,"Sign of the Times","Harry Styles",364894,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
53,Bäst,"Oskar Linnros",354485,https://open.spotify.com/track/1KZisUrtRpcafagqjIqwDG
54,"Last Dance",Rhys,334330,https://open.spotify.com/track/0cbQXCWA8A17cZ9gm158Pz
55,"No Vacancy",OneRepublic,331870,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
56,"Swish Swish","Katy Perry",330945,https://open.spotify.com/track/3VRk65lHSwqd90TAkQqhvB
57,"City Lights",Blanche,322122,https://open.spotify.com/track/3kXqUXnukwkpsxhW8emNC0
