Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",505939,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,Attention,"Charlie Puth",304343,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
3,"Shape of You","Ed Sheeran",294631,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,"Something Just Like This","The Chainsmokers",268302,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,"2U (feat. Justin Bieber)","David Guetta",257110,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
6,"I'm the One","DJ Khaled",255797,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
7,"There for You","Martin Garrix",234387,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
8,"Symphony (feat. Zara Larsson)","Clean Bandit",231767,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
9,"There's Nothing Holdin' Me Back","Shawn Mendes",208379,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
10,"Strip That Down","Liam Payne",208286,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
11,"Stay (with Alessia Cara)",Zedd,196558,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
12,Mama,"Jonas Blue",194889,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
13,"No Promises (feat. Demi Lovato)","Cheat Codes",194127,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
14,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",184977,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
15,Thunder,"Imagine Dragons",184458,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
16,"That's What I Like","Bruno Mars",177195,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
17,"It Ain't Me (with Selena Gomez)",Kygo,168026,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
18,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",163755,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
19,"Crying in the Club","Camila Cabello",160819,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
20,"Now Or Never",Halsey,159011,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8
21,"First Time",Kygo,157637,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
22,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",150079,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
23,"Good Life (with G-Eazy & Kehlani)",G-Eazy,144953,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
24,HUMBLE.,"Kendrick Lamar",144676,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
25,"Scared to Be Lonely","Martin Garrix",143210,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
26,"Say You Won't Let Go","James Arthur",138266,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
27,"Bad Liar","Selena Gomez",136879,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
28,"Sign of the Times","Harry Styles",130947,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
29,"Slow Hands","Niall Horan",130768,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
30,"Your Song","Rita Ora",130698,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
31,"Galway Girl","Ed Sheeran",129771,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
32,"The Cure","Lady Gaga",127917,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
33,"Most Girls","Hailee Steinfeld",123585,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ
