Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",185562,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Paris,"The Chainsmokers",164644,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
3,Closer,"The Chainsmokers",127736,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,122335,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
5,"Say You Won't Let Go","James Arthur",115376,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
6,"Castle on the Hill","Ed Sheeran",115291,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
7,Starboy,"The Weeknd",103940,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
8,演員,"Joker Xue",102461,https://open.spotify.com/track/6LunoYd3xpZ19sICOXS8Xd
9,"Stay With Me",Chanyeol,100988,https://open.spotify.com/track/1HYzRuWjmS9LXCkdVHi25K
10,"Bad Things (with Camila Cabello)","Machine Gun Kelly",98473,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",97696,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
12,"Don't Wanna Know","Maroon 5",97602,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
13,"Just Hold On","Steve Aoki",92094,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
14,帥到分手,NICKTHEREAL,91063,https://open.spotify.com/track/2tG6FZtaX5NPWFA64d8DWz
15,"Call On Me - Ryan Riback Extended Remix",Starley,89515,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
16,Alone,"Alan Walker",86402,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
17,不為誰而作的歌,"JJ Lin",82383,https://open.spotify.com/track/0VqSdtXseb9khdZrnYVyM1
18,"All We Know","The Chainsmokers",81622,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
19,"I Feel It Coming","The Weeknd",80849,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
20,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""","Eric Chou",79100,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
21,Faded,"Alan Walker",78421,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
22,"Let Me Love You","DJ Snake",77177,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
23,"How Far I'll Go - From ""Moana""","Alessia Cara",75480,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
24,孤獨是會上癮的,"Kenji Wu",71334,https://open.spotify.com/track/2fmUFSA8GV3SusglOWgltw
25,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",71330,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
26,"By Your Side","Jonas Blue",71169,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
27,後來的我們,Mayday,69643,https://open.spotify.com/track/0qepAQsUGIzofBj82iP17C
28,你啊你啊,"Waa Wei",68107,https://open.spotify.com/track/4nyO1azSuhT5JrETvzEahs
29,"All Night","The Vamps",67138,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
30,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",65408,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
31,"24K Magic","Bruno Mars",65231,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
32,"In the Name of Love","Martin Garrix",64353,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
33,謝謝妳愛我,R-chord,63411,https://open.spotify.com/track/2mjJn3jZaam3Z7qgtKMNrq
34,"Shed a Light","Robin Schulz",62926,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
35,"Don't Let Me Down","The Chainsmokers",59571,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
36,Mercy,"Shawn Mendes",58042,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
37,"光年之外 (電影 《Passengers》 中國區主題曲)",G.E.M.,57626,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
38,Starving,"Hailee Steinfeld",57357,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
39,年輪說,"Rainie Yang",56319,https://open.spotify.com/track/51PYzHOuwTngW2whaPoYFW
40,"Scars To Your Beautiful","Alessia Cara",54891,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
41,"Treat You Better","Shawn Mendes",54340,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
42,"Side To Side","Ariana Grande",53830,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
43,"The Ocean","Mike Perry",53135,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
44,Photograph,"Ed Sheeran",52263,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
45,好愛好散,"Andrew Tan",51766,https://open.spotify.com/track/47Qq2E5MqL30jOkaruCOnL
46,"幸福太短 (電視劇「奇妙的時光之旅」片尾曲) - Ending theme song of TV Drama ""Magical Space-Time""",A-Lin,51488,https://open.spotify.com/track/4bUXlEJRyV5YGERzh7AHuy
47,"Hear Me Now",Alok,51353,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
48,"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling",51307,https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6
49,"All Time Low","Jon Bellion",48343,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
50,"Solo Dance","Martin Jensen",45948,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
51,"好好 (想把你寫成一首歌)",Mayday,45548,https://open.spotify.com/track/2G1kCLtTmaRPnTukpriHO8
52,以後別做朋友,"Eric Chou",42865,https://open.spotify.com/track/7zyYmIdjqqiX6kLryb7QBx
53,就改天,"Miss Ko",42239,https://open.spotify.com/track/0DF6ogOpB1CYZF0PlG7WdR
54,Beautiful,Crush,41944,https://open.spotify.com/track/6mzF8HvHdVrzJNd8M1uFCS
55,"I Would Like","Zara Larsson",41359,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
56,Heathens,"Twenty One Pilots",40469,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
57,"Love Me Now","John Legend",39674,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
58,可惜沒如果,"JJ Lin",38828,https://open.spotify.com/track/6WoQzK5Exbfcmow1AoNRkl
59,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",37030,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
60,Weak,AJR,36929,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
61,"Setting Fires","The Chainsmokers",36541,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
62,皇后區的皇后,"Miss Ko",36022,https://open.spotify.com/track/0g3xY2ZkGUsVv9izhZk8y2
63,派對動物,Mayday,35861,https://open.spotify.com/track/3HwyNPs2e1iaD9slrimZ2Q
64,"Cheap Thrills",Sia,35627,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
65,"Another Day Of Sun - From ""La La Land"" Soundtrack","La La Land Cast",35610,https://open.spotify.com/track/0zCfmceT1YvtZXGbR6Roht
66,是我不夠好,"Tia Lee",35506,https://open.spotify.com/track/1rAywAtbOxHszio4OTwYPf
67,"Fake Love",Drake,35093,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
68,"Now and Later","Sage The Gemini",34320,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
69,"不將就 - 電影《何以笙簫默》片尾曲","Ronghao Li",34085,https://open.spotify.com/track/5DH8nF7aWoXXg5Sm3gjCWD
70,"I Miss You",SOYOU,34042,https://open.spotify.com/track/3SfbB0Y3saMIQnNctxMVhj
71,大齡女子,"Julia Peng",33973,https://open.spotify.com/track/4pkUru7mlNlEP5B5urUbGL
72,"愛在身邊(愛在你聲邊 主題曲) - (The theme song of micro movie) [the most precious thing of love, the voice]","Eric Chou",33684,https://open.spotify.com/track/0lUI4BRYmCjFlqpfM8Fyqc
73,"Don't Leave",Snakehips,33271,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
74,修煉愛情,"JJ Lin",33042,https://open.spotify.com/track/190kU2WKyIzx9XaBjfWRPk
75,"Who are you","Sam Kim",32879,https://open.spotify.com/track/7Jo5oEViT27zCkdRI5hEuG
76,我愛的人不愛我,Z-Chen,32530,https://open.spotify.com/track/7ClKYu6ngiXnz4M8zWQ1AW
77,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",32346,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
78,Chantaje,Shakira,32223,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
79,泡沫,G.E.M.,31896,https://open.spotify.com/track/2IfSPLPDW6RGosdB5huwAA
80,"寂寞無害(八大韓劇”拜託了媽媽”片頭曲) - GTV Korean Series ""All about My Mom"" Opening Theme Song","Eve Ai",31663,https://open.spotify.com/track/5hVaRXaXgpN9lNK61oyz2I
81,Issues,"Julia Michaels",31385,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
82,愛.這件事情,"Maggie Fu",30407,https://open.spotify.com/track/7LLj7DoK2rqJaDbjshn7zN
83,"My Way","Calvin Harris",30368,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
84,"Black Beatles","Rae Sremmurd",30075,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
85,"Water Under the Bridge",Adele,29914,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
86,"FXXK IT",BIGBANG,29483,https://open.spotify.com/track/0YVsrgp4OOUhFuYMAVQazV
87,告白气球,陳以桐,29369,https://open.spotify.com/track/0lk8GaCBo5UmCtyzzFQgFf
88,"I will go to you like the first snow",Ailee,29115,https://open.spotify.com/track/2BPXILn0MqOe5WroVXlvN1
89,"Sunset Lover","Petit Biscuit",29057,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
90,"Getting Stronger",姚亦晴,29023,https://open.spotify.com/track/60TlmLgVCXyJ80SYIxGIYM
91,陪妳過假日,Leo王,28820,https://open.spotify.com/track/4w99eXGKJ64oxJSNF9tPNs
92,"Lot to Learn","Luke Christopher",28597,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
93,鍊愛,"Jess Lee",28579,https://open.spotify.com/track/3dnUMJEjZ9AmukOaj7xIvd
94,"Someone In The Crowd - From ""La La Land"" Soundtrack","Emma Stone",28335,https://open.spotify.com/track/7xE4vKvjqUTtHyJ9zi0k1q
95,夜空中最亮的星,G.E.M.,28332,https://open.spotify.com/track/3w79AoO52OguIQFNsX2K8H
96,她說,"JJ Lin",28294,https://open.spotify.com/track/632VyMrvhsHIsO4zq9khts
97,"This Is What You Came For","Calvin Harris",28007,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
98,"One Dance",Drake,27796,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
99,"You are so beautiful","Eddy Kim",27716,https://open.spotify.com/track/2nJDePK69THatYkjkjQFE8
100,如果我們不曾相遇,Mayday,27339,https://open.spotify.com/track/2TmALSxWNkmpqPSDf8JJ3X
101,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack","Justin Hurwitz",26979,https://open.spotify.com/track/1R17cgUv6HeQFa78dzqb7s
102,Cake,"Flo Rida",26420,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
103,"The Greatest",Sia,26374,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
104,"I Got You","Bebe Rexha",26237,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
105,聽說聽說,藍又時,26226,https://open.spotify.com/track/0XPaE40MpRUNjPaJjgvAiS
106,"It's Gotta Be You",Isaiah,25931,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
107,TT,TWICE,25534,https://open.spotify.com/track/1nMbZ9OsVNSLEyijI80EST
108,"City Of Stars - From ""La La Land"" Soundtrack/Pier","Ryan Gosling",25318,https://open.spotify.com/track/7jltqRIyxLXBDNZ1QlmnBp
109,"Not Going Home",DVBBS,25282,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61
110,Wish,"Urban Zakapa",25003,https://open.spotify.com/track/04qqfjPWDqrg9q3HTToCfZ
111,Light,"San Holo",24529,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn
112,HEAVEN,"Roy Kim",24344,https://open.spotify.com/track/4HN2lu14JqrBVT1OYinP8f
113,"PLAYING WITH FIRE",BLACKPINK,24297,https://open.spotify.com/track/5ANbXf5qR48a4jfFnSq80w
114,燈光,"Eli Hsieh",24296,https://open.spotify.com/track/4QGYRrk7PPXJ3hEsn1BIRu
115,"Moving On and Getting Over","John Mayer",24233,https://open.spotify.com/track/1crSsvtU9wZB15dIQXV2QH
116,History,"Olivia Holt",24130,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
117,"Lighthouse - Andrelli Remix","Hearts & Colors",24114,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo
118,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,24090,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
119,"On My Way",Tiësto,24082,https://open.spotify.com/track/4hiUYb2nb6NlfTP9CD38Pe
120,"A Lovely Night - From ""La La Land"" Soundtrack","Ryan Gosling",23882,https://open.spotify.com/track/2fXH2iei02pBaSIdn5X4zJ
121,"Make Me (Cry)","Noah Cyrus",23640,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
122,Home,"Diana Wang",23583,https://open.spotify.com/track/2NZahxngwFLh73G9JnIqOj
123,"Round and round (feat. Han Suji)",HEIZE,23253,https://open.spotify.com/track/3vAncbML0jhNrp63DKhsCo
124,"彩虹 - Remastered","A-Mei Chang",22995,https://open.spotify.com/track/3OdzZtbKhKpQNkN2fQGNo8
125,"The Other",Lauv,22967,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g
126,"姊妹2016 - 平行宇宙版","A-Mei Chang",22879,https://open.spotify.com/track/4rksgQSbONtzovKPwj3cTa
127,Roses,"The Chainsmokers",22310,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y
128,"LAST DANCE",BIGBANG,22292,https://open.spotify.com/track/7dhr1r6OWHxrpvrdHxfe1n
129,"The first snow","Jung joonil",22198,https://open.spotify.com/track/43ogAyFAzG58KW7rhWeGQE
130,"Audition (The Fools Who Dream) - From ""La La Land"" Soundtrack","Emma Stone",22029,https://open.spotify.com/track/2lDWYLNnfYyXngjz4plpy2
131,"Love Yourself","Justin Bieber",21990,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
132,我把我的青春給你,好樂團,21877,https://open.spotify.com/track/1XxIOeXiiGEj7DorVnjukG
133,"Trust Nobody (feat. Selena Gomez & Tory Lanez)","Cashmere Cat",21874,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu
134,"Oceans Away","A R I Z O N A",21520,https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I
135,"Work from Home","Fifth Harmony",21315,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
136,"Epilogue - From ""La La Land"" Soundtrack","Justin Hurwitz",20922,https://open.spotify.com/track/1WOmEg42Mgaz1nRimIMR9C
137,"Hush (From Guardian [Original Television Soundtrack], Pt. 3)","Lasse Lindh",20776,https://open.spotify.com/track/16FoyabyqWiC4G0crZDt5Y
138,"Sing Me to Sleep","Alan Walker",20677,https://open.spotify.com/track/2Fjz5ZC5BvFdCqcnTZ3ilH
139,"Start A Fire","John Legend",20484,https://open.spotify.com/track/3gGHAScxUDsJqcAM6ZvjuH
140,"Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)",Vice,20474,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
141,"默 - Sound Of My Dream / Live",阿妹,20324,https://open.spotify.com/track/2EZQWlqxhPE2mfkGGt0M8i
142,失落沙洲,"LaLa Hsu",20319,https://open.spotify.com/track/4vBoopG4WzohMju1GUmwoi
143,"Planetarium - From ""La La Land"" Soundtrack","Justin Hurwitz",20183,https://open.spotify.com/track/5gcA28rUaSsEOM5g7Q5wF5
144,"BANG BANG BANG - KR ver.",BIGBANG,19901,https://open.spotify.com/track/6iu311jZAJFLPgoIWgrA72
145,"Herman’s Habit - From ""La La Land"" Soundtrack","Justin Hurwitz",19782,https://open.spotify.com/track/2SR8QbdNfzA3SUv4rt33sJ
146,"Some Kind Of Drug",G-Eazy,19771,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
147,"My eyes",10cm,19427,https://open.spotify.com/track/0ndIZ2XvGtXV0PIbEAwoIv
148,Sugar,"Maroon 5",19401,https://open.spotify.com/track/494OU6M7NOf4ICYb4zWCf5
149,推開世界的門,"Naiwen Yang",19390,https://open.spotify.com/track/7rYdfR1PHguFvfYUIs0ehf
150,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",19195,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
151,"Romantic - NOTD Remix",Stanaj,19159,https://open.spotify.com/track/3SGWp9fJCzgK0WcpcKSQdy
152,"Engagement Party - From ""La La Land"" Soundtrack","Justin Hurwitz",19101,https://open.spotify.com/track/5PYPCxyWltRIyPkhSsnWIk
153,"Hymn For The Weekend - Seeb Remix",Coldplay,19088,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU
154,"Thinking Out Loud","Ed Sheeran",18976,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
155,釘子花,"Wu Bai",18947,https://open.spotify.com/track/5gEv415M08g3s1dil727VF
156,為愛而愛,鼓鼓,18911,https://open.spotify.com/track/4zeU8x5M7n7YqKh2ds7vCn
157,"And I'm here","Kim Kyunghee",18638,https://open.spotify.com/track/2hX6HlfJeQFc39T5WI99Kw
158,WHISTLE,BLACKPINK,18490,https://open.spotify.com/track/3hfN1wQSiLPa6b1RX5Kfbj
159,"Fast Car","Jonas Blue",18441,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
160,一萬個不回頭的方法,"Waa Wei",18434,https://open.spotify.com/track/4QK2UTlsQDP5EZPRK9t43J
161,"Summer Montage / Madeline - From ""La La Land"" Soundtrack","Justin Hurwitz",18273,https://open.spotify.com/track/36ZXwLNujzc7WuRB0SfQ7l
162,Middle,"DJ Snake",17837,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n
163,"Taped Up Heart (feat. Clara Mae)",KREAM,17753,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA
164,11:11,TAEYEON,17361,https://open.spotify.com/track/67QGnT1Vdfuuy4HkLTUVjj
165,我會一直想你,"Jocie Kok",17310,https://open.spotify.com/track/7wBMyVtVAUhuY02Tp2VU8n
166,"怎麼還不愛(雀躍狂愛版) 三立偶像劇[料理高校生]片尾曲","Rosie Yang",17291,https://open.spotify.com/track/4qXEqMLJccyFMny6brZDet
167,"Versace On The Floor","Bruno Mars",17178,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
168,"人生超幽默 (feat. 莫安琪)","Kenji Wu",16940,https://open.spotify.com/track/7DZ0uaQ70sbOTGfmeYZqW2
169,"Blood Sweat & Tears",BTS,16919,https://open.spotify.com/track/0oSNOJEcBIKNcQzRc5TfyR
170,"Please Don't Go","Joel Adams",16853,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
171,"Don't Say No",SEOHYUN,16810,https://open.spotify.com/track/7hETpLmqWiMAD5TtfrOlOe
172,"City Of Stars (Humming) - From ""La La Land"" Soundtrack","Justin Hurwitz",16735,https://open.spotify.com/track/4h4qZgzHongzXzxyhCPKtt
173,"Perfect Strangers","Jonas Blue",16622,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
174,"Shout Out to My Ex","Little Mix",16500,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
175,"Bounce Back","Big Sean",16495,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
176,"7 Years","Lukas Graham",16429,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L
177,"Fresh Eyes","Andy Grammer",16233,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3
178,BOOMBAYAH,BLACKPINK,16151,https://open.spotify.com/track/0NeNAcCVtGqLAAmf4FhWWT
179,關鍵詞,"JJ Lin",16022,https://open.spotify.com/track/35B0D3BnZfxl0mA3KkstVK
180,Capsize,FRENSHIP,15982,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco
181,Hello,Adele,15976,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
182,再見,G.E.M.,15748,https://open.spotify.com/track/5UAGQJmL7Rn4gn7wlkMyqS
183,"The End - From ""La La Land"" Soundtrack","Justin Hurwitz",15491,https://open.spotify.com/track/2mEvsc8k8iwR099b49PccJ
184,Alone,Marshmello,15444,https://open.spotify.com/track/12mGwph2YzDIlChtq3EdXP
185,"Somebody Else",VÉRITÉ,15433,https://open.spotify.com/track/34i4yxPrHWquuR4kjiivFO
186,"Lost Stars","Adam Levine",15372,https://open.spotify.com/track/1ejtHfSXQwvaAU7F82FXww
187,"TROUBLE (feat. Absofacto)","The Knocks",15357,https://open.spotify.com/track/0SE7gSflAhE1a5HEs5Hk9R
188,"寂寞寂寞就好 - Sound Of My Dream / Live",阿妹,15268,https://open.spotify.com/track/6gzskMARxr1C1fWQTeEj2T
189,"Lean On (feat. MØ & DJ Snake)","Major Lazer",15176,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
190,"Winter Is Coming","Han Suji",15127,https://open.spotify.com/track/0zqmCAx4rhIkKXFzKaVscd
191,"Hymn For The Weekend",Coldplay,15110,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
192,喜劇之王,"Ronghao Li",15109,https://open.spotify.com/track/6Lh3qHU2vry05vUEjLKvIb
193,"故事 - Endless Story Live",Sodagreen,15098,https://open.spotify.com/track/2kxxThuM9DX5Qn5QAgQlbX
194,"愛 請問怎麼走",A-Lin,15024,https://open.spotify.com/track/2mqHMawyHWU5B5f2wA299P
195,十年,"Eason Chan",15002,https://open.spotify.com/track/25pWemriUQVrZ3yIiS2IBf
196,"Stuck In Love","Kim Kyunghee",14993,https://open.spotify.com/track/6GK9UX5iAjALpVRgtjR3MV
197,下雨的夜晚,Sodagreen,14894,https://open.spotify.com/track/4KbwDvkJalLYtseKjyoDvA
198,"This Town","Niall Horan",14868,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7
199,你的行李,"Eli Hsieh",14779,https://open.spotify.com/track/25ICsH1ZdAfUXHlnWKkiwd
200,Shine,"Benjamin Francis Leftwich",14650,https://open.spotify.com/track/4PDXtZQ83AJzfLWX0lcJux
