Position,"Track Name",Artist,Streams,URL
1,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,11504142,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
2,"Shape of You","Ed Sheeran",10256249,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Fake Love",Drake,7513713,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,7490530,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
5,Paris,"The Chainsmokers",7307665,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
6,T-Shirt,Migos,6808471,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
7,"Bounce Back","Big Sean",6126440,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
8,"iSpy (feat. Lil Yachty)",KYLE,5809582,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
9,Starboy,"The Weeknd",5808972,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
10,Caroline,Aminé,5129571,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
11,"Bad Things (with Camila Cabello)","Machine Gun Kelly",5003047,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
12,"I Feel It Coming","The Weeknd",4926830,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
13,Closer,"The Chainsmokers",4785483,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
14,"Black Beatles","Rae Sremmurd",4599570,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
15,"Say You Won't Let Go","James Arthur",4385605,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
16,"Castle on the Hill","Ed Sheeran",4118704,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
