Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",1534468,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,"Me Rehúso","Danny Ocean",1379095,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
3,"Felices los 4",Maluma,1244350,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
4,Bonita,"J Balvin",1136853,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
5,"Escápate Conmigo",Wisin,1045514,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
6,"Ahora Dice","Chris Jeday",1026012,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
7,"Hey DJ",CNCO,923590,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
8,"Tu Foto",Ozuna,802412,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
9,"Olha a Explosão","MC Kevinho",798153,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
10,"Shape of You","Ed Sheeran",766327,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
11,"La Rompe Corazones","Daddy Yankee",657217,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
12,Báilame,Nacho,654495,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C
13,"Una Lady Como Tú","Manuel Turizo",627004,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
14,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",625045,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
15,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",601248,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
16,"Me Enamoré",Shakira,592140,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
17,Besándote,"Piso 21",576090,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h
18,"Sigo Extrañándote","J Balvin",572117,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
19,"Si Tú La Ves","Nicky Jam",558627,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
20,"Despacito - Remix","Luis Fonsi",557262,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
21,"El Amante","Nicky Jam",548979,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
22,"Otra Vez (feat. J Balvin)","Zion & Lennox",542019,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
23,"Una y Otra Vez",Rombai,530980,https://open.spotify.com/track/3VSt7R9LHTomKGP1RhkvuT
24,"Me Llamas (feat. Maluma) - Remix","Piso 21",529277,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
25,"SUBEME LA RADIO","Enrique Iglesias",511022,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
26,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,476665,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
27,"2U (feat. Justin Bieber)","David Guetta",474301,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
28,"Ahora Me Llama","Karol G",473833,https://open.spotify.com/track/61HHDBLqF3AmSvLfHKNGd2
29,"Reggaetón Lento (Bailemos)",CNCO,455522,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
30,"Piel a Piel","Dame 5",453469,https://open.spotify.com/track/2q3B7GLCEA4uYvuo2g5P82
31,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",449939,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
32,"Alguien Robo","Sebastian Yatra",435800,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
