Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",212609,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"It Ain't Me (with Selena Gomez)",Kygo,132991,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
3,Paris,"The Chainsmokers",125684,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,121889,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
5,"Something Just Like This","The Chainsmokers",119382,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
6,"Scared to Be Lonely","Martin Garrix",107750,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
7,"Solo Dance","Martin Jensen",100365,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
8,Tuesday,"Burak Yeter",99467,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
9,"Castle on the Hill","Ed Sheeran",93644,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
10,"Call On Me - Ryan Riback Extended Remix",Starley,86748,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
11,"Chained To The Rhythm","Katy Perry",84868,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
12,Believer,"Imagine Dragons",83723,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
13,"All Time Low","Jon Bellion",80809,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
14,Alone,"Alan Walker",80509,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
15,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",79125,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
16,Weak,AJR,78782,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
17,Issues,"Julia Michaels",72847,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
18,"Shed a Light","Robin Schulz",72035,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
19,"Just Hold On","Steve Aoki",67998,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
20,"Bad Ideas","Alle Farben",66644,https://open.spotify.com/track/76gwG061wqdatYhicO2hG4
21,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",63452,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
22,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",61972,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
23,Bungalow,Bilderbuch,60829,https://open.spotify.com/track/0xCXcq4y44uHJtJ7zZDF3d
24,"Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)",Vice,59847,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
25,Closer,"The Chainsmokers",58962,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
26,"Stay (with Alessia Cara)",Zedd,58832,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
27,"All Night","The Vamps",58171,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
28,"Say You Won't Let Go","James Arthur",57451,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
29,"Way Down We Go",Kaleo,55447,https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6
30,"Lot to Learn","Luke Christopher",54435,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
31,Chöre,"Mark Forster",54425,https://open.spotify.com/track/2nYpbaLykC2cjU8Yt5KF1v
32,"Now and Later","Sage The Gemini",53845,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
33,"Hear Me Now",Alok,53788,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
34,Skin,"Rag'n'Bone Man",51785,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
35,Cold,"Maroon 5",51137,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
36,"How Far I'll Go - From ""Moana""","Alessia Cara",50088,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
37,"Never Give Up",Sia,49721,https://open.spotify.com/track/1ssmjAYSU5PbmsjLq5yrNH
38,"Scars To Your Beautiful","Alessia Cara",49563,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
39,"No Lie","Sean Paul",49341,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
40,"Don't Leave",Snakehips,48455,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
41,"I Feel It Coming","The Weeknd",46439,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
42,"Sunset Lover","Petit Biscuit",46110,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
43,Starboy,"The Weeknd",45040,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
44,"Shooting Stars","Bag Raiders",43702,https://open.spotify.com/track/0UeYCHOETPfai02uskjJ3x
45,"You Don't Know Me - Radio Edit","Jax Jones",43509,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
46,"Ohne mein Team","Bonez MC",42902,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
47,"Bad Things (with Camila Cabello)","Machine Gun Kelly",41825,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
48,Chantaje,Shakira,40697,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
49,Slide,"Calvin Harris",39392,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
50,"Let Me Love You","DJ Snake",38804,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
51,"In the Name of Love","Martin Garrix",35520,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
52,Places,"Martin Solveig",32430,https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj
53,"My Way","Calvin Harris",32081,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
54,Human,"Rag'n'Bone Man",31590,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
55,"I Got You","Bebe Rexha",29992,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
56,"Dye My Hair",ALMA,28975,https://open.spotify.com/track/5NafFxaLg9Ep21oTHBw7Zq
57,Jedermann,"Pizzera & Jaus",28952,https://open.spotify.com/track/4rkEjyRMjc6rcj7WROZ9XK
58,"Would I Lie To You - Radio Edit","David Guetta",28669,https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2
59,"Eine ins Leben","Pizzera & Jaus",28235,https://open.spotify.com/track/1tdohH49HMAFjlp1QSo6j8
60,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,27798,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
61,Love,"Lana Del Rey",27623,https://open.spotify.com/track/0n2bvWvMwr0gbjcuTm92eW
62,"Love On The Brain",Rihanna,27561,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
63,Cocoon,"Milky Chance",25470,https://open.spotify.com/track/0L87MffumRNWrY2SNUFcvs
64,Starving,"Hailee Steinfeld",24772,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
65,"September Song","JP Cooper",24636,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
66,"iSpy (feat. Lil Yachty)",KYLE,24529,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
67,"Romantic - NOTD Remix",Stanaj,24354,https://open.spotify.com/track/3SGWp9fJCzgK0WcpcKSQdy
68,"I Would Like","Zara Larsson",24322,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
69,Heathens,"Twenty One Pilots",24097,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
70,HandClap,"Fitz and The Tantrums",23976,https://open.spotify.com/track/7j56HrjR9cGzvekvZY3Faz
71,"One Dance",Drake,23746,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
72,"Don't Wanna Know","Maroon 5",23600,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
73,"iPhone 17 (feat. Moé)","KC Rebell",23515,https://open.spotify.com/track/6rwCkGBh7CV6pcdxZKbcsG
74,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",23227,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
75,Congratulations,"Post Malone",22867,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
76,"Oceans Away","A R I Z O N A",22828,https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I
77,Boyfriends,"Marco Wagner",22229,https://open.spotify.com/track/2tUxTQSGGteM7HljpqWU6J
78,Mercy,"Shawn Mendes",22122,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
79,"Fake Love",Drake,21993,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
80,"Don't Let Me Down","The Chainsmokers",21940,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
81,"That's What I Like","Bruno Mars",21620,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
82,Diamanten,"Kontra K",20837,https://open.spotify.com/track/0RE7AgMKdpcvRkK7EhNoBs
83,Kokaina,"Miami Yacine",20697,https://open.spotify.com/track/2KHbPYI22yWIOgWUsApYIS
84,Cake,"Flo Rida",20652,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
85,Baba,Bilderbuch,20484,https://open.spotify.com/track/3CUsYy61rwbmpi6bHDnuD4
86,"Hey Baby","Dimitri Vegas & Like Mike",20402,https://open.spotify.com/track/3oUZXcz9WLNO71yHAumFbH
87,"Water Under the Bridge",Adele,20188,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
88,"The Ocean","Mike Perry",20177,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
89,Faded,"Alan Walker",19989,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
90,"Love Me Now","John Legend",19932,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
91,"24K Magic","Bruno Mars",19796,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
92,"Bounce Back","Big Sean",19660,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
93,Cazal,Zuna,19594,https://open.spotify.com/track/0w6O1J8NjXRgD2uWOIBBqT
94,"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Sia,19382,https://open.spotify.com/track/5fc6rQgAKiLutfUYWQ6QnJ
95,"Loin - Pilule Violette","Maître Gims",19224,https://open.spotify.com/track/3up1uPuvL5vkfJ6aOeSRtD
96,"Two Princes - Radio Mix","Fake Pictures",19120,https://open.spotify.com/track/1iTKkkgXj8kJkGdjGGBFqL
97,"Palmen aus Plastik","Bonez MC",19055,https://open.spotify.com/track/6wHRm1KR8pzVDPdmR6Qovj
98,"No Roots","Alice Merton",18972,https://open.spotify.com/track/4bPWDXpN6MlTZBedxega3X
99,History,"Olivia Holt",18812,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
100,"Wenn sie tanzt","Max Giesinger",18793,https://open.spotify.com/track/5yKfZwcuSoEkOemLJX6hEm
101,"Love On Me",Galantis,18696,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF
102,"Side To Side","Ariana Grande",18334,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
103,"Whispering Still (feat. Charity Children) - Little Rose Remix",SRTW,18136,https://open.spotify.com/track/3D3Tkk0d9UmECpH5Fprmuv
104,"Miss You","James Hersey",18040,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje
105,"How Would You Feel (Paean)","Ed Sheeran",17705,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
106,Wieso?,Zuna,17480,https://open.spotify.com/track/7mdlZsVJD6HcPuwS3k7e68
107,"All We Know","The Chainsmokers",17292,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
108,"Treat You Better","Shawn Mendes",17103,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
