Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",1792344,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One","DJ Khaled",1372290,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
3,HUMBLE.,"Kendrick Lamar",1153049,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
4,"Strip That Down","Liam Payne",1066574,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
5,"Shape of You","Ed Sheeran",953604,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
6,"There's Nothing Holdin' Me Back","Shawn Mendes",919289,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
7,Attention,"Charlie Puth",902125,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
8,Malibu,"Miley Cyrus",893645,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
9,"Symphony (feat. Zara Larsson)","Clean Bandit",888174,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
10,"Slow Hands","Niall Horan",831446,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
11,"Now Or Never",Halsey,825533,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8
12,Mama,"Jonas Blue",804702,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
13,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",786728,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
14,"Galway Girl","Ed Sheeran",785694,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
15,"No Promises (feat. Demi Lovato)","Cheat Codes",774016,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
16,"Stay (with Alessia Cara)",Zedd,763999,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
17,"There for You","Martin Garrix",732173,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
18,"Something Just Like This","The Chainsmokers",719860,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
19,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",714516,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
