Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",267016,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Habiba,Boef,189923,https://open.spotify.com/track/6G41AeVgQkpvEbTxN5fNkW
3,"Symphony (feat. Zara Larsson)","Clean Bandit",187978,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
4,HUMBLE.,"Kendrick Lamar",187802,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
5,"Something Just Like This","The Chainsmokers",185377,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
6,"It Ain't Me (with Selena Gomez)",Kygo,179268,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
7,"Despacito - Remix","Luis Fonsi",177312,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
8,"You Don't Know Me - Radio Edit","Jax Jones",165072,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
9,"Mask Off",Future,160526,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
10,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",160517,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
11,"Stay (with Alessia Cara)",Zedd,159799,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
12,Weak,AJR,150649,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
13,Passionfruit,Drake,146613,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
14,Issues,"Julia Michaels",132733,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
15,"That's What I Like","Bruno Mars",128975,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
16,"There's Nothing Holdin' Me Back","Shawn Mendes",126871,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
17,"Scared to Be Lonely","Martin Garrix",126001,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
18,"Galway Girl","Ed Sheeran",121559,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
19,Slide,"Calvin Harris",120667,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
20,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",112481,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
21,"Call On Me - Ryan Riback Extended Remix",Starley,112291,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
22,"Kind Van De Duivel",Jebroer,107502,https://open.spotify.com/track/4tM13V5qVHM6nKTx7aMWVj
23,WADDISTJOM,"Van Echelpoel",103193,https://open.spotify.com/track/0o1cDEHf7Z2ApT9TeLkYyT
24,DNA.,"Kendrick Lamar",103063,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
25,Alleen,"Lil' Kleine",102407,https://open.spotify.com/track/1VDFn1PCpp8EOXLMURS8kP
26,"Solo Dance","Martin Jensen",100588,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
27,Paris,"The Chainsmokers",97331,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
28,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",95947,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
29,"Sign of the Times","Harry Styles",91972,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
30,Pompen,"Kraantje Pappie",91665,https://open.spotify.com/track/3B23etXBXxq1aCmFB8dby9
31,Touch,"Little Mix",91008,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
32,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",84690,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
33,"Castle on the Hill","Ed Sheeran",83482,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
34,Believer,"Imagine Dragons",82732,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
35,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,82405,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
36,"Good Life (with G-Eazy & Kehlani)",G-Eazy,82293,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
37,"Let The Song Play",MATTN,81682,https://open.spotify.com/track/6kavAQFHkoKBukku7M68OG
