Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",67361,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Felices los 4",Maluma,58147,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
3,"Me Rehúso","Danny Ocean",52786,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
4,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",49555,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
5,"Shape of You","Ed Sheeran",46742,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
6,"El Amante","Nicky Jam",36313,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
7,"SUBEME LA RADIO","Enrique Iglesias",36013,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
8,"Sigo Extrañándote","J Balvin",31895,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
9,"Otra Vez (feat. J Balvin)","Zion & Lennox",31649,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
10,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,29504,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
11,"Escápate Conmigo",Wisin,28812,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
12,"Reggaetón Lento (Bailemos)",CNCO,28033,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
13,"Hey DJ",CNCO,26632,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
14,"Alguien Robo","Sebastian Yatra",24963,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
15,"Me Llamas (feat. Maluma) - Remix","Piso 21",24498,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
16,"La Rompe Corazones","Daddy Yankee",23885,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
17,"Ay Mi Dios",IAmChino,22749,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
18,Traicionera,"Sebastian Yatra",22635,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
19,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",22043,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
20,Chantaje,Shakira,21770,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
