Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",3727183,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Shape of You","Ed Sheeran",2468781,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",2291076,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
4,"Vai Embrazando","Mc Zaac",2020190,https://open.spotify.com/track/1zhfU6YXa2pXUAQdG1NvBZ
5,"Never Let Me Go",Alok,1905347,https://open.spotify.com/track/06ZpMjkNdIDKVf3mK29UiC
6,"Hear Me Now",Alok,1700923,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
7,"O Grave Bater","MC Kevinho",1612725,https://open.spotify.com/track/1bUazU9SSOh02AdlOPeTvm
8,"Joga o Bum Bum Tamtam","MC Fioti",1587853,https://open.spotify.com/track/7KBfjlQ85Fqs2MCCvXSW0c
9,"Você Partiu Meu Coração","Nego do Borel",1515546,https://open.spotify.com/track/0u8aj0c4IxeVSLTUuuq9V5
10,"I'm the One","DJ Khaled",1458691,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
11,"Te Assumi Pro Brasil - Ao Vivo","Matheus & Kauan",1422814,https://open.spotify.com/track/2d3TbSkAscvT3QRQalq6uT
12,Loka,"Simone & Simaria",1308322,https://open.spotify.com/track/257tme6AhneIKAqVF1HTH4
13,"Ninguém É de Ferro","Wesley Safadão",1289442,https://open.spotify.com/track/1e315r3zQjsng2z952ePQ1
14,"Acordando o Prédio","Luan Santana",1271503,https://open.spotify.com/track/40bK2uosUmAS92c17n98xd
15,"Vidinha de Balada - Ao Vivo","Henrique & Juliano",1270562,https://open.spotify.com/track/4FHw39Ke6pVt5tNKvLr4r3
16,"Qual Bumbum Mais Bate, Qual Bumbum Mais Pula","MC WM",1254388,https://open.spotify.com/track/4eZg3l8x5aMvgwsRHcZuIC
17,Malibu,"Miley Cyrus",1247090,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
18,"Something Just Like This","The Chainsmokers",1203732,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
19,Rabetão,"MC Lan",1167407,https://open.spotify.com/track/2evRcqkyzWqaD9DJtP2oaU
20,"Olha a Explosão","MC Kevinho",1163604,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
21,"Raspão - Ao Vivo","Henrique & Diego",1070186,https://open.spotify.com/track/6gquljDBW7rE6mCBzmTRxo
22,"Malbec (Part. Dennis Dj) - Ao Vivo","Henrique & Diego",1031169,https://open.spotify.com/track/5SnQDj5REQVvAdSlhqkEcE
23,K.O.,"Pabllo Vittar",1029815,https://open.spotify.com/track/1J0iYsJuVhqfDhBoSLuO9A
24,"Open The Tcheka","MC Lan",1005978,https://open.spotify.com/track/77TElJdpImw8cSv6t4mCIr
25,"That's What I Like","Bruno Mars",1001944,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
26,"Medida Certa","Jorge & Mateus",994823,https://open.spotify.com/track/44mr3ypWNHa0inr3heiOb2
27,"Sign of the Times","Harry Styles",986292,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
