Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1850272,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Castle on the Hill","Ed Sheeran",1206728,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
3,Starboy,"The Weeknd",949851,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
4,"Fake Love",Drake,866580,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
5,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,841260,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,815555,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
7,Closer,"The Chainsmokers",721502,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
8,"Say You Won't Let Go","James Arthur",646785,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
9,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",609815,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
10,"I Feel It Coming","The Weeknd",590469,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
11,"Don't Wanna Know","Maroon 5",570669,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
12,"Let Me Love You","DJ Snake",541552,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
13,"Black Beatles","Rae Sremmurd",539513,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
14,"Call On Me - Ryan Riback Extended Remix",Starley,533413,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
15,"Bad Things (with Camila Cabello)","Machine Gun Kelly",504116,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
16,"Love Me Now","John Legend",471863,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
17,"Just Hold On","Steve Aoki",469971,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
