Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",1042279,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,"Me Rehúso","Danny Ocean",894875,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
3,Mayores,"Becky G",846347,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
4,Bonita,"J Balvin",844285,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
5,"Escápate Conmigo",Wisin,784674,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
6,"Báilame - Remix",Nacho,777485,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr
7,"Bella y Sensual","Romeo Santos",776197,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
8,"Se Preparó",Ozuna,726742,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
9,"Una Lady Como Tú","Manuel Turizo",716633,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
10,"Felices los 4",Maluma,716149,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
11,Explícale,Yandel,663403,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG
12,"Ahora Dice","Chris Jeday",640674,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
13,"Hey DJ",CNCO,592915,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
14,"Escápate Conmigo - Remix",Wisin,590177,https://open.spotify.com/track/5P45f6HakSHDwdFj5dO5K5
15,"Robarte un Beso","Carlos Vives",585090,https://open.spotify.com/track/4z3GJkrtH97Bj6fRta983T
16,"Krippy Kush",Farruko,561673,https://open.spotify.com/track/3rgjBiAMVGnxmsTDmUy8vb
17,"Tú Foto",Ozuna,556690,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf
18,"El Farsante",Ozuna,534441,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ
19,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",526803,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
20,Besándote,"Piso 21",507578,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h
21,"Que Va","Alex Sensation",503702,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O
22,"Loco Enamorado","Abraham Mateo",473721,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB
23,"Como Antes",Yandel,472379,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5
24,"Sigo Extrañándote","J Balvin",467414,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
25,"Otra Vez (feat. J Balvin)","Zion & Lennox",464035,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
26,Báilame,Nacho,461696,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C
27,"Shape of You","Ed Sheeran",442205,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
28,"Bebe (feat. Anuel AA)",Ozuna,441368,https://open.spotify.com/track/6SIrNxmmdbv1KUbFBu1PaN
29,"Ahora Me Llama","Karol G",439198,https://open.spotify.com/track/61HHDBLqF3AmSvLfHKNGd2
30,"Si Tú La Ves","Nicky Jam",409749,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
31,Criminal,"Natti Natasha",402743,https://open.spotify.com/track/2SmgFAhQkQCQPyBiBxR6Te
32,"Te Quiero Pa´Mi","Don Omar",395347,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
33,"La Rompe Corazones","Daddy Yankee",392042,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
34,"Me Llamas (feat. Maluma) - Remix","Piso 21",387741,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
35,"3 A.M.","Jesse & Joy",386906,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu
36,"Loca (feat. Cali Y El Dandee)","Maite Perroni",374871,https://open.spotify.com/track/05ZXXyeZFhZtA6DAP3Aw7x
37,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",364112,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
38,"Sexto Sentido (feat. Bad Bunny)","Gigolo Y La Exce",349964,https://open.spotify.com/track/3iDPALl8BoUbuXZgy6EOWY
39,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",346599,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
40,"Ayer 2","Anuel Aa",333439,https://open.spotify.com/track/5ZF3889W92eTBOROe0lPNN
