Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",612777,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,"Shape of You","Ed Sheeran",476028,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"El Amante","Nicky Jam",416814,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
4,"Me Rehúso","Danny Ocean",344304,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
5,"Una Lady Como Tú","Manuel Turizo",328834,https://open.spotify.com/track/0GGFHWt4u223Vm1RkXQKTj
6,"Otra Vez (feat. J Balvin)","Zion & Lennox",296772,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
7,"Reggaetón Lento (Bailemos)",CNCO,285994,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
8,"Sigo Extrañándote","J Balvin",267951,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
9,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",266196,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
10,"Te Quiero Pa´Mi","Don Omar",256466,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
11,"SUBEME LA RADIO","Enrique Iglesias",222178,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
12,"It Ain't Me (with Selena Gomez)",Kygo,217266,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
13,"Si Tu Novio Te Deja Sola","J Balvin",208126,https://open.spotify.com/track/0RFFFGtPn6a58RHY3ccVYX
14,Chantaje,Shakira,206571,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
15,"Alguien Robo","Sebastian Yatra",201661,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
16,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,201456,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
17,"Me Llamas (feat. Maluma) - Remix","Piso 21",187828,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
18,Safari,"J Balvin",187401,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
19,"Al Filo de Tu Amor","Carlos Vives",187382,https://open.spotify.com/track/77a9893yxuz36cBUmBzA8E
20,"Something Just Like This","The Chainsmokers",181715,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
