Position,"Track Name",Artist,Streams,URL
1,"Reggaetón Lento (Bailemos)",CNCO,139070,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
2,"Otra Vez (feat. J Balvin)","Zion & Lennox",123378,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
3,Chantaje,Shakira,118436,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
4,Safari,"J Balvin",108991,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
5,"Let Me Love You","DJ Snake",98854,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
6,Closer,"The Chainsmokers",95964,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
7,"One Dance",Drake,84595,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
8,"Vente Pa' Ca","Ricky Martin",80003,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
9,Chillax,Farruko,79430,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
10,"La Bicicleta","Carlos Vives",74396,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
11,Starboy,"The Weeknd",73694,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
12,Traicionera,"Sebastian Yatra",68579,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
13,"24K Magic","Bruno Mars",67919,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
14,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",66516,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
15,"Don't Wanna Know","Maroon 5",63593,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
16,"In the Name of Love","Martin Garrix",62884,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
17,"Don't Let Me Down","The Chainsmokers",60670,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
18,"Treat You Better","Shawn Mendes",58294,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
19,"Side To Side","Ariana Grande",57438,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
20,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",56863,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
21,"Shaky Shaky","Daddy Yankee",55943,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
22,Fever,"Vybz Kartel",55520,https://open.spotify.com/track/4C1Smq2t3MVOPzsUPWW0oX
23,"My Way","Calvin Harris",54793,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
24,"Ay Mi Dios",IAmChino,53378,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
25,"Andas En Mi Cabeza","Chino & Nacho",52283,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
26,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",51299,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
27,Ride,"Twenty One Pilots",50588,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
28,"Pa Que Me Invitan - Spanglish Version",Jencarlos,50061,https://open.spotify.com/track/2VRssqds7rRNb4eaG9FaY8
29,"Cheap Thrills",Sia,50008,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
30,Heathens,"Twenty One Pilots",49616,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
31,"Borro Cassette",Maluma,48999,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
32,"Gyal You A Party Animal","Charly Black",46232,https://open.spotify.com/track/1mSzZKMIPZIkn3jFV7v62b
33,"Cuatro Babys",Maluma,45900,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR
34,"Black Beatles","Rae Sremmurd",43826,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
35,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",43808,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
36,"DUELE EL CORAZON","Enrique Iglesias",43684,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
37,Vacaciones,Wisin,42677,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
38,"This Is What You Came For","Calvin Harris",42624,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
39,"Cake By The Ocean",DNCE,42477,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl
40,"Ya Me Enteré (feat. Nicky Jam) - Urban Version",Reik,42399,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F
41,"Stressed Out","Twenty One Pilots",42276,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
42,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",40241,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
43,Work,Rihanna,39955,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
44,"La Gozadera","Gente De Zona",39400,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
45,"Cheap Thrills",Sia,39048,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
46,Bobo,"J Balvin",38189,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
47,"Desde Esa Noche",Thalía,37438,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
48,"Hasta el Amanecer","Nicky Jam",36913,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS
49,"The Greatest",Sia,35476,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
50,"Thinking Out Loud","Ed Sheeran",32330,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
51,Panda,Desiigner,31396,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
52,"Work from Home","Fifth Harmony",28221,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
53,Faded,"Alan Walker",27227,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
54,"I Feel It Coming","The Weeknd",27204,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
55,Mercy,"Shawn Mendes",27190,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
56,Sorry,"Justin Bieber",27190,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
57,"Love Yourself","Justin Bieber",26928,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
58,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,26789,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
59,Photograph,"Ed Sheeran",25996,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
60,"Fake Love",Drake,25565,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
61,"All We Know","The Chainsmokers",24856,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
62,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)","De La Ghetto",24766,https://open.spotify.com/track/498YWgZPJWIA4lphXtCNma
63,"Just Hold On","Steve Aoki",24749,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
