Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",117976,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Something Just Like This","The Chainsmokers",94057,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
3,"It Ain't Me (with Selena Gomez)",Kygo,80286,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"Symphony (feat. Zara Larsson)","Clean Bandit",67699,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
5,"Stay (with Alessia Cara)",Zedd,66106,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
6,Paris,"The Chainsmokers",65644,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
7,Believer,"Imagine Dragons",65622,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
8,"Galway Girl","Ed Sheeran",62891,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
9,"Scared to Be Lonely","Martin Garrix",51679,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
10,"The One","The Chainsmokers",50949,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
11,Issues,"Julia Michaels",50305,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
12,"Sign of the Times","Harry Styles",50236,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
13,"You Don't Know Me - Radio Edit","Jax Jones",49993,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
14,"Solo Dance","Martin Jensen",49037,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
15,"That's What I Like","Bruno Mars",46340,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
16,"Call On Me - Ryan Riback Extended Remix",Starley,43908,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
17,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",42983,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
18,Passionfruit,Drake,42550,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
19,Cold,"Maroon 5",41086,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
20,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,40371,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
21,HUMBLE.,"Kendrick Lamar",40352,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
22,"Mask Off",Future,38515,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
