Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",3675133,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"It Ain't Me (with Selena Gomez)",Kygo,2133379,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1999839,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,Paris,"The Chainsmokers",1882635,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,"Scared to Be Lonely","Martin Garrix",1727129,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
6,"Something Just Like This","The Chainsmokers",1654120,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
7,"Solo Dance","Martin Jensen",1510861,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
8,"Call On Me - Ryan Riback Extended Remix",Starley,1373092,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
9,"Loin - Pilule Violette","Maître Gims",1354074,https://open.spotify.com/track/3up1uPuvL5vkfJ6aOeSRtD
10,"Chained To The Rhythm","Katy Perry",1336288,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
11,"All Time Low","Jon Bellion",1302018,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
12,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",1260693,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
13,Tuesday,"Burak Yeter",1255990,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
14,"Castle on the Hill","Ed Sheeran",1254580,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
15,"Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)",Vice,1218399,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
16,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",1200546,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
17,Believer,"Imagine Dragons",1191925,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
18,Weak,AJR,1181896,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
19,Issues,"Julia Michaels",1178239,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
20,"Ohne mein Team","Bonez MC",1149410,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
21,"You Don't Know Me - Radio Edit","Jax Jones",1112051,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
22,"Now and Later","Sage The Gemini",1064361,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
23,"Shed a Light","Robin Schulz",1018944,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
24,Skin,"Rag'n'Bone Man",1013804,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
25,Alone,"Alan Walker",1007515,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
26,"Just Hold On","Steve Aoki",960012,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
27,"Way Down We Go",Kaleo,950243,https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6
28,"No Lie","Sean Paul",917130,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
29,"All Night","The Vamps",907732,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
30,Diamanten,"Kontra K",890688,https://open.spotify.com/track/0RE7AgMKdpcvRkK7EhNoBs
31,Places,"Martin Solveig",876705,https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj
32,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",864961,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
33,"Bad Ideas","Alle Farben",855917,https://open.spotify.com/track/76gwG061wqdatYhicO2hG4
34,Chantaje,Shakira,846428,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
35,"Lot to Learn","Luke Christopher",837602,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
36,"How Far I'll Go - From ""Moana""","Alessia Cara",834161,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
37,"Hear Me Now",Alok,811016,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
38,Closer,"The Chainsmokers",803409,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
39,Cazal,Zuna,798225,https://open.spotify.com/track/0w6O1J8NjXRgD2uWOIBBqT
40,"Hey Baby","Dimitri Vegas & Like Mike",780251,https://open.spotify.com/track/3oUZXcz9WLNO71yHAumFbH
41,"Shooting Stars","Bag Raiders",780122,https://open.spotify.com/track/0UeYCHOETPfai02uskjJ3x
42,"Stay (with Alessia Cara)",Zedd,771478,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
43,Starboy,"The Weeknd",762181,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
44,"Say You Won't Let Go","James Arthur",758540,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
45,"Never Give Up",Sia,748151,https://open.spotify.com/track/1ssmjAYSU5PbmsjLq5yrNH
46,Cold,"Maroon 5",736712,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
47,"iPhone 17 (feat. Moé)","KC Rebell",732469,https://open.spotify.com/track/6rwCkGBh7CV6pcdxZKbcsG
48,"Sunset Lover","Petit Biscuit",727662,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
49,"Palmen aus Plastik","Bonez MC",725423,https://open.spotify.com/track/6wHRm1KR8pzVDPdmR6Qovj
50,Chöre,"Mark Forster",709018,https://open.spotify.com/track/2nYpbaLykC2cjU8Yt5KF1v
51,Kokaina,"Miami Yacine",696215,https://open.spotify.com/track/2KHbPYI22yWIOgWUsApYIS
