Position,"Track Name",Artist,Streams,URL
1,"Friends (with BloodPop®)","Justin Bieber",695939,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
2,Følelsen,KESI,600672,https://open.spotify.com/track/7LSpHN7E9EKZo2YovzqOAV
3,Lyvesangen,Gulddreng,524359,https://open.spotify.com/track/0txbg4oBJi8SwvQ3SFYNlc
4,"Mi Gente","J Balvin",494830,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
5,Rica,Gilli,466239,https://open.spotify.com/track/69oJmQ3NnWHQriYQ4L8dKa
6,"Lay Lay",PAY,451152,https://open.spotify.com/track/1y1YFAf9maXPz5IVI50mEh
7,Unforgettable,"French Montana",377890,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
8,"Despacito - Remix","Luis Fonsi",367538,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
9,"New Rules","Dua Lipa",353946,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
10,"Look What You Made Me Do","Taylor Swift",343491,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
11,Feels,"Calvin Harris",339294,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
12,"Wild Thoughts","DJ Khaled",332656,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
13,Mama,"Jonas Blue",328971,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
14,Limbo,"Scarlet Pleasure",318183,https://open.spotify.com/track/6Kc6w3BTFqDTGgB2vasbek
15,Silence,Marshmello,318148,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
16,"Follow Me",Niklas,308752,https://open.spotify.com/track/4bU7syO13ky3ZGJRSXg64S
17,"Without You (feat. Sandro Cavazza)",Avicii,297537,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
18,"Plat Eller Krone",Carmon,293958,https://open.spotify.com/track/17neFk9NqxqYtMt7VdtTlp
19,Chico,Sleiman,293886,https://open.spotify.com/track/3V2Jcw7aWwNGNKyvveDgRW
20,"Habibi Aiwa",Gilli,292781,https://open.spotify.com/track/1UUj1iScVn6wOXiBSyBhLn
21,"2U (feat. Justin Bieber)","David Guetta",282840,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
22,"I Like Me Better",Lauv,276207,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
23,"Bedre End Din Eks","Page Four",275986,https://open.spotify.com/track/6hd60vdBch6Nm3MCX4UYk8
24,Mamacita,KESI,268646,https://open.spotify.com/track/5OSH98PlarYwozcSR7lY19
25,"More Than You Know","Axwell /\ Ingrosso",258856,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
26,"Summer Air",ItaloBrothers,258556,https://open.spotify.com/track/3GPI7hYiqD6enLRobhkBm8
27,"Your Song","Rita Ora",256096,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
