Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",200450,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,"Me Rehúso","Danny Ocean",152529,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
3,"Una Lady Como Tú","Manuel Turizo",151409,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
4,"Felices los 4",Maluma,143115,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
5,"Escápate Conmigo",Wisin,121712,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
6,Báilame,Nacho,121072,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C
7,Bonita,"J Balvin",103962,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
8,"Hey DJ",CNCO,102731,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
9,"Ahora Dice","Chris Jeday",101087,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
10,"Shape of You","Ed Sheeran",94672,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
11,"Me Enamoré",Shakira,77232,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
12,"Tu Foto",Ozuna,74050,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
13,"Otra Vez (feat. J Balvin)","Zion & Lennox",69997,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
14,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",69273,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
15,"Sigo Extrañándote","J Balvin",68983,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
16,"La Rompe Corazones","Daddy Yankee",67138,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
17,"Vivo Pensando En Ti","Felipe Peláez",66478,https://open.spotify.com/track/0H7cz1bR7w9PulJL7Na774
18,Besándote,"Piso 21",63675,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h
19,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",63510,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
20,"SUBEME LA RADIO","Enrique Iglesias",62624,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
21,"Si Tú La Ves","Nicky Jam",61877,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
22,"Me Llamas (feat. Maluma) - Remix","Piso 21",59916,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
23,"El Amante","Nicky Jam",59314,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
24,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,57474,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
25,"Despacito - Remix","Luis Fonsi",57351,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
26,Feels,"Calvin Harris",57321,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
27,"Alguien Robo","Sebastian Yatra",55668,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
28,Imitadora,"Romeo Santos",54417,https://open.spotify.com/track/6r46lnXFbE9fr2d3KNaGbe
