Position,"Track Name",Artist,Streams,URL
1,"Hula Hula",Robin,505692,https://open.spotify.com/track/5WytJMdICvcrJF6JY0W4pl
2,"Shape of You","Ed Sheeran",488010,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Symphony (feat. Zara Larsson)","Clean Bandit",453949,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
4,Antaudun,"Reino Nordin",452341,https://open.spotify.com/track/4waYSI6TTW0guhTJc4gWzq
5,"Rahan takii","Antti Tuisku",443384,https://open.spotify.com/track/4UDDfd77rlXmNjgW1NKhWq
6,"Mä En Kestä","Laura Voutilainen",408833,https://open.spotify.com/track/4lLL9uT4lun5BKt3ouOhxO
7,"Sitä säät mitä tilaat (feat. Ellinoora)",JVG,399381,https://open.spotify.com/track/5DTBkAANRc9K2B2uZ9aVCU
8,"It Ain't Me (with Selena Gomez)",Kygo,391068,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
9,"Chasing Highs",ALMA,372766,https://open.spotify.com/track/6fTsxhIosAU6zXTAhSaemI
10,Urheiluhullu,JVG,365472,https://open.spotify.com/track/0mj07aASkf2RYZR1QQ5k7l
11,"Hulluuden Highway","Haloo Helsinki!",319814,https://open.spotify.com/track/1RPMDcIljymdp7dSgTfhls
12,"Liikaa Sussa Kii","Mikael Gabriel",311468,https://open.spotify.com/track/0MEuAbpzkCXjFu2ey5vKaD
13,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",305237,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
14,"Something Just Like This","The Chainsmokers",300690,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
15,"You Don't Know Me - Radio Edit","Jax Jones",298960,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
16,"Galway Girl","Ed Sheeran",286373,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
17,"Chained To The Rhythm","Katy Perry",279336,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
18,"Arvon Leidit","Teflon Brothers",278840,https://open.spotify.com/track/5bcjHhl0JgWet9jrSGNmIl
