Position,"Track Name",Artist,Streams,URL
1,"Θ. Macarena",Damso,1244384,https://open.spotify.com/track/2UZW9WOPXdxw9YMG1bebS8
2,"Shape of You","Ed Sheeran",919597,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Despacito - Remix","Luis Fonsi",805032,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
4,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",726160,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
5,"Chocolat (feat. Awa)",Lartiste,702600,https://open.spotify.com/track/4fwtP5khM1iEoa6BP1QQsX
6,"I'm the One","DJ Khaled",689336,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
7,"Mask Off",Future,683228,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
8,"Α. Nwaar Is The New Black",Damso,636651,https://open.spotify.com/track/57U26FwUclMqyZ5ylnPpw1
9,"Ε. Signaler",Damso,617076,https://open.spotify.com/track/03aduXwm6cTqO9bb4XFQ2b
10,"Space Jam","Mister V",615864,https://open.spotify.com/track/00cbRAOr6wTPE9WBMejhiM
11,"Γ. Mosaïque solitaire",Damso,615058,https://open.spotify.com/track/1E3zyoTHtJzsu5CjwIFIhY
12,"It Ain't Me (with Selena Gomez)",Kygo,607262,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
13,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",581095,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
14,Attention,"Charlie Puth",550468,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
15,"B. #QuedusaalVie",Damso,509252,https://open.spotify.com/track/4HvYhaXDmmAW6ZmPcgPZca
16,"Mon p'tit loup",Sofiane,507165,https://open.spotify.com/track/0gn0krlJTSSZvnMxh2ITHY
17,"Top album","Mister V",486699,https://open.spotify.com/track/4rrzxq356QDANDVd0SB1Dq
18,"Stay (with Alessia Cara)",Zedd,482570,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
19,"Symphony (feat. Zara Larsson)","Clean Bandit",476900,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
20,"N. J Respect R",Damso,473854,https://open.spotify.com/track/75UFzgBCaVwJJ4IVIaatpe
21,"Be Mine",Ofenbach,465018,https://open.spotify.com/track/2KklXplRtxMsBYo474Es0w
22,"Call On Me - Ryan Riback Extended Remix",Starley,464587,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
23,"You Don't Know Me - Radio Edit","Jax Jones",463215,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
24,"I Feel It Coming","The Weeknd",442983,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
25,"Something Just Like This","The Chainsmokers",429920,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
26,Ghetto,Benash,415986,https://open.spotify.com/track/3VdDQkNCQKPAL4nZlFKWlN
27,"Galway Girl","Ed Sheeran",407293,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
28,Slide,"Calvin Harris",407152,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
29,HUMBLE.,"Kendrick Lamar",393487,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
30,"Ζ. Kietu",Damso,391763,https://open.spotify.com/track/5urhEtesorARjZhjSaFntn
31,"Scared to Be Lonely","Martin Garrix",390042,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
32,"There's Nothing Holdin' Me Back","Shawn Mendes",381271,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
33,"Hear Me Now",Alok,377513,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
34,Skin,"Rag'n'Bone Man",376152,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
35,"First Time",Kygo,372996,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
36,"The Cure","Lady Gaga",360186,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
37,"No Lie","Sean Paul",360084,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
38,"Δ. Dieu ne ment jamais",Damso,354911,https://open.spotify.com/track/6ATkHaUrIJUtwyhoGMmQgw
39,"Κ. Kin la belle",Damso,352086,https://open.spotify.com/track/6nGSXuZrE5P7gSvtJs4unC
40,Toka,Sofiane,349369,https://open.spotify.com/track/2QXNsj3HmqbDqbw0R9F5zo
41,Places,"Martin Solveig",347262,https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj
42,"Never Give Up",Sia,346919,https://open.spotify.com/track/1ssmjAYSU5PbmsjLq5yrNH
43,Issues,"Julia Michaels",334395,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
44,Thunder,"Imagine Dragons",332748,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
45,"Back For More (feat. Daecolm)",Feder,330900,https://open.spotify.com/track/0dJhKHDhqu1QYWfMy54G3F
46,"Tout l'monde s'en fout",Sofiane,328613,https://open.spotify.com/track/7syABtsvHvD3nO7OG91Ani
47,"It Won't Kill Ya","The Chainsmokers",326475,https://open.spotify.com/track/5xhJmd0I15jFcEdqxfCzKk
48,"There for You","Martin Garrix",323449,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
49,Bené,PNL,320966,https://open.spotify.com/track/00X2yv2vrtritPt2CZnUTZ
50,"Your Mind (feat. Kristen Marie)",HEDIA,318718,https://open.spotify.com/track/2eqHbYG0r90Y3LpZVjQOJX
51,Rollin,"Calvin Harris",315758,https://open.spotify.com/track/3FDrI0FLKzrYQiWxPhqV2W
52,"I Feel So Bad",Kungs,314735,https://open.spotify.com/track/6iTVIAqZpHmCK9jrpDyDVo
53,"Gramme 2 peuf","Hornet La Frappe",309699,https://open.spotify.com/track/0U050yYuyc2Gq9hrfvfEq8
54,"Good Life (with G-Eazy & Kehlani)",G-Eazy,301107,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
55,Cold,"Maroon 5",299842,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
56,"Λ. Lové",Damso,293465,https://open.spotify.com/track/4myoVer3cPAUqBzDigYf7A
57,Sexual,NEIKED,289857,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
58,Passionfruit,Drake,288005,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
59,"Chasse à l'homme",Niska,285082,https://open.spotify.com/track/6Y6mUgZmUadVvfFuoGuy64
60,"September Song","JP Cooper",284162,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
61,Unforgettable,"French Montana",282406,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
62,Down,"Marian Hill",279341,https://open.spotify.com/track/2dqLk7ezV15LEJEwUmEbXB
63,"Million Eyes","Loïc Nottet",279176,https://open.spotify.com/track/63qapUS8yLKz0tb0eOgOTF
64,Brothers,Rilès,278562,https://open.spotify.com/track/45KqDHTOJtIM53QR1gPGTa
65,"Whatever It Takes","Imagine Dragons",275189,https://open.spotify.com/track/4izg6Hydc6XGErWW6nbdsV
66,"Η. Gova",Damso,274853,https://open.spotify.com/track/0fBxgiQe76HZFFqN2FUUpw
67,"Bon Appétit","Katy Perry",273894,https://open.spotify.com/track/14oOKFGuXu8DqvOe1W8vao
68,Ouloulou,Dabs,263527,https://open.spotify.com/track/4JIOC5P1G1NjhRJ2JSXm41
69,"Sunset Lover","Petit Biscuit",262600,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
70,"100 rêves",DTF,260494,https://open.spotify.com/track/0UXW6ihyeYHfb4jae7QxGl
71,"Je ne comprends pas","Kalash Criminel",257328,https://open.spotify.com/track/5FRCTmIl1SIie075FoVsqA
72,"Petit déjeuner","Mister V",256411,https://open.spotify.com/track/3nd9UtBDugmxTwhSOzJE8K
