Position,"Track Name",Artist,Streams,URL
1,"Galway Girl","Ed Sheeran",5252383,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
2,"Shape of You","Ed Sheeran",4571413,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,Passionfruit,Drake,3366130,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
4,"Castle on the Hill","Ed Sheeran",3122839,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
5,"New Man","Ed Sheeran",2701854,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
6,Perfect,"Ed Sheeran",2524913,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
7,Happier,"Ed Sheeran",2456511,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
8,KMT,Drake,2339453,https://open.spotify.com/track/2jTujnt0y344ai1rNOywgr
9,Blem,Drake,2327681,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
10,"Something Just Like This","The Chainsmokers",2303833,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
11,"What Do I Know?","Ed Sheeran",2290290,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
12,Dive,"Ed Sheeran",2150008,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
13,"No Long Talk",Drake,2121215,https://open.spotify.com/track/6CfrYuD3YRDYdYvH9jNtXY
14,Barcelona,"Ed Sheeran",2051476,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU
15,"Get It Together",Drake,2038715,https://open.spotify.com/track/7y6c07pgjZvtHI9kuMVqk1
16,"Supermarket Flowers","Ed Sheeran",2013724,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG
17,Portland,Drake,1988006,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
18,"You Don't Know Me - Radio Edit","Jax Jones",1968270,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
19,"It Ain't Me (with Selena Gomez)",Kygo,1916870,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
20,Gyalchester,Drake,1907188,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
21,"Nancy Mulligan","Ed Sheeran",1899948,https://open.spotify.com/track/35QZaWQRkmnAVqBF1TLCxQ
22,"Madiba Riddim",Drake,1891986,https://open.spotify.com/track/76gUmNLXGQVOsGhfcshkFP
23,Slide,"Calvin Harris",1883120,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
24,"How Would You Feel (Paean)","Ed Sheeran",1839156,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
25,"Skepta Interlude",Drake,1828957,https://open.spotify.com/track/2dfqS3MRtbLZSZA1IL8xY5
26,"Big For Your Boots",Stormzy,1788859,https://open.spotify.com/track/3uMB82o0qa7erhiZBW9KQC
27,"Free Smoke",Drake,1787782,https://open.spotify.com/track/05KOgYg8PGeJyyWBPi5ja8
28,4422,Drake,1695013,https://open.spotify.com/track/2fkeWbM6iqTw7oGHTYm2lw
29,"Symphony (feat. Zara Larsson)","Clean Bandit",1661430,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
30,Paris,"The Chainsmokers",1659364,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
31,"Scared to Be Lonely","Martin Garrix",1656678,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
32,"Teenage Fever",Drake,1655837,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
33,"Stay (with Alessia Cara)",Zedd,1651475,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
34,"Jorja Interlude",Drake,1641256,https://open.spotify.com/track/13e6f8t7RKXuxZ0JdaaJRG
35,"Chained To The Rhythm","Katy Perry",1629513,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
36,"Hearts Don't Break Around Here","Ed Sheeran",1619766,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk
37,"Bibia Be Ye Ye","Ed Sheeran",1583146,https://open.spotify.com/track/6SznMYPQJHzr3IwsAHLId2
38,"Fake Love",Drake,1552271,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
39,"That's What I Like","Bruno Mars",1551490,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
40,Eraser,"Ed Sheeran",1550693,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2
41,"Solo Dance","Martin Jensen",1537133,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
42,"Ciao Adios",Anne-Marie,1532806,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
43,Sacrifices,Drake,1467894,https://open.spotify.com/track/0xl1w2q4VLojeXp4JfazPL
44,Issues,"Julia Michaels",1438038,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
45,"September Song","JP Cooper",1360750,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
46,"Lose You",Drake,1340819,https://open.spotify.com/track/2Na0z2gfN67Rzf0vp74Wi3
47,"Save Myself","Ed Sheeran",1333950,https://open.spotify.com/track/6TIU9Ehmi6dMzZK73Ym4yj
48,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1333677,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
49,Touch,"Little Mix",1318882,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
50,"Be The One","Dua Lipa",1311095,https://open.spotify.com/track/7FCfMXYTIiQ9b4hDYs4Iol
51,Glow,Drake,1262230,https://open.spotify.com/track/28irpKCCK9nn9DZSik2zEx
52,"Green Light",Lorde,1233925,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
