Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",52796064,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Paris,"The Chainsmokers",28928405,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,26670991,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,"Castle on the Hill","Ed Sheeran",24353398,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
5,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",22740029,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
6,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",22624857,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
7,Starboy,"The Weeknd",20295877,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
8,"Say You Won't Let Go","James Arthur",19155402,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
9,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,18937768,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
10,Closer,"The Chainsmokers",18613708,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
11,"I Feel It Coming","The Weeknd",18047565,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
12,"Don't Wanna Know","Maroon 5",17181459,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
13,"Call On Me - Ryan Riback Extended Remix",Starley,16695989,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
14,Chantaje,Shakira,16172733,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
15,"Fake Love",Drake,15142298,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
16,"Just Hold On","Steve Aoki",15019597,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
17,"Bad Things (with Camila Cabello)","Machine Gun Kelly",14654940,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
18,"Let Me Love You","DJ Snake",14266997,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
19,"Scared to Be Lonely","Martin Garrix",14012414,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
20,"24K Magic","Bruno Mars",13753967,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
21,"How Far I'll Go - From ""Moana""","Alessia Cara",13166608,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
22,"All Night","The Vamps",12029184,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
23,"One Dance",Drake,11857196,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
24,"Side To Side","Ariana Grande",11561508,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
25,"Solo Dance","Martin Jensen",11105663,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
26,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",11093577,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
27,"Hear Me Now",Alok,11087923,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
28,"Black Beatles","Rae Sremmurd",11081424,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
29,"In the Name of Love","Martin Garrix",10935173,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
30,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",10853287,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
31,Mercy,"Shawn Mendes",10643214,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
32,"Shed a Light","Robin Schulz",10395427,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
