Position,"Track Name",Artist,Streams,URL
1,"Something Just Like This","The Chainsmokers",141245,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
2,"Shape of You","Ed Sheeran",123183,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"It Ain't Me (with Selena Gomez)",Kygo,85807,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,Paris,"The Chainsmokers",84858,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,"Stay (with Alessia Cara)",Zedd,84263,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
6,"Symphony (feat. Zara Larsson)","Clean Bandit",84181,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
7,長相廝守,ToNick,76034,https://open.spotify.com/track/3VSFri2BxieCG7RtuxFMXr
8,"The One","The Chainsmokers",75830,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
9,"That's What I Like","Bruno Mars",73998,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
10,HUMBLE.,"Kendrick Lamar",68024,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
11,"Good Life (with G-Eazy & Kehlani)",G-Eazy,64584,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
12,"Scared to Be Lonely","Martin Garrix",60430,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
13,"Sign of the Times","Harry Styles",56735,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
14,Closer,"The Chainsmokers",56452,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
15,Issues,"Julia Michaels",53858,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
16,"Galway Girl","Ed Sheeran",53564,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
17,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,52740,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
18,Passionfruit,Drake,52598,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
19,Cold,"Maroon 5",49279,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
20,"Now Or Never",Halsey,49058,https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e
