Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",339811,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,Unforgettable,"French Montana",282961,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3,"Wild Thoughts","DJ Khaled",265099,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
4,Feels,"Calvin Harris",258566,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
5,Mama,"Jonas Blue",240441,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
6,,,212072,https://open.spotify.com/track/3RXkboS74UYzN14xTqzPyY
7,"Strip That Down","Liam Payne",210103,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
8,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",205868,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
9,"I'm the One","DJ Khaled",202559,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
10,Attention,"Charlie Puth",184849,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
11,"Your Song","Rita Ora",183816,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
12,"There's Nothing Holdin' Me Back","Shawn Mendes",182586,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
13,"Slow Hands","Niall Horan",176873,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
14,"Came Here for Love",Sigala,162200,https://open.spotify.com/track/3kGfazcbVvVkuZunzlLgTD
15,"Crying in the Club","Camila Cabello",158374,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
16,"Shape of You","Ed Sheeran",152874,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
17,"Know No Better (feat. Quavo)","Major Lazer",152191,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
18,"New Rules","Dua Lipa",151003,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
19,Thunder,"Imagine Dragons",150832,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
20,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",141069,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
21,"Symphony (feat. Zara Larsson)","Clean Bandit",137125,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
