Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",52147,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,35810,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
3,"I Feel It Coming","The Weeknd",26329,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
4,"How Far I'll Go - From ""Moana""","Alessia Cara",24958,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
5,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,24772,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
6,"Love On The Brain",Rihanna,21728,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
7,"Castle on the Hill","Ed Sheeran",20826,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
8,"Call On Me - Ryan Riback Extended Remix",Starley,20608,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
9,Starboy,"The Weeknd",20544,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
10,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",20278,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
11,"It Ain't Me (with Selena Gomez)",Kygo,19678,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
12,"Say You Won't Let Go","James Arthur",19318,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
13,Paris,"The Chainsmokers",19141,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
14,"Chained To The Rhythm","Katy Perry",18647,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
15,"Fake Love",Drake,16681,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
16,T-Shirt,Migos,16464,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
17,Reykjavík,"Emmsjé Gauti",16092,https://open.spotify.com/track/4N2Xtuy20ewSeznRQcX6G4
18,"Bounce Back","Big Sean",16040,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
19,Human,"Rag'n'Bone Man",15770,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
20,Silfurskotta,"Emmsjé Gauti",15080,https://open.spotify.com/track/7LyQvc6mjRxBS5XRC0bTHV
21,"Scared to Be Lonely","Martin Garrix",15078,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
22,"Svona er þetta","Emmsjé Gauti",14929,https://open.spotify.com/track/1Lj3IxnXEMEULqW400cjio
23,"Vor í Vaglaskógi",Kaleo,14663,https://open.spotify.com/track/2OdpZeTpnbqPqBrclk2pib
24,"Fröken Reykjavík","Friðrik Dór",14212,https://open.spotify.com/track/6YmjtvXrdpD1VUUW5hznQp
25,Issues,"Julia Michaels",14128,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
26,Congratulations,"Post Malone",13828,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
27,"Lítur vel út","Aron Can",13604,https://open.spotify.com/track/39jfJXs2uYHmpU3zotxEkj
28,Redbone,"Childish Gambino",13154,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
29,"Let Me Love You","DJ Snake",12849,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
30,"Þetta má","Emmsjé Gauti",12629,https://open.spotify.com/track/4WiK8hgPt5QgwGdt9z7MrJ
31,Weak,AJR,12605,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
32,"One Dance",Drake,12454,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
33,"Bad Things (with Camila Cabello)","Machine Gun Kelly",12416,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
34,"All Time Low","Jon Bellion",12032,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
35,"Make Me (Cry)","Noah Cyrus",11758,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
36,"Mask Off",Future,11629,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
37,"Don't Wanna Know","Maroon 5",11502,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
38,"Solo Dance","Martin Jensen",11472,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
39,"Just Hold On","Steve Aoki",11244,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
40,"Black Beatles","Rae Sremmurd",10856,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
41,"Scars To Your Beautiful","Alessia Cara",10672,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
42,"That's What I Like","Bruno Mars",10580,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
43,"Wyclef Jean","Young Thug",10561,https://open.spotify.com/track/55OdqrG8WLmsYyY1jijD9b
44,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",10519,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
45,Mercy,"Shawn Mendes",10334,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
46,"Party Monster","The Weeknd",10091,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
47,"pick up the phone","Young Thug",9734,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
48,"Dancing On My Own","Calum Scott",9653,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
49,"Enginn Mórall","Aron Can",9551,https://open.spotify.com/track/52BcFhIYD7mIajoeCHMHd9
50,"Hear Me Now",Alok,9078,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
51,"I Would Like","Zara Larsson",8896,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
52,"How Would You Feel (Paean)","Ed Sheeran",8746,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
53,"In the Name of Love","Martin Garrix",8574,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
54,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",8329,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
55,"Með Mér","Aron Can",8091,https://open.spotify.com/track/5WqjAesTwkxr9sQ3INakS1
56,Rúllupp,"Aron Can",7968,https://open.spotify.com/track/1I9BYf0I1HShuSoKnMnWwK
57,"You Don't Know Me - Radio Edit","Jax Jones",7836,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
58,"Look at Me!",XXXTENTACION,7804,https://open.spotify.com/track/2oUuLLKS8WbF7ELJcwbqms
59,"Mean 2 U","Sturla Atlas",7795,https://open.spotify.com/track/1E0OuikTUNl7uFMEkhbZy4
60,Closer,"The Chainsmokers",7701,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
61,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",7698,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
62,"iSpy (feat. Lil Yachty)",KYLE,7664,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
63,"Way Down We Go",Kaleo,7596,https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6
64,Believer,"Imagine Dragons",7493,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
65,"All Night","The Vamps",7362,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
66,Swang,"Rae Sremmurd",7312,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
67,Caroline,Aminé,7285,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
68,"Leiðin okkar allra",Hjálmar,7231,https://open.spotify.com/track/0OM36fpNkTq08yVSWQ2h3c
69,"Rent Money",Future,7005,https://open.spotify.com/track/4Zxdw0Hno7YDu0IzvY76Qo
70,"Don't Leave",Snakehips,6920,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
71,"My Way","Calvin Harris",6920,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
72,Panda,Desiigner,6869,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
73,Outlet,Desiigner,6704,https://open.spotify.com/track/6E39QsoWB7JjphPF9xCQSN
74,"Thinking Out Loud","Ed Sheeran",6606,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
75,"24K Magic","Bruno Mars",6583,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
76,"Love Me Now","John Legend",6532,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
77,"September Song","JP Cooper",6443,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
78,"No Heart","21 Savage",6406,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
79,Reminder,"The Weeknd",6339,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
80,Photograph,"Ed Sheeran",6304,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
81,"White Iverson","Post Malone",6233,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
82,Starving,"Hailee Steinfeld",6226,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
83,"203 Stjórinn","Herra Hnetusmjör",6145,https://open.spotify.com/track/2Tt7KUE1VdZvAPaON3XcGQ
84,"Side To Side","Ariana Grande",6129,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
85,Heathens,"Twenty One Pilots",6112,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
86,"Cheap Thrills",Sia,5992,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
87,Moves,"Big Sean",5946,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
88,"I Got You","Bebe Rexha",5919,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
89,"Love Yourself","Justin Bieber",5866,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
90,History,"Olivia Holt",5843,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
91,"Let It Go","James Bay",5698,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
92,"Go Flex","Post Malone",5677,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
93,Negla,"XXX Rottweiler hundar",5664,https://open.spotify.com/track/50OuWHjxD7Ux6CRVt6OYNp
94,"Water Under the Bridge",Adele,5570,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
95,"Take Me To Church",Hozier,5566,https://open.spotify.com/track/0IqKeD8ZSP72KbGYyzEcAs
96,"All The Pretty Girls",Kaleo,5564,https://open.spotify.com/track/0QQIhT6PtJ5glyn4HKNKQ6
97,goosebumps,"Travis Scott",5463,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
98,Vinir,Attan,5435,https://open.spotify.com/track/1ie0kiEaq39OknD3NM0C8F
99,"Shed a Light","Robin Schulz",5433,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
100,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",5430,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
101,"Needed Me",Rihanna,5406,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
102,Draco,Future,5391,https://open.spotify.com/track/67dyMPOUsbZ9Yg06PnfAAh
103,Cold,"Maroon 5",5356,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
104,"Sunset Lover","Petit Biscuit",5287,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
105,"Skál Fyrir þér","Friðrik Dór",5245,https://open.spotify.com/track/3Et6zmwvQykNjZ5BJzXLug
106,"Romantic - NOTD Remix",Stanaj,5233,https://open.spotify.com/track/3SGWp9fJCzgK0WcpcKSQdy
107,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",5228,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
108,Sorry,"Justin Bieber",5211,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
109,Halo,Beyoncé,5211,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
110,"I See Fire","Ed Sheeran",5199,https://open.spotify.com/track/3B7udSGy2PfgoCniMSb523
111,"Shooting Stars","Bag Raiders",5159,https://open.spotify.com/track/0UeYCHOETPfai02uskjJ3x
112,"This Town","Niall Horan",5070,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7
113,"X (feat. Future)","21 Savage",5008,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
114,Touch,"Little Mix",4956,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
115,Hello,Adele,4878,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
116,"Sooner Or Later","Aaron Carter",4844,https://open.spotify.com/track/6wV12xIUb8oFY7lBy4KuQe
117,"Six Feet Under","The Weeknd",4811,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY
118,"Halo (Beyonce Cover) [Live On Icelandic National Radio]",Hjaltalín,4800,https://open.spotify.com/track/2i9ArJ8VpPu5scoaIG0OkZ
119,Sexual,NEIKED,4791,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
120,"Stay With Me","Sam Smith",4780,https://open.spotify.com/track/5Db9VIdDsN5yu3Eu7CT0i4
121,"Kelly Price (feat. Travis Scott)",Migos,4749,https://open.spotify.com/track/204U3zjm9kkzX25Pr4Rdld
122,"Brennum allt","Úlfur Úlfur",4717,https://open.spotify.com/track/4Bxf2Lc7uTDrhe8ZRPDqaK
123,Jumpman,Drake,4676,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
124,Strákarnir,"Emmsjé Gauti",4663,https://open.spotify.com/track/3e7K7gpDqaWgIf50854q3j
125,"Some Kind Of Drug",G-Eazy,4660,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
126,"Deja Vu","Post Malone",4645,https://open.spotify.com/track/0H8XeaJunhvpBdBFIYi6Sh
127,Cake,"Flo Rida",4622,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
128,"Ástin á sér stað","Sverrir Bergmann",4612,https://open.spotify.com/track/1G3mxGTLXnFBo5ZFuoLvQB
129,"Treat You Better","Shawn Mendes",4610,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
130,Famous,"Kanye West",4576,https://open.spotify.com/track/19a3JfW8BQwqHWUMbcqSx8
131,"The Greatest",Sia,4569,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
132,"Rómeó og Júlía","Bubbi Morthens",4565,https://open.spotify.com/track/0IdsoEg5mjXNqlrskkzWjl
133,Stronger,"Kanye West",4532,https://open.spotify.com/track/6C7RJEIUDqKkJRZVWdkfkH
134,"Now and Later","Sage The Gemini",4530,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
135,"Don't Let Me Down","The Chainsmokers",4513,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
136,"Stressed Out","Twenty One Pilots",4505,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
137,"Broccoli (feat. Lil Yachty)",DRAM,4457,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
138,"Lighthouse - Andrelli Remix","Hearts & Colors",4453,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo
139,Faded,"Alan Walker",4389,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
140,"Deja Vu","J. Cole",4388,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
141,"Don't Stop Believin'",Journey,4367,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
142,Djammæli,"Emmsjé Gauti",4363,https://open.spotify.com/track/2LZxVdWmldqKQyqPLTth82
143,"What Do You Mean?","Justin Bieber",4326,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
144,"No Favors","Big Sean",4306,https://open.spotify.com/track/1MksGqIztTT6M9R1ErKVs8
145,"It's Gotta Be You",Isaiah,4296,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
146,"Final Song",MØ,4277,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
147,"Dimmalimm (feat. SZK)",Rjóminn,4271,https://open.spotify.com/track/0jTmeCbFeCpSijXuiCXsrL
148,"Tunnel Vision","Kodak Black",4266,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
149,"Send My Love (To Your New Lover)",Adele,4254,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
150,"Oceans Away","A R I Z O N A",4246,https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I
151,"Perfect Strangers","Jonas Blue",4231,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
152,"Jámarh (ásamt Joe Frazier)","Herra Hnetusmjör",4223,https://open.spotify.com/track/4WOTmeHZRCOy0O6vlJv0AY
153,"Too Good",Drake,4220,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
154,"This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners",Kungs,4211,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD
155,"Ómar Ragnarsson","Emmsjé Gauti",4163,https://open.spotify.com/track/6rDsVOrDMhOxYXoHbnRVto
156,"Let Her Go",Passenger,4162,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
157,"Work from Home","Fifth Harmony",4151,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
158,"Someone Like You",Adele,4128,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB
159,Grunaður,"Aron Can",4125,https://open.spotify.com/track/5YLN85avEpVxIB3FFfzHyb
160,"Tala Um",Gkr,4100,https://open.spotify.com/track/2zbmDpdYTZVjURIBdnq9Gg
161,"Ain't My Fault","Zara Larsson",4099,https://open.spotify.com/track/0ADG9OgdVTL7fgREP75BrZ
162,"7 Years","Lukas Graham",4095,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L
163,Sidewalks,"The Weeknd",4084,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko
164,"No Role Modelz","J. Cole",4082,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
165,Sneakin’,Drake,4040,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
166,"Þekkir Stráginn","Aron Can",4023,https://open.spotify.com/track/4DGnayX5QUW6cJaMHqH91a
167,"Fast Car","Jonas Blue",4009,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
168,"Slippery (feat. Gucci Mane)",Migos,4004,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
169,"Allt Undir","Alexander Jarl",4003,https://open.spotify.com/track/2bxBOIxN4uZye2BDp6Wg3M
170,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",4001,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
171,Love$ick,"Mura Masa",3993,https://open.spotify.com/track/5v9N8Rx3QsFvr50cxyQcA3
172,"Dönsum (Eins Og Hálfvitar)","Friðrik Dór",3981,https://open.spotify.com/track/2ountvtuHAlpYUVE1DxSIV
173,Chantaje,Shakira,3907,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
174,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",3902,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT
175,"Get Right Witcha",Migos,3896,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj
176,"I'm so Groovy",Future,3890,https://open.spotify.com/track/4lozYCMRLtEc46exlhoK2Q
177,"Tiimmy Turner",Desiigner,3878,https://open.spotify.com/track/3NJG6vMH1ZsectZkocMEm0
178,"Ni**as In Paris","JAY Z",3857,https://open.spotify.com/track/2KpCpk6HjXXLb7nnXoXA5O
179,"This Is What You Came For","Calvin Harris",3828,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
180,"When We Were Young",Adele,3824,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL
181,Sex,"Cheat Codes",3779,https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP
182,"Make You Feel My Love",Adele,3771,https://open.spotify.com/track/7rPLZ8Krm6CZIbraFUlnWZ
183,"Lush Life","Zara Larsson",3764,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8
184,"The Other",Lauv,3756,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g
