Position,"Track Name",Artist,Streams,URL
1,"Senza Pagare VS T-Pain",J-AX,1085001,https://open.spotify.com/track/0YOUE1TlkgSbkNvWkZkEVp
2,"Voglio ballare con te","Baby K",974286,https://open.spotify.com/track/14KKXLz5WHrzGOMUNFV22H
3,Thunder,"Imagine Dragons",944308,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
4,Pamplona,"Fabri Fibra",859516,https://open.spotify.com/track/3H452nrW7GsaU01lpfrQTf
5,Lamborghini,"Gue Pequeno",830399,https://open.spotify.com/track/7G8g5Zrr5rj2OoKoXGnRb1
6,"Tran Tran","Sfera Ebbasta",740874,https://open.spotify.com/track/6coVCFXrqlpETyYCjGNSTe
7,"Something Just Like This","The Chainsmokers",711242,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
8,,,710869,https://open.spotify.com/track/3RXkboS74UYzN14xTqzPyY
9,"Happy Days",Ghali,698952,https://open.spotify.com/track/3FLp4tu69GLt0KPizUhFsU
10,"Mi Gente","J Balvin",697665,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
11,"More Than You Know","Axwell /\ Ingrosso",674106,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
12,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",667782,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
13,Attention,"Charlie Puth",663289,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
14,Riccione,Thegiornalisti,660351,https://open.spotify.com/track/6RiprjTTheMrJ2ypJxz3H4
15,Volare,"Fabio Rovazzi",650840,https://open.spotify.com/track/6wCjFS1rdcR9lNBgl4ba9o
16,"L'esercito del selfie","Takagi & Ketra",627401,https://open.spotify.com/track/28I8isBTQdyl3LTtAAQofp
17,"Symphony (feat. Zara Larsson)","Clean Bandit",616446,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
18,"There's Nothing Holdin' Me Back","Shawn Mendes",604918,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
19,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",596771,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
20,"I'm the One","DJ Khaled",581494,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
21,"Galway Girl","Ed Sheeran",573119,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
22,"No Lie","Sean Paul",570600,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
23,"Shape of You","Ed Sheeran",550193,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
24,"Wild Thoughts","DJ Khaled",537457,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
25,"SUBEME LA RADIO","Enrique Iglesias",530951,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
26,OK,"Robin Schulz",521739,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
27,Mama,"Jonas Blue",495897,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
28,Believer,"Imagine Dragons",494259,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
29,"El Party","Jake La Furia",493412,https://open.spotify.com/track/19LRRuiMQ8a9jhqSf8jVip
30,Feels,"Calvin Harris",490514,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
31,"No Vacancy",OneRepublic,470962,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
32,"Tra le granite e le granate","Francesco Gabbani",468259,https://open.spotify.com/track/5ZmsvSFpaDQ5JdKvVnJXs9
