Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",3328395,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,"Una Lady Como Tú","Manuel Turizo",3288322,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
3,"Me Rehúso","Danny Ocean",2909360,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
4,Bonita,"J Balvin",2647764,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
5,"Felices los 4",Maluma,2460461,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
6,"Escápate Conmigo",Wisin,2282409,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
7,"Ahora Dice","Chris Jeday",1933193,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
8,"Robarte un Beso","Carlos Vives",1850737,https://open.spotify.com/track/4z3GJkrtH97Bj6fRta983T
9,"Tú Foto",Ozuna,1798238,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf
10,"Look What You Made Me Do","Taylor Swift",1645918,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
11,"Hey DJ",CNCO,1581369,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
12,Probablemente,"Christian Nodal",1553093,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z
13,"Krippy Kush",Farruko,1503255,https://open.spotify.com/track/3rgjBiAMVGnxmsTDmUy8vb
14,Mayores,"Becky G",1503225,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
15,"La Rompe Corazones","Daddy Yankee",1439114,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
16,Feels,"Calvin Harris",1394156,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
17,"Shape of You","Ed Sheeran",1391083,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
18,"Sigo Extrañándote","J Balvin",1238081,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
19,"Friends (with BloodPop®)","Justin Bieber",1204901,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
20,"Me Enamoré",Shakira,1190560,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
21,"No Digas Nada","Mario Bautista",1100309,https://open.spotify.com/track/1RwoXmQ3RvIdfG8bLeX65g
22,"Que Va","Alex Sensation",1087107,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O
23,Attention,"Charlie Puth",1080227,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
24,Thunder,"Imagine Dragons",1047627,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
25,"Si Tú La Ves","Nicky Jam",1047544,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
26,"Otra Vez (feat. J Balvin)","Zion & Lennox",1044486,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
27,"New Rules","Dua Lipa",1043842,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
28,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1025156,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
29,"El Amante","Nicky Jam",1006202,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
30,"2U (feat. Justin Bieber)","David Guetta",993629,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
31,"Bella y Sensual","Romeo Santos",933512,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
32,"Me Llamas (feat. Maluma) - Remix","Piso 21",923264,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
33,"Loca (feat. Cali Y El Dandee)","Maite Perroni",904568,https://open.spotify.com/track/05ZXXyeZFhZtA6DAP3Aw7x
34,Besándote,"Piso 21",900956,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h
