Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",442648,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,Attention,"Charlie Puth",266142,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
3,"2U (feat. Justin Bieber)","David Guetta",257833,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
4,Feels,"Calvin Harris",217847,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
5,"I'm the One","DJ Khaled",217064,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
6,"There for You","Martin Garrix",206675,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
7,"Strip That Down","Liam Payne",196514,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
8,"Something Just Like This","The Chainsmokers",189178,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
9,"Shape of You","Ed Sheeran",176900,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
10,"Symphony (feat. Zara Larsson)","Clean Bandit",176050,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
11,"There's Nothing Holdin' Me Back","Shawn Mendes",171430,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
12,"No Promises (feat. Demi Lovato)","Cheat Codes",161072,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
13,Mama,"Jonas Blue",157912,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
14,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",152902,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
15,Thunder,"Imagine Dragons",149799,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
16,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",139443,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
17,"Stay (with Alessia Cara)",Zedd,138507,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
18,"Wild Thoughts","DJ Khaled",129765,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
19,"Crying in the Club","Camila Cabello",126641,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
20,"Bad Liar","Selena Gomez",126354,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
21,"As If It's Your Last",BLACKPINK,124872,https://open.spotify.com/track/7LJjWqhqK594nN7qJzLVXE
22,"Slow Hands","Niall Horan",123364,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
23,"Say You Won't Let Go","James Arthur",119319,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
