Position,"Track Name",Artist,Streams,URL
1,Habiba,Boef,2045020,https://open.spotify.com/track/6G41AeVgQkpvEbTxN5fNkW
2,"Shape of You","Ed Sheeran",1659427,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Symphony (feat. Zara Larsson)","Clean Bandit",1286142,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
4,"It Ain't Me (with Selena Gomez)",Kygo,1281176,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
5,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",1191504,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
6,"Slapend Rijk",Boef,1184132,https://open.spotify.com/track/3PiDnD8RhPrlmzMpAgF9xK
7,"Tempo (feat. Sevn Alias, Bko & Boef)",Jairzinho,1131120,https://open.spotify.com/track/2YeKWxs3kfBFt7UduCEXub
8,"Something Just Like This","The Chainsmokers",1111491,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
9,Passionfruit,Drake,1062351,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
10,Weak,AJR,1028344,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
11,"Stay (with Alessia Cara)",Zedd,1021491,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
12,"You Don't Know Me - Radio Edit","Jax Jones",934907,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
13,"Mask Off",Future,897735,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
14,"Wie Praat Die Gaat",Boef,874808,https://open.spotify.com/track/0VYKnG61teH9SpMqE3WBM8
15,Energie,"Ronnie Flex",873777,https://open.spotify.com/track/1riPE3NCV1OBmSXqpYiMJY
16,"Scared to Be Lonely","Martin Garrix",848610,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
17,"Galway Girl","Ed Sheeran",836577,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
18,Salam,Boef,830073,https://open.spotify.com/track/5zhTxSctAPGFmXSZ7RPmxG
19,"Ex (feat. Webb)",LouiVos,819387,https://open.spotify.com/track/6EDnqtAZxZu5pGXyPjgvU8
20,Slide,"Calvin Harris",787779,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
21,Issues,"Julia Michaels",745677,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
22,"Ik Ga Weg",Boef,743407,https://open.spotify.com/track/7LQtFOR1rnk9T8cKtByX7k
23,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",734356,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
24,Tuesday,"Burak Yeter",734217,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
25,Paris,"The Chainsmokers",730061,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
26,"Castle on the Hill","Ed Sheeran",666280,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
27,"Call On Me - Ryan Riback Extended Remix",Starley,659404,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
28,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",640053,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
29,"Solo Dance","Martin Jensen",604910,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
30,"That's What I Like","Bruno Mars",600963,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
31,Wejoow,Boef,592554,https://open.spotify.com/track/6oZuSPBQySlwY33BhdIm11
32,"Say You Won't Let Go","James Arthur",570863,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
33,"September Song","JP Cooper",562829,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
34,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",550320,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
35,Cold,"Maroon 5",541460,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
36,HUMBLE.,"Kendrick Lamar",540394,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
37,"Chained To The Rhythm","Katy Perry",526033,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
38,"Kind Van De Duivel",Jebroer,510216,https://open.spotify.com/track/4tM13V5qVHM6nKTx7aMWVj
39,Qifesh,"Sevn Alias",497957,https://open.spotify.com/track/5ReWXuKUmnUDMbAq0Adgwq
40,Westside,Josylvio,474084,https://open.spotify.com/track/73jpyh5skC2tbah8eAzaAi
41,"Love Sensez","Diaz & Bruno",458703,https://open.spotify.com/track/69CSidCDozLeVRV2S8lAsX
42,"Sign of the Times","Harry Styles",455419,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
43,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,447946,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
44,"I Need You","Armin van Buuren",431966,https://open.spotify.com/track/2YsP3FsnEeADADNxjYVMrG
45,Away,Frenna,428087,https://open.spotify.com/track/5oUkY2Eb0yOrXL12KYS3UG
46,"The One","The Chainsmokers",425051,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
47,Happier,"Ed Sheeran",423080,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
48,Perfect,"Ed Sheeran",420716,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
49,Chantaje,Shakira,406386,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
50,Kangoeroe,Boef,403740,https://open.spotify.com/track/3F6whybjFrbMYRUvyZF60a
51,"Range Sessie (album intro)",Boef,375923,https://open.spotify.com/track/32LHcw3FjMQKNddzrQNYJ4
52,"Één ding",F1rstman,361658,https://open.spotify.com/track/4SH4MfJ1bNAgq1wRSJUyKf
53,"Still Got Time",ZAYN,358578,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
54,Werken,Boef,354913,https://open.spotify.com/track/5VWSnSob84NAxS4ohVX9nd
55,"Fetty Wap",Boef,348877,https://open.spotify.com/track/75gJj5hYRFOi5LKCstPcaD
56,Speciaal,Boef,346869,https://open.spotify.com/track/4GUyhTID6mBssYE4nz3DG1
57,"I Feel It Coming","The Weeknd",343351,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
58,"I Love You","Axwell /\ Ingrosso",338043,https://open.spotify.com/track/11Fo4dAH31K7UZHGqCkCmE
59,Believer,"Imagine Dragons",337635,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
60,"Ciao Adios",Anne-Marie,332379,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
61,"SUBEME LA RADIO","Enrique Iglesias",332135,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
62,Cocaïne,Boef,328600,https://open.spotify.com/track/4NqJPY7gqdMIZwl4O3mLYb
63,Laag/Boven,SBMG,323195,https://open.spotify.com/track/2e6HUZ6thgWkKKi5vOWNov
64,"Niks Nieuws","Jonna Fraser",319735,https://open.spotify.com/track/5UOSxDStT3ZPoWhm4i6DVN
65,"Green Light",Lorde,310056,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
66,Skin,"Rag'n'Bone Man",303529,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
67,"Het Is Een Feit",Broederliefde,294704,https://open.spotify.com/track/0iuLGMsB9xBbg5D4iabTtT
68,Dive,"Ed Sheeran",285537,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
69,Closer,"The Chainsmokers",283322,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
70,Casablanca,Equalz,278931,https://open.spotify.com/track/1VsClV89BOYGlN7RITBHYc
71,Blem,Drake,273851,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
72,Beckham,Boef,273331,https://open.spotify.com/track/5XntxhFTQA3AFsREzI2H1p
73,"El Amante","Nicky Jam",272239,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
74,"What Do I Know?","Ed Sheeran",271644,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
75,"Break Up Every Night","The Chainsmokers",269959,https://open.spotify.com/track/6cPyTS0Kk2sc4xQwC93kOg
76,"Zeg Mij",Boef,265823,https://open.spotify.com/track/3cr07R8m2voOPbk1yQj1DI
77,"Slecht Blijft (Bonus)",Boef,263618,https://open.spotify.com/track/5wbELbOJDwV9tU1wZYJdkz
78,Intro,D-Double,261815,https://open.spotify.com/track/4vw3C4Ro3OUD0MNmROKm6e
79,"This Town","Niall Horan",256694,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7
80,"iSpy (feat. Lil Yachty)",KYLE,255237,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
81,"How Would You Feel (Paean)","Ed Sheeran",254389,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
82,"New Man","Ed Sheeran",254024,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
83,"Open (feat. Moksi & Jonna Fraser)","Yellow Claw",253593,https://open.spotify.com/track/4o9w0YfbgE2TjM7r4ppC9A
84,Barcelona,"Ed Sheeran",246913,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU
85,Overal,F1rstman,244634,https://open.spotify.com/track/7bQQ2B4EVLDiMA79EbT2qe
86,Location,Khalid,244228,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
