Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1444732,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Scared to Be Lonely","Martin Garrix",887639,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,833302,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,Paris,"The Chainsmokers",821784,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,Issues,"Julia Michaels",800905,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
6,"Castle on the Hill","Ed Sheeran",677107,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
7,Alone,"Alan Walker",673768,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
8,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",625829,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
9,"Hear Me Now",Alok,556277,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
10,"Lighthouse - Andrelli Remix","Hearts & Colors",527414,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo
11,"Say You Won't Let Go","James Arthur",484111,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
12,"Make Me (Cry)","Noah Cyrus",471754,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
13,"How Far I'll Go - From ""Moana""","Alessia Cara",465342,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
14,"Solo Dance","Martin Jensen",462298,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
15,"Kjærlighet er mer enn forelskelse",LOKE,459732,https://open.spotify.com/track/4CxBmlWegEeKwYUaFvLzel
16,"Call On Me - Ryan Riback Extended Remix",Starley,426871,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
17,"Now and Later","Sage The Gemini",420273,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
18,"I Feel It Coming","The Weeknd",396257,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
19,"Høyt over Oslo","Morgan Sulele",395446,https://open.spotify.com/track/2UUJAjlQvxa9kzYRYSKtyV
20,"Don't Leave",Snakehips,395007,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
21,"Just Hold On","Steve Aoki",390791,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
22,"All Night","The Vamps",343562,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
23,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",331767,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
24,Blackout,"Julie Bergan",322320,https://open.spotify.com/track/2DQHzXM5eKjunrgtcnsefC
25,"Move Your Body - Alan Walker Remix",Sia,310484,https://open.spotify.com/track/6LUOMjoORvAkdhBYvESO46
26,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",310447,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
27,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,307066,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
28,Sexual,NEIKED,303162,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
29,Starboy,"The Weeknd",301201,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
30,"Our City",TRXD,290626,https://open.spotify.com/track/4MV8yeKSsls4xev14yDXL6
31,"Shed a Light","Robin Schulz",283399,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
32,Weak,AJR,278679,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
33,"Cigarette (feat. Madcon & Julimar Santos)",Penthox,276242,https://open.spotify.com/track/2yPgwtJ9j7WP29q9dcYOmR
34,"So Good","Zara Larsson",270922,https://open.spotify.com/track/54LGxQGf5LPXNGjtzDZ5IE
35,"All Time Low","Jon Bellion",266314,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
36,"I Would Like","Zara Larsson",260998,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
37,Closer,"The Chainsmokers",250835,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
38,"Nervous (The Ooh Song) - Mark McCabe Remix","Gavin James",243856,https://open.spotify.com/track/0L9lXMXddmoBbBUeF7A9An
39,"En Siste Gang","Staysman & Lazz",236021,https://open.spotify.com/track/6tt3Na8Vjw1H2fCUcUivi5
40,Faded,"Alan Walker",235719,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
41,Places,"Martin Solveig",228910,https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj
42,"Inside the Lines","Mike Perry",227063,https://open.spotify.com/track/3qaYuV5XZAwiOvGE91HhwS
43,"What Do You Love",Seeb,221405,https://open.spotify.com/track/0h4FK0CnlZ3oJnZ6quEk1P
44,Skin,"Rag'n'Bone Man",220911,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
45,"Bad Things (with Camila Cabello)","Machine Gun Kelly",217713,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
46,"Don't Wanna Know","Maroon 5",215616,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
47,"Let Me Love You","DJ Snake",203212,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
48,Starving,"Hailee Steinfeld",202953,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
49,"Black Beatles","Rae Sremmurd",189781,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
50,"It's Gotta Be You",Isaiah,186411,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
51,Jovial,"Freddy Kalas",173842,https://open.spotify.com/track/5paNYIC0vrVj1EWGVzfJzb
52,"Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)",Vice,168690,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
53,"Side To Side","Ariana Grande",167313,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
54,"24K Magic","Bruno Mars",166183,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
55,"Heart Won't Forget",Matoma,164617,https://open.spotify.com/track/2of2DM5LqTh7ohmmVXUKsH
56,"Lights Out (Too Drunk) [feat. Hayley]","DJ Katch",152679,https://open.spotify.com/track/5Oh3cW5gnEEKPsHb1WrVWm
57,Chantaje,Shakira,149607,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
58,"Bounce Back","Big Sean",144180,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
59,"On My Way",Tiësto,143774,https://open.spotify.com/track/4hiUYb2nb6NlfTP9CD38Pe
60,Mercy,"Shawn Mendes",142670,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
61,Beast,"Tungevaag & Raaban",142245,https://open.spotify.com/track/6ZbiaHwI9x7CIxYGOEmXxd
62,"Sing Me to Sleep","Alan Walker",138203,https://open.spotify.com/track/2Fjz5ZC5BvFdCqcnTZ3ilH
63,Cake,"Flo Rida",137679,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
64,"Sunset Lover","Petit Biscuit",136589,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
65,"Dynamite (feat. Pretty Sister)",Nause,135035,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg
66,"Wasting Your Time (feat. Alida)",JCY,133952,https://open.spotify.com/track/5Un9OFyfZz6XAtuHJ7iE0A
67,"Let Me Love You",SJUR,132137,https://open.spotify.com/track/2jfCy43LsFbCQoB6HyetlY
68,"Dancing On My Own","Calum Scott",130240,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
69,Arigato,"Julie Bergan",130151,https://open.spotify.com/track/4XuK9jJP3mpYBq5qf68vfF
70,"Starboy - Kygo Remix","The Weeknd",129884,https://open.spotify.com/track/6L778PA16SuyYvFhqnMndY
71,"You Don't Know Me - Radio Edit","Jax Jones",129816,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
72,"Hymn For The Weekend - Seeb Remix",Coldplay,129685,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU
73,STFU,mansionz,127425,https://open.spotify.com/track/2p4p9YGwmJIdf5IA9sSWhm
74,"Fake Love",Drake,127117,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
75,"Don't Let Go",Lila,126495,https://open.spotify.com/track/3u7AIoAXRXe1UWgqsoYz26
76,"Millionaire - Alan Walker Remix","Digital Farm Animals",125107,https://open.spotify.com/track/5HzbxweVAtisCrpoOF11qt
77,"Versace 2017",TIX,124619,https://open.spotify.com/track/594Id4J7VH4nVIfI1FwhP9
78,"Savage (feat. Flux Pavilion & MAX)",Whethan,124464,https://open.spotify.com/track/1Rl40PsX4mh9xVOeGHq86B
79,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",123542,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
80,"The Greatest",Sia,122899,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
81,"In the Name of Love","Martin Garrix",120499,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
82,"I Got You","Bebe Rexha",120439,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
83,Photograph,"Ed Sheeran",120293,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
84,"All We Know","The Chainsmokers",119988,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
85,"One Dance",Drake,118454,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
86,"Vekk meg opp",Gabrielle,116219,https://open.spotify.com/track/7r2VakkFKiTVc4OLAhYwRw
87,"Romantic - NOTD Remix",Stanaj,115491,https://open.spotify.com/track/3SGWp9fJCzgK0WcpcKSQdy
88,Heathens,"Twenty One Pilots",114802,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
89,Believer,"Imagine Dragons",114269,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
90,"The Ocean","Mike Perry",114159,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
91,"Treat You Better","Shawn Mendes",114077,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
92,Falling,Alesso,113900,https://open.spotify.com/track/3d9JucRI60arArgQXqtfjJ
93,"Love On Me",Galantis,113878,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF
94,"Scars To Your Beautiful","Alessia Cara",111744,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
95,"That´s Me",HEDEGAARD,109956,https://open.spotify.com/track/3Cc3ssgsvdSaEbFT6KHBAv
96,"Rundt neste sving",Rotlaus,109763,https://open.spotify.com/track/1a13lJDJfoIwl1sfjVWy4j
97,"When We Were Young",Adele,109525,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL
98,"False Alarm",Matoma,108619,https://open.spotify.com/track/7gZQfdEQpmwAoPHSbEHzms
99,"Thinking Out Loud","Ed Sheeran",108331,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
100,"Love Me Now","John Legend",108066,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
101,"The Sound Of Silence",Disturbed,107926,https://open.spotify.com/track/0eZBeB2xFIS65jQHerispi
102,Human,"Rag'n'Bone Man",106493,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
103,"Cheap Thrills",Sia,102773,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
104,"Million Reasons","Lady Gaga",101796,https://open.spotify.com/track/50PWlIBU7PlGGwzgN8TiFJ
105,"Don't Let Me Down","The Chainsmokers",100950,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
106,"My Way","Calvin Harris",100806,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
107,"Feel Da Rush","Freddy Kalas",99907,https://open.spotify.com/track/7B7OdAjUTyMAmnaUmuneVW
108,"I See Fire","Ed Sheeran",99393,https://open.spotify.com/track/3B7udSGy2PfgoCniMSb523
109,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",99208,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
