Position,"Track Name",Artist,Streams,URL
1,"Reggaetón Lento (Bailemos)",CNCO,282369,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
2,Chantaje,Shakira,280873,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
3,Safari,"J Balvin",236015,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
4,"Otra Vez (feat. J Balvin)","Zion & Lennox",233509,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
5,"Vente Pa' Ca","Ricky Martin",209016,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
6,"Let Me Love You","DJ Snake",193145,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
7,"Ay Mi Dios",IAmChino,186813,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
8,"Shaky Shaky","Daddy Yankee",186629,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
9,"La Bicicleta","Carlos Vives",184342,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
10,"24K Magic","Bruno Mars",158437,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
11,Starboy,"The Weeknd",151570,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
12,"Andas En Mi Cabeza","Chino & Nacho",151543,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
13,"One Dance",Drake,147498,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
14,Closer,"The Chainsmokers",143857,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
15,"Dile Que Tu Me Quieres",Ozuna,141114,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o
16,"Don't Wanna Know","Maroon 5",139644,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
17,Traicionera,"Sebastian Yatra",137698,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
18,"Cuatro Babys",Maluma,136289,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR
19,Chillax,Farruko,133119,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
20,"Me Llamas (feat. Maluma) - Remix","Piso 21",124781,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
21,"Desde Esa Noche",Thalía,117008,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
22,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",112264,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
23,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",110910,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
24,"DUELE EL CORAZON","Enrique Iglesias",107309,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
25,"In the Name of Love","Martin Garrix",106493,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
26,"Borro Cassette",Maluma,106266,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
27,"My Way","Calvin Harris",104653,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
28,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",97852,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
29,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,95123,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
30,"Side To Side","Ariana Grande",94743,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
31,"Tienes La Magia","Lil Silvio & El Vega",94169,https://open.spotify.com/track/3cx2712k0b6hvlJC0q27rL
32,"Don't Let Me Down","The Chainsmokers",93744,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
33,"Ya Me Enteré (feat. Nicky Jam) - Urban Version",Reik,93122,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F
34,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",91171,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
35,"Gyal You A Party Animal - Remix","Charly Black",88279,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I
36,"La Gozadera","Gente De Zona",85756,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
37,Vacaciones,Wisin,85345,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
38,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",85074,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
39,"Treat You Better","Shawn Mendes",82279,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
40,"No Quiere Enamorarse (Remix) [feat. Daddy Yankee]",Ozuna,80637,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC
41,Ride,"Twenty One Pilots",80212,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
