Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1682571,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Something Just Like This","The Chainsmokers",1621290,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
3,"That's What I Like","Bruno Mars",1439979,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
4,"Versace On The Floor","Bruno Mars",1118028,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
5,"Say You Won't Let Go","James Arthur",1092503,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
6,Paris,"The Chainsmokers",979412,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
7,"Stay (with Alessia Cara)",Zedd,928710,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
8,"The One","The Chainsmokers",821435,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,803765,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
10,"It Ain't Me (with Selena Gomez)",Kygo,795685,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
11,"Symphony (feat. Zara Larsson)","Clean Bandit",783881,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
12,Touch,"Little Mix",750709,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
13,"How Far I'll Go - From ""Moana""","Alessia Cara",747009,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
14,美女と野獣,"Ariana Grande",726699,https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg
15,"Scared to Be Lonely","Martin Garrix",693282,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
16,Closer,"The Chainsmokers",688078,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
17,Starving,"Hailee Steinfeld",680316,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
18,"Fresh Eyes","Andy Grammer",620033,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3
19,Sila,Sud,592635,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE
20,Issues,"Julia Michaels",587115,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
21,Cold,"Maroon 5",585841,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
22,"Call On Me - Ryan Riback Extended Remix",Starley,582657,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
23,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",558847,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
24,"Don't Wanna Know","Maroon 5",546252,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
25,Slide,"Calvin Harris",543112,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
26,"All We Know","The Chainsmokers",538883,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
27,Perfect,"Ed Sheeran",535220,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
28,"24K Magic","Bruno Mars",531328,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
29,"Perfect Strangers","Jonas Blue",531101,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
30,Weak,AJR,498919,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
31,"Malaya (Camp Sawi Original Motion Picture Soundtrack)","Moira Dela Torre",492915,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq
32,"Bad Things (with Camila Cabello)","Machine Gun Kelly",485125,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
33,"All Night","The Vamps",484629,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
34,"It's Gotta Be You",Isaiah,482227,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
35,Tadhana,"Up Dharma Down",471581,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
