Position,"Track Name",Artist,Streams,URL
1,"Wild Thoughts","DJ Khaled",176417,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2,Unforgettable,"French Montana",167120,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3,"Mi Gente","J Balvin",157149,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
4,"2U (feat. Justin Bieber)","David Guetta",143235,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
5,Attention,"Charlie Puth",142678,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
6,"I'm the One","DJ Khaled",134651,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
7,"Felices los 4",Maluma,127719,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
8,Mama,"Jonas Blue",123443,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
9,"Shape of You","Ed Sheeran",113643,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
10,Feels,"Calvin Harris",111571,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
11,"Strip That Down","Liam Payne",109444,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
12,"Despacito - Remix","Luis Fonsi",108564,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
13,"There's Nothing Holdin' Me Back","Shawn Mendes",108543,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
14,"XO TOUR Llif3","Lil Uzi Vert",103808,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
15,Congratulations,"Post Malone",101160,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
16,Thunder,"Imagine Dragons",101094,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
17,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",100621,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
18,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",99334,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
19,Believer,"Imagine Dragons",93000,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
20,"Sorry Not Sorry","Demi Lovato",87876,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
21,HUMBLE.,"Kendrick Lamar",87823,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
22,Slide,"Calvin Harris",87341,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
23,"There for You","Martin Garrix",86014,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
24,"In The End","Linkin Park",85586,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
25,"Crying in the Club","Camila Cabello",85267,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
26,"No Promises (feat. Demi Lovato)","Cheat Codes",84613,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
27,"Mask Off",Future,79298,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
28,Signs,Drake,77921,https://open.spotify.com/track/5EnYT6F7wEcdege6mDHEfO
29,"Something Just Like This","The Chainsmokers",77574,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
30,Numb,"Linkin Park",77236,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
31,"SUBEME LA RADIO","Enrique Iglesias",75449,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
32,"Know No Better (feat. Quavo)","Major Lazer",75299,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
33,"Symphony (feat. Zara Larsson)","Clean Bandit",74789,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
34,"Fetish (feat. Gucci Mane)","Selena Gomez",71667,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
35,"Bad Liar","Selena Gomez",70534,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
